<b>Arrays & Tiles</b> , <b>Tablice i płytki</b>
Polaroid 669 Cold + , Polaroid 669 Zimny +
Polaroid 669 Cold - , Polaroid 669 Zimny -
Polaroid 669 Cold -- , Polaroid 669 Zimny...
Polaroid 690 Cold , Polaroid 690 Zimny
Polaroid 690 Cold - , Polaroid 690 Zimny -
Polaroid 690 Cold -- , Polaroid 690 Zimny...
Polaroid 690 Warm , Polaroid 690 Ciepły
Polaroid 690 Warm + , Polaroid 690 Ciepły +
Polaroid 690 Warm ++ , Polaroid 690 Ciepły ++
Polaroid 690 Warm - , Polaroid 690 Ciepły -
Polaroid 690 Warm -- , Polaroid 690 Ciepły...
Polaroid Polachrome , Polaroid Polachrom
Polaroid PX-100UV+ Cold ++ , Polaroid PX-100UV+ Zimno ++
Polaroid PX-100UV+ Cold +++ , Polaroid PX-100UV+ Zimno +++
Polaroid PX-100UV+ Warm , Polaroid PX-100UV+ Ciepły
Polaroid PX-100UV+ Warm + , Polaroid PX-100UV+ Ciepło +
Polaroid PX-100UV+ Warm ++ , Polaroid PX-100UV+ Ciepły ++
Polaroid PX-100UV+ Warm +++ , Polaroid PX-100UV+ Ciepły +++
Polaroid PX-100UV+ Warm - , Polaroid PX-100UV+ Ciepły -
Polaroid PX-100UV+ Warm -- , Polaroid PX-100UV+ Ciepły --
Polaroid PX-680 Cold , Polaroid PX-680 Zimny
Polaroid PX-680 Cold ++a , Polaroid PX-680 Zimny ++a
Polaroid PX-680 Warm , Polaroid PX-680 Ciepły
Polaroid PX-680 Warm + , Polaroid PX-680 Ciepły +
Polaroid PX-680 Warm ++ , Polaroid PX-680 Ciepłe ++
Polaroid PX-680 Warm - , Polaroid PX-680 Ciepły -
Polaroid PX-680 Warm -- , Polaroid PX-680 Ciepły --
Polaroid PX-70 Cold , Polaroid PX-70 Zimny
Polaroid PX-70 Cold + , Polaroid PX-70 Zimny +
Polaroid PX-70 Cold ++ , Polaroid PX-70 Zimny ++
Polaroid PX-70 Cold -- , Polaroid PX-70 Zimny --
Polaroid PX-70 Warm , Polaroid PX-70 Ciepły
Polaroid PX-70 Warm + , Polaroid PX-70 Ciepły +
Polaroid PX-70 Warm ++ , Polaroid PX-70 Ciepły ++
Polaroid PX-70 Warm - , Polaroid PX-70 Ciepły -
Polaroid PX-70 Warm -- , Polaroid PX-70 Ciepły --
Polaroid Time Zero (Expired) , Czas Polaroida Zerowy (wygasły)
Polaroid Time Zero (Expired) + , Czas Polaroida Zerowy (wygasający) +
Polaroid Time Zero (Expired) ++ , Czas Polaroida Zerowy (wygasający) ++
Polaroid Time Zero (Expired) - , Czas Polaroida Zero (wygasły) -
Polaroid Time Zero (Expired) -- , Czas Polaroida Zero (wygasły) --
Polaroid Time Zero (Expired) --- , Czas polaroidowy zero (wygasły) ---
Polaroid Time Zero (Expired) Cold , Czas Polaroida Zerowy (wygasły) Zimny
Polaroid Time Zero (Expired) Cold - , Czas Polaroida Zero (wygasły) Zimno -
Polaroid Time Zero (Expired) Cold -- , Polaroid Czas Zero (wygasł) Zimno --
Polaroid Time Zero (Expired) Cold --- , Polaroid Czas Zero (wygasły) Zimno ---
Pole Lat , Polak Lat
Pole Long , Długi Polak
Pole Rotation , Obrót bieguna
Polka Dots , Polka Kropki
Pollock: Convergence , Pollock: Konwergencja
Polygonize [Energy] , Poligonize [Energia]
Portrait , Portret
Portrait Retouching , Retusz portretowy
Portrait-1 , Portret-1
Portrait-2 , Portret-2
Portrait-3 , Portret-3
Portrait-4 , Portret-4
Portrait-5 , Portret-5
Portrait-6 , Portret-6
Portrait-7 , Portret-7
Portrait-8 , Portret-8
Portrait-9 , Portret-9
Portrait0 , Portret0
Portrait1 , Portret1
Portrait10 , Portret10
Portrait2 , Portret2
Portrait3 , Portret3
Portrait4 , Portret4
Portrait5 , Portret5
Portrait6 , Portret6
Portrait7 , Portret7
Portrait8 , Portret8
Portrait9 , Portret9
Position , Stanowisko
Position X (%) , Pozycja X (%)
Position X Origin (%) , Pozycja X Pochodzenie (%)
Position Y (%) , Pozycja Y (%)
Position Y Origin (%) , Pozycja Y Pochodzenie (%)
Positive , Pozytywny
Post-Process , Po przetworzeniu
Poster Edges , Krawędzie plakatu
Posterization Antialiasing , Posteryzacja Antialiasing
Posterization Level , Poziom posteryzacji
Posterize , Posteruj
Posterized Dithering , Posteryzowany Dithering
Power , Władza
Pre-Defined , Wstępnie zdefiniowany
Pre-Defined Colormap , Wstępnie zdefiniowana Colormap
Pre-Normalize Image , Wstępna normalizacja obrazu
Pre-Process , Proces wstępny
Precision , Precyzja
Precision (%) , Dokładność (%)
Preliminary Surface Shift , Wstępna zmiana powierzchniowa
Preliminary X-Axis Scaling , Wstępne skalowanie X-Axis
Preliminary Y-Axis Scaling , Wstępne skalowanie Y-Axis
Preprocessor Power , Moc preprocesora
Preprocessor Radius , Preprocesor Promień
Preserve Canvas for Post Bump Mapping , Zachowaj płótno do mapowania po uderzeniu
Preserve Edges , Zachowaj krawędzie
Preserve Image Dimension , Zachowaj wymiar obrazu
Preserve Initial Brightness , Zachowaj początkową jasność
Preserve Luminance , Zachowaj luminancję
Preview , Premiera
Preview All Outputs , Podgląd wszystkich wyjść
Preview Bands , Zespoły podglądowe
Preview Brush , Podgląd szczotki
Preview Data , Podgląd danych
Preview Detected Shapes , Podgląd wykrytych kształtów
Preview Frame Selection , Wybór ramki podglądu (Preview Frame Selection)
Preview Gradient , Gradient podglądowy
Preview Grain Alone , Podgląd Ziarno Samodzielne
Preview Grid , Siatka podglądowa
Preview Guides , Przewodniki podglądowe
Preview Mapping , Podgląd mapowania
Preview Mask , Maska poglądowa
Preview Only Shadow , Podgląd tylko cień
Preview Opacity (%) , Podgląd Nieprzezroczystość (%)
Preview Original , Podgląd Oryginalny
Preview Precision , Podgląd Precyzja
Preview Progress (%) , Podgląd postępów (%)
Preview Progression While Running , Progresja podglądu podczas biegu
Preview Ref Point , Punkt referencyjny podglądu
Preview Reference Circle , Podgląd Kręgu Referencyjnego
Preview Selection , Wybór podglądu
Preview Shape , Podgląd kształtu
Preview Shows , Pokazy podglądowe
Preview Split , Podgląd Rozdzielenie
Preview Subsampling , Podgląd Próba wstępna Próba wstępna
Preview Time , Czas podglądu
Preview Tones Map , Podgląd mapy tonów
Preview Type , Typ podglądu
Preview Without Alpha , Podgląd bez Alphy
Primary Angle , Kąt podstawowy
Primary Color , Kolor podstawowy
Primary Factor , Czynnik pierwotny
Primary Gamma , Gamma pierwotna
Primary Radius , Promień pierwotny
Primary Shift , Zmiana pierwotna
Print Adjustment Marks , Znaki korekcji druku
Print Films (12) , Drukowanie filmów (12)
Print Frame Numbers , Numery ramek do drukowania
Print Size Unit , Jednostka rozmiaru wydruku
Print Size Width , Rozmiar wydruku Szerokość
Privacy Notice , Informacja o ochronie prywatności
Probability Map , Mapa prawdopodobieństwa
Procedural , Proceduralne
Process As , Proces Jak
Process by Blocs of Size , Proces w podziale na bloki wielkości
Process Channels Individually , Kanały procesowe Indywidualnie
Process Top Layer Only , Tylko górna warstwa procesowa
Process Transparency , Przejrzystość procesu
Processing Mode , Tryb przetwarzania
Propagation , Propagowanie
Proportion , Proporcja
Protanomaly , Protanomalia
Protect Highlights 01 , Chroń reflektory 01
Prussian Blue , Niebieski Pruski
Pseudo-Gray Dithering , Pseudo-szary Dithering
Purple , Fioletowy
Purple11 (12) , Fioletowy11 (12)
Pyramid , Piramida
Pyramid Processing , Przetwarzanie w piramidzie
Pythagoras Tree , Drzewo Pitagorasa
Quadrangle , Kwadrant
Quadtree Variations , Wariacje Quadtree
Quality , Jakość
Quality (%) , Jakość (%)
Quantization , Kwantyfikacja
Quantize Colors , Ilość Kolory
Quick , Szybko
Quick Copyright , Szybkie prawa autorskie
Quick Enlarge , Szybkie powiększenie
R/B Smoothness (Principal) , R/B Gładkość (Główna)
R/B Smoothness (Secondary) , R/B Gładkość (wtórna)
Radius , Promień
Radius (%) , Promień (%)
Radius / Angle , Promień / Kąt
Radius [Manual] , Promień [Instrukcja]
Radius Cut , Cięcie promieniowe
Radius Middle Circle , Promień Koła Środkowego
Radius Outer Circle A (>0 W%) (<0 H%) , Promień Okrąg zewnętrzny A (>0 W%) (<0 H%)
Rain & Snow , Deszcz i śnieg
Rainbow , Tęcza
Raindrops , Krople deszczu
Random , Losowo
Random [non-Transparent] , Losowo [nieprzezroczysty]
Random Angle , Kąt przypadkowy
Random Color Ellipses , Przypadkowe elipsy kolorystyczne (Random Color Ellipses)
Random Colors , Przypadkowe kolory
Random Seed , Nasiona losowe
Randomized , Randomizowany
Randomness , Przypadkowość
Range , Zasięg
Ratio , Stosunek:
Raw , Surowy
Rays , Ray
Rays Colors ABCD , Rays Kolory ABCD
Rays Colors ABCDE , Ray Kolory ABCDE
Rays Colors ABCDEF , Ray Kolory ABCDEF
Rays Colors ABCDEFG , Ray Kolory ABCDEFG
Rebuild From Similar Blocs , Odbudować się z podobnych bloków
Recompose , Ponownie skomponować
Reconstruct From Previous Frames , Rekonstrukcja z poprzednich ramek
Recover , Odzyskaj
Recover Highlights , Odzyskaj ważne informacje
Recover Shadows , Odzyskaj cienie
Recovery , Odbudowa
Rectangle , Prostokątny
Recursion Depth , Głębokość rewersyjna
Recursions , Rekrutacje
Recursive Median , Mediana zwrotna
Red , Czerwony
Red - Green - Blue , Czerwony - Zielony - Niebieski
Red - Green - Blue - Alpha , Czerwony - Zielony - Niebieski - Alpha
Red Blue Yellow , Czerwony Niebieski Żółty
Red Chroma Factor , Współczynnik czerwonego aromatu
Red Chroma Smoothness , Gładkość czerwonego aromatu
Red Day 01 , Dzień Czerwony 01
Red Factor , Czynnik czerwony
Red Level , Poziom czerwony
Red Smoothness , Czerwona Gładkość
Red Wavelength , Długość fali czerwonej
Red-Eye Attenuation , Tłumienie czerwonych oczu
Red-Green , Czerwono-zielony
Reds , Czerwoni
Reds Oranges Yellows , Pomarańcze czerwone Pomarańcze żółte
Reduce Halos , Zmniejszyć halos
Reduce Noise , Zmniejszyć hałas
Reduce RAM , Zmniejszenie pamięci RAM
Reduce Redness , Zmniejszyć czerwień
Reference , Odniesienie
Reference Angle (deg.) , Kąt odniesienia (deg.)
Reference Color , Kolor odniesienia
Reference Colors , Kolory referencyjne
Reflect , Refleksja
Reflection , Refleksja
Refraction , Refrakcja
Regular Grid , Siatka zwykła
Regularity , Regularność
Regularity (%) , Regularność (%)
Regularization , Regularizacja
Regularization (%) , Regulacja (%)
Regularization Factor , Czynnik regulujący
Regularization Iterations , Iteracje regularyzacyjne
Reject , Odrzucić
Rejected Colors , Odrzucone kolory
Rejected Mask , Odrzucona maska
Relative Block Count , Względna liczba bloków
Relative Size , Rozmiar względny
Relative Warping , Wypaczenia względne
Release Notes , Uwagi do publikacji
Relief Amplitude , Amplituda ulgi
Relief Contrast , Kontrast ulgi
Relief Size , Wielkość ulgi
Relief Smoothness , Ulga Gładkość
Remove Artifacts From Micro/Macro Detail , Usuwanie artefaktów z Mikro/Macro szczegółów
Remove Hot Pixels , Usuwanie gorących pikseli
Remove Tile , Usuń płytkę
Render Multiple Frames , Render Wiele ramek
Render on Dark Areas , Render na Ciemnych Obszarach
Render on White Areas , Render na White Areas
Render Routine for Wiggle Animations , Rutyna Render dla animacji Wiggle'a
Rendering Mode , Tryb renderowania
Repair Scanned Document , Zeskanowany dokument naprawczy
Repeat , Powtórzyć
Repeat [Memory Consuming!] , Powtórz. [Pożerająca pamięć!]
Repeats , Powtarza się
Replace , Zastąpić
Replace (Sharpest) , Zastąpić (Najostrzejszy)
Replace Layer with CLUT , Wymień warstwę na CLUT
Replace Source by Target , Zastąpienie źródła przez cel
Replace With White , Wymień z białym
Replaced Color , Zastąpiony kolor
Replacement Color , Kolor zastępczy
Reptile , Gad
Rescaling , Skalowanie
Reset View , Resetuj widok
Resize Image for Optimum Effect , Zmiana rozmiaru obrazu w celu uzyskania optymalnego efektu
Resolution , Rezolucja
Resolution (%) , Rezolucja (%)
Resolution (px) , Uchwała (px)
Rest 33 , Reszta 33
Result Image , Obraz wynikowy
Result Type , Rodzaj wyniku
Resynthetize Texture [FFT] , Tekstura resyntetyzowana [FFT]
Resynthetize Texture [Patch-Based] , Tekstura reyntetyzowania [na bazie plastrów]
Retouch Layer , Warstwa retuszu
Retouched and Sharpened Areas , Obszary remontowane i zaostrzone
Retouched Areas Only , Tylko obszary remontowane
Retouched Image , Retuszowany obraz
Retouched Image Basic , Retuszowany obraz podstawowy
Retouched Image Final , Retuszowany obraz końcowy
Retouching Style , Styl retuszu
Retro Brown 01 , Retro Brązowy 01
Retro Summer 3 , Retro Lato 3
Retro Yellow 01 , Retro Żółty 01
Return Scaling , Skalowanie powrotne
Reverse Bits , Bity odwrotne
Reverse Bytes , Bajty odwrotne
Reverse Effect , Efekt odwrotny
Reverse Endianness , Odwrotna Endianiczność
Reverse Flip , Odwrócone salto
Reverse Frame Stack , Odwrotny stos ramek
Reverse Gradient , Gradient odwrotny
Reverse Mod , Odwrócony mod
Reverse Motion , Odwrotny wniosek
Reverse Order , Odwrotny porządek
Reverse Pow , Odwrotny Pow
Reversing , Cofanie
Revert Layer Order , Odwrotna kolejność warstw
Revert Layers , Warstwy odwrotne
RGB [All] , RGB [Wszystkie]
RGB [Blue] , RGB [Niebieski]
RGB [Green] , RGB [Zielony]
RGB [red] , RGB [czerwony]
RGB Image + Binary Mask (2 Layers) , Obraz RGB + maska binarna (2 warstwy)
RGB Quantization , RGB Kwantyfikacja
RGB Tone , Ton RGB
RGBA [All] , RGBA [Wszystkie]
RGBA Foreground + Background (2 Layers) , RGBA Pierwszy plan + tło (2 warstwy)
RGBA Image (Full-Transparency / 1 Layer) , Obraz RGBA (Full Transsparency / 1 warstwa)
RGBA Image (Updatable / 1 Layer) , Obraz RGBA (z możliwością aktualizacji / 1 warstwa)
Rice , Ryż
Right , Prawo
Right Diagonal  Foreground , Prawa przekątna pierwszego planu
Right Diagonal Foreground , Prawa przekątna pierwszego planu
Right Eye View , Widok prawego oka
Right Foreground , Prawy pierwszy plan
Right Position , Właściwa pozycja
Right Side Orientation , Prawostronna orientacja
Right Slope , Prawy stok
Right Stream Only , Tylko Right Stream
Rigid , Sztywny
Roddy (by Mahvin) , Roddy (przez Mahvina)
Rodilius [Animated] , Rodilius [Animowany]
Rollei Retro 100 Tonal , Rollei Retro 100 Tonalny
Rollei Retro 80s , Rollei Retro lat 80.
Rose , Róża
Rotate , Obróć
Rotate (muted) , Obrót (wyciszenie)
Rotate (vibrant) , Obracaj się (wibruj)
Rotate 180 Deg. , Obróć o 180 stopni.
Rotate 270 Deg. , Obróć o 270 stopni.
Rotate 90 Deg. , Obróć o 90 stopni.
Rotate Hue Bands , Obróć opaski Hue Bands
Rotate Tree , Obróć drzewo
Rotated , Obrócony
Rotated (crush) , Obrócony (zgniecenie)
Rotations , Obroty
Round , Runda
Row by Row , Wiersz po wierszu
RYB [All] , RYB [Wszystkie]
RYB [Blue] , RYB [Niebieski]
S-Curve Contrast , Kontrast krzywej S
Salt and Pepper , Sól i pieprz
Same as Input , Tak samo jak wejście
Same Axis , Ta sama oś
Sample Image , Przykładowy obraz
Sampling , Pobieranie próbek
Saturated Blue , Nasycony błękit
Saturation , Nasycenie
Saturation (%) , Nasycenie (%)
Saturation Channel Gamma , Kanał nasycenia Gamma
Saturation Correction , Korekta nasycenia
Saturation EQ , EQ nasycenia
Saturation Factor , Współczynnik nasycenia
Saturation Offset , Przesunięcie nasycenia
Saturation Shift , Przesunięcie nasycenia
Saturation Smoothness , Nasycenie Gładkość
Save CLUT as .Cube or .Png File , Zapisz CLUT jako plik .Cube lub .Png
Save Gradient As , Zapisz gradient jako
Saving Private Damon , Ratowanie prywatnego Damona
Scale , Skala:
Scale (%) , Skala (%)
Scale 1 , Skala 1
Scale 2 , Skala 2
Scale CMYK , Skala CMYK
Scale Factor , Współczynnik skali
Scale Output , Skala wyjściowa
Scale Plasma , Skala Plazma
Scale RGB , Skala RGB
Scale Style to Fit Target Resolution , Styl skali dopasowany do rozdzielczości docelowej
Scale Variations , Zmiany skali
Scaled , Skalowany
Scales , Wagi
Scaling Factor , Współczynnik skalowania
Scene Selector , Selektor scen
Screen , Ekran
Screen Border , Granica ekranu
Seamless Deco , Bezszwowe Deco
Seamless Turbulence , Bezszwowa turbulencja
Second Color , Drugi kolor
Second Offset , Drugi offset
Second Radius , Drugi promień
Second Size , Druga wielkość
Secondary Color , Kolor wtórny
Secondary Factor , Czynnik drugorzędny
Secondary Gamma , Gamma drugorzędna
Secondary Radius , Promień drugorzędny
Secondary Shift , Zmiana wtórna
Sectors , Sektory
Seed , Nasiona
Segment Max Length (px) , Segment Maksymalna długość (px)
Segmentation , Segmentacja
Segmentation Edge Threshold , Segmentacyjny próg krawędziowy
Segmentation Smoothness , Segmentacja Gładkość
Segments , Segmenty
Segments Strength , Segmenty Wytrzymałość
Select By , Wybierz Przez
Select-Replace Color , Wybierz-Replace Color
Selected Color , Wybrany kolor
Selected Colors , Wybrane kolory
Selected Frame , Wybrana ramka
Selected Mask , Wybrana maska
Selection , Wybór
Selective Desaturation , Desaturacja selektywna
Selective Gaussian , Selektywny Gaussian
Self Image , Obraz siebie
Sensitivity , Wrażliwość
Sequence X4 , Sekwencja X4
Sequence X6 , Sekwencja X6
Sequence X8 , Sekwencja X8
Serenity , Spokój
Serial Number , Numer seryjny
Seringe 4 , Serge 4
Serpent , Wąż
Set Aspect Only , Tylko w aspekcie
Set Frame Format , Ustawianie formatu ramki
Seven Layers , Siedem warstw
Seventies Magazine , Magazyn z lat siedemdziesiątych
Shade , Cień
Shade Angle , Kąt widzenia cienia
Shade Back to First Color , Odcień Powrót do pierwszego koloru
Shade Strength , Wytrzymałość cienia
Shading , Cieniowanie
Shading (%) , Cieniowanie (%)
Shadow , Cień
Shadow Contrast , Kontrast cieni (Shadow Contrast)
Shadow Intensity , Cień Intensywność
Shadow Offset X , Przesunięcie cienia X
Shadow Offset Y , Przesunięcie cienia Y
Shadow Size , Rozmiar cienia (Shadow Size)
Shadow Smoothness , Cień Gładkość cienia
Shadows , Cienie
Shadows Abstraction , Cienie Abstrakcja
Shadows Brightness , Cienie Jasność
Shadows Color Intensity , Cienie Intensywność koloru
Shadows Lightness , Cienie Lekkość
Shadows Selection , Wybór cieni (Shadows Selection)
Shadows Threshold , Cienie Próg
Shadows Zone , Strefa cieni (Shadows Zone)
Shape , Kształt
Shape Area Max , Obszar kształtu Max
Shape Area Max0 , Obszar kształtu Max0
Shape Area Min0 , Obszar kształtu Min0
Shape Average , Kształt Średnia
Shape Average0 , Kształt Średnia0
Shape Max , Kształt Max
Shape Max0 , Kształt Max0
Shape Median , Kształt Mediany
Shape Median0 , Kształt Mediany0
Shape Min0 , Kształt Min0
Shapeaverage , Średni kształt
Shapes , Kształty
Sharp Abstract , Ostre streszczenie
Sharpen , Ostrzyć
Sharpen [Deblur] , Ostrzyć [Deblur]
Sharpen [Gold-Meinel] , Ostrzyć [Gold-Meinel]
Sharpen [Gradient] , Ostrzyć [Gradient]
Sharpen [Hessian] , Ostrzyć [Hessian]
Sharpen [Inverse Diffusion] , Wyostrzyć [Odwrócenie dyfuzji]
Sharpen [Multiscale] , Ostrzyć [Multiscale]
Sharpen [Octave Sharpening] , Sharpen [Oktawowe Ostrzenie]
Sharpen [Richardson-Lucy] , Wyostrzyć [Richardson-Lucy]
Sharpen [Shock Filters] , Wyostrzyć [Filtry wstrząsające]
Sharpen [Texture] , Wyostrzyć [Tekstura]
Sharpen [Tones] , Wyostrzyć [Tony]
Sharpen [Unsharp Mask] , Wyostrzyć [Maska Naostrzona]
Sharpen [Whiten] , Ostrzyć [Whiten]
Sharpen Details in Preview , Wyostrzyć szczegóły w Podglądzie
Sharpen Edges Only , Tylko ostre krawędzie
Sharpen Object , Ostrzony obiekt
Sharpen Radius , Ostry promień
Sharpen Shades , Wyostrzone odcienie (Sharpen Shades)
Sharpened Areas Only , Tylko obszary zaostrzone
Sharpening , Ostrzenie
Sharpening Layer , Ostrzenie warstwy
Sharpening Radius , Promień ostrzenia
Sharpening Strength , Wytrzymałość na ostrzenie
Sharpening Type , Rodzaj ostrzenia
Sharpest , Najostrzejszy
Sharpness , Ostrość
Shift Linear Interpolation? , Interpolacja liniowa Shift?
Shift Point , Punkt zmiany
Shift Y , Zmiana Y
Shininess , Błyskotliwość
Shivers , Ciarki
Shopping Cart , Wózek na zakupy
Show Both Poles , Pokaż obu Polaków
Show Difference , Pokaż różnicę
Show Frame , Pokaż ramkę
Shrink , Kurczyć się
Shuffle Pieces , Shuffle Kawałki
Sierpinksi Design , Projekt Sierpinksi
Sierpinski Triangle , Trójkąt Sierpińskiego
Silver , Srebro
Similarity Space , Podobieństwo przestrzeni
Simple Local Contrast , Prosty lokalny kontrast
Simple Noise Canvas , Hałasowe płótno proste
Simulate Film , Symuluj film
Sin(z) , Grzech (z)
Single (Merged) , Pojedynczy (połączony)
Single Custom Depth Map , Pojedyncza niestandardowa mapa głębokości
Single Image Stereogram , Stereogram jednoobrazowy
Single Layer , Jednowarstwowy
Six Layers , Sześć warstw
Sixteen Threads , Szesnaście wątków
Size , Rozmiar
Size (%) , Wielkość (%)
Size for Bright Tones , Rozmiar dla Jasnych Tonów
Size for Dark Tones , Rozmiar dla Dark Tones
Size of Frame Numbers (%) , Wielkość Liczba ramek (%)
Size Variance , Rozmiar Rozmiar Variance
Size-1 , Wielkość 1
Size-2 , Rozmiar 2
Size-3 , Wielkość - 3
Skeleton , Szkielet
Skin Estimation , Ocena skóry
Skin Mask , Maska na skórę
Skin Tone Colors , Kolory tonów skóry
Skin Tone Mask , Maska z odcieniem skóry
Skin Tone Protection , Ochrona przed zabarwieniem skóry
Skip All Other Steps , Pomiń wszystkie inne kroki
Skip Finest Scales , Pomiń najdrobniejsze skale
Skip Others Steps , Pomiń inne kroki
Skip This Step , Pomiń ten krok
Skip to Use the Mask to Boost , Przejdź do opcji Użyj maski, aby zwiększyć.
Slice Luminosity , Plaster Luminosity
Slide [Color] (26) , Suwak [Kolor] (26)
Slow Recovery , Powolny powrót do zdrowia
Small , Mały
Small (Faster) , Mały (Szybszy)
Smart Threshold , Inteligentny próg
Smooth , Gładko
Smooth [Anisotropic] , Gładki [Anizotropowy]
Smooth [Bilateral] , Gładko [dwustronnie]
Smooth [Block PCA] , Gładko [blok PCA]
Smooth [Diffusion] , Smooth [Dyfuzja]
Smooth [Geometric-Median] , Gładki [Geometryczno-medyczny]
Smooth [Guided] , Smooth [Prowadzony]
Smooth [Mean-Curvature] , Gładka [średnia-kurwatura]
Smooth [Median] , Smooth [Mediana]
Smooth [Patch-Based] , Gładko. [Łata]
Smooth [Patch-PCA] , Gładki [Patch-PCA]
Smooth [Selective Gaussian] , Smooth [Gaussian Selektywny]
Smooth [Skin] , Smooth [Skóra]
Smooth [Thin Brush] , Gładko [cienka szczotka]
Smooth [Total Variation] , Gładko [Całkowita zmienność]
Smooth Abstract , Gładkie streszczenie
Smooth Amount , Gładka kwota
Smooth Clear , Smooth Jasne
Smooth Colors , Gładkie kolory
Smooth Only , Tylko gładki
Smooth Sailing , Gładkie żeglowanie
Smoothen Background Reconstruction , Wygładzanie tła Odbudowa tła
Smoother Sharpness , Gładsza ostrość
Smoothing , Wygładzanie
Smoothing Style , Styl wygładzający
Smoothing Type , Typ wygładzania
Smoothness , Gładkość
Smoothness (%) , Gładkość (%)
Smoothness (px) , Gładkość (px)
Smoothness Shadow , Gładkość Cień
Smoothness Type , Gładkość Typ
Snowflake , Płatek śniegu
Snowflake 2 , Płatek śniegu 2
Snowflake Recursion , Płatek śniegu Powrót
Soft , Miękka
Soft  Light , Miękkie światło
Soft Burn , Miękkie oparzenie
Soft Fade , Miękkie zanikanie
Soft Glow , Miękka poświata
Soft Light , Miękkie światło
Soft Random Shades , Miękkie przypadkowe odcienie
Soft Warming , Miękkie Ogrzewanie
Soften , Często
Soften All Channels , Zmiękcz wszystkie kanały
Soften Guide , Przewodnik Miękki
Solarize , Solaryzować
Solarize Color , Kolor słoneczny
Solarized Color2 , Kolor słoneczny2
Solidify , Solidaryzuje się
Solve Maze , Rozwiązuj labirynt
Some , Niektóre
Some Blue , Niektóre Blue
Some Cyan , Jakiś Cyjan
Some Green , Trochę zieleni
Some Key , Jakiś klucz
Some Magenta , Trochę Magenty
Some Red , Trochę czerwieni
Some Yellow , Trochę żółty
Sort Colors , Sortowanie kolorów
Sorting Criterion , Kryterium sortowania
Source (%) , Źródło (%)
Source Color #1 , Kolor źródłowy #1
Source Color #10 , Kolor źródłowy #10
Source Color #11 , Kolor źródłowy #11
Source Color #12 , Kolor źródłowy #12
Source Color #13 , Kolor źródłowy #13
Source Color #14 , Kolor źródłowy #14
Source Color #15 , Źródło Kolor #15
Source Color #16 , Źródło Kolor #16
Source Color #17 , Kolor źródłowy #17
Source Color #18 , Kolor źródłowy #18
Source Color #19 , Źródło Kolor #19
Source Color #2 , Źródło Kolor #2
Source Color #20 , Kolor źródłowy #20
Source Color #21 , Źródło Kolor #21
Source Color #22 , Kolor źródłowy #22
Source Color #23 , Kolor źródłowy #23
Source Color #24 , Źródło Kolor #24
Source Color #3 , Źródło Kolor #3
Source Color #4 , Kolor źródłowy #4
Source Color #5 , Kolor źródłowy #5
Source Color #6 , Źródło Kolor #6
Source Color #7 , Kolor źródłowy #7
Source Color #8 , Źródło Kolor #8
Source Color #9 , Źródło Kolor #9
Source X-Tiles , Źródło X-Tiles
Source Y-Tiles , Źródło Płytki Y
Space , Przestrzeń
Spatial Bandwidth , Pasmo przestrzenne
Spatial Metric , Metryka przestrzenna
Spatial Overlap , Przestrzenne nakładanie się
Spatial Precision , Precyzja przestrzenna
Spatial Radius , Promień przestrzenny
Spatial Regularization , Regulacja przestrzenna
Spatial Sampling , Pobieranie próbek przestrzennych
Spatial Scale , Skala przestrzenna
Spatial Tolerance , Tolerancja przestrzenna
Spatial Transition , Transformacja przestrzenna
Spatial Variance , Wariacja przestrzenna
Special Effects , Efekty specjalne
Specific Saturation , Specyficzne nasycenie
Specify Different Output Size , Określać różne wielkości wyjściowe
Specify HaldCLUT As , Określ HaldCLUT jako
Specular Centering , Centrowanie spekulacyjne
Specular Intensity , Spekularna Intensywność
Specular Light , Światło migawkowe
Specular Lightness , Lekkość mowy
Specular Size , Rozmiar spekulatywny
Speed , Prędkość
Sphere , Sfera
Spiral , Spirala
Spiral RGB , Spirala RGB
Spline B1 , Klinga B1
Spline B2 , Linia B2
Spline B3 , Klinika B3
Spline B4 , Klinga B4
Spline B5 , Klinga B5
Spline B6 , Klinga B6
Spline Editor , Redaktor Spline
Spline Max Angle (deg) , Klinga Max Kąt (deg)
Spline Max Length (px) , Klinga Maksymalna długość (px)
Spline Roundness , Spline Okrągłość
Splines , Spliny
Split Base and Detail Output , Wyjście z podziałem na bazę i szczegóły
Split Brightness / Colors , Podział Jasność / Kolory
Split Details [Alpha] , Szczegóły podziału [Alpha]
Split Details [Wavelets] , Szczegóły podziału [Fale]
Sponge , Gąbka
Spread Amount , Spread Kwota
Spread Angles , Kąty rozproszenia
Spread Noise Amount , Hałas rozproszony Ilość
Spreading , Rozprzestrzenianie się
Spring Morning , Wiosenny poranek
Sprocket 231 , Koło zębate 231
Spy 29 , Szpieg 29
Square , Plac
Square 1 , Plac 1
Square 2 , Plac 2
Square to Circle , Od kwadratu do koła
Squared-Euclidean , Kwadratowo-Euklidesowy
Squares , Placyki
Squares (Outline) , Kwadraty (kontur)
SRGB Conversion , Konwersja SRGB
Stabilizer , Stabilizator
Stained Glass , Witraż
Stamp , Stempel
Standard [No Scan] , Standard [Bez skanowania]
Standard Deviation , Odchylenie standardowe
Star , Gwiazda
