<b>Arrays & Tiles</b> , <b>アレイとタイル</b>
Marble , 大理石
Margin (%) , マージン(%)
Mascot Image , マスコットイメージ
Masculine , 男性
Mask , マスク
Mask + Background , マスク + 背景
Mask as Bottom Layer , ボトムレイヤーとしてのマスク
Mask By , マスク
Mask Color , マスクの色
Mask Contrast , マスク コントラスト
Mask Creator , マスククリエーター
Mask Dilation , マスクダイレーション
Mask Size , マスクサイズ
Mask Smoothness (%) , マスク平滑度(%)
Mask Type , マスクの種類
Masked Image , マスク画像
Masking , マスキング
MasterOpacity , マスター不透明度
Match Colors With , と色を一致させる
Matching Precision (Smaller Is Faster) , マッチング精度（小さい方が速い
Math Symbols , 数学記号
Matrix , マトリックス
Max , 最大
Max Angle , 最大角度
Max Angle Deviation (deg) , 最大角度偏差(deg)
Max Area , 最大面積
Max Curve , 最大曲線
Max Cut (%) , 最大カット数(%)
Max Iterations , 最大反復回数
Max Length (%) , 最大長さ (%)
Max Offset (%) , 最大オフセット(%)
Max Radius , 最大半径
Max Threshold , 最大しきい値
Max-T , マックスティー
Maximal Area , 最大面積
Maximal Color Saturation , 最大色の彩度
Maximal Highlights , 最大のハイライト
Maximal Radius , 最大半径
Maximal Seams per Iteration (%) , イテレーションあたりの最大シーム数(%)
Maximal Size , 最大サイズ
Maximal Value , 最大値
Maximum , 最大
Maximum Dimension , 最大寸法
Maximum Image Size , 最大画像サイズ
Maximum Number of Image Colors , 最大画像色数
Maximum Number of Output Layers , 最大出力レイヤ数
Maximum Red:Blue Ratio in the Fringe , フリンジ内の最大赤：青の比率
Maximum Saturation , 最大飽和度
Maximum Size Factor , 最大サイズファクター
Maximum Value , 最大値
Maze , 迷路
Maze Type , 迷路タイプ
McKinnon 75 , マッキノン 75
Mean Color , 平均色
Mean Curvature , 平均曲率
Median , 中央値
Median (beware: Memory-Consuming!) , 中央値（ご用心：記憶力の低下!
Median Radius , 中央値半径
Medium , 中型
Medium 3 , 中型 3
Medium Details Smoothness , ミディアム 詳細 滑らかさ
Medium Details Threshold , 媒体詳細スレッショルド
Medium Frequency Layer , 中頻度層
Medium Scale (Original) , 中尺（オリジナル
Medium Scale (Smoothed) , 中型スケール（平滑化
Memories , 思い出
Merge Brightness / Colors , 明るさ/色をマージ
Merge Layers? , レイヤーをマージ？
Merging Mode , マージングモード
Merging Option , マージオプション
Merging Steps , マージングステップ
Mess with Bits , ビットを混乱させる
Metal , 金属
Metallic Look , メタリックルック
Method , 方法
Metric , メートル
Metropolis , メトロポリス
Micro/macro Details  Adjusted , マイクロ/マクロ 詳細調整済み
Mid , ミッド
Mid Grey , ミッドグレー
Mid Noise , ミッドノイズ
Mid Offset , 中間オフセット
Mid Tone Contrast , ミッドトーンのコントラスト
Mid-Dark Grey , ミッドダークグレー
Mid-Light Grey , ミッドライトグレー
Mid-Tones , ミッドトーン
Middle Grey , ミドルグレー
Middle Scale , ミドルスケール
Midpoint , 中間点
Midtones Brightness , 中間調の明るさ
Midtones Color Intensity , ミッドトーンの色の強さ
Midtones Hue , ミッドトーンの色相
Mighty Details , マイティの詳細
Milo 5 , ミロ 5
Min , ミン
Min Angle Deviation (deg) , 最小角度偏差(deg)
Min Area % , 最小面積
Min Cut (%) , 最小カット数(%)
Min Length (%) , 最小長さ (%)
Min Offset (%) , 最小オフセット(%)
Min Radius , 最小半径
Min Threshold , 最小しきい値
Min-T , ミント
Mineral Mosaic , ミネラルモザイク
Minesweeper , マインスイーパ
Minimal Area , 最小面積
Minimal Area (%) , 最小面積(%)
Minimal Color Intensity , 最小限の色の強度
Minimal Highlights , 最小限のハイライト
Minimal Path , 最小パス
Minimal Radius , 最小半径
Minimal Region Area , 最小領域面積
Minimal Scale (%) , 最小規模(%)
Minimal Shape Area , 最小形状面積
Minimal Size , 最小サイズ
Minimal Size (%) , 最小サイズ(%)
Minimal Stroke Length , 最小ストローク長
Minimal Value , 最小値
Minimalist Caffeination , ミニマリストカフェイン
Minimum , 最小
Minimum Brightness , 最低の明るさ
Minimum Red:Blue Ratio in the Fringe , フリンジ内の最小赤:青の比率
Ministeck , ミニステック
Mirror , ミラー
Mirror Effect , ミラー効果
Mirror X , ミラーX
Mirror Y , ミラーY
Mirror-X , ミラーエックス
Mirror-XY , ミラーXY
Mirror-Y , ミラーY
Mix , 混合物
Mixed Mode , 混合モード
MIxer , ミクサー
Mixer [CMYK] , ミキサー [CMYK]
Mixer [HSV] , ミキサー [HSV]
Mixer [Lab] , ミキサー[研究室]
Mixer [PCA] , ミキサー[PCA]
Mixer [RGB] , ミキサー [RGB]
Mixer [YCbCr] , ミキサー[YCbCr]
Mixer Mode , ミキサーモード
Mixer Style , ミキサースタイル
Mod , モッド
Mode , モード
Modern Film , 現代映画
Modulo , モデューロ
Modulo Value , モデューロ値
Moir&eacute; Animation , Moir&eacute; アニメーション
Moire Removal , モアレの除去
Moire Removal Method , モアレの除去方法
Mona Lisa , モナリザ
Mondrian: Composition in Red-Yellow-Blue , モンドリアン赤・黄・青の構図
Mondrian: Evening; Red Tree , モンドリアン：イブニング、レッドツリー
Mondrian: Gray Tree , モンドリアン：グレーの木
Monet: San Giorgio Maggiore at Dusk , モネ：夕暮れのサン・ジョルジョ・マッジョーレ
Monet: Water-Lily Pond , モネ：睡蓮の池
Monet: Wheatstacks - End of Summer , モネ：麦わらの丘-夏の終わり
Monkey , モンキー
Mono , モノラル
Mono Tinted , 染められたモノラル
Mono+G , モノ+G
Mono+R , モノ+R
Mono+Ye , モノ＋イ
Mono-Directional , 単方向性
Monochrome , モノクローム
Monochrome 1 , モノクロ1
Monochrome 2 , モノクロ2
Montage , モンタージュ
Montage Type , モンタージュタイプ
Moody , ムーディー
Moody-1 , ムーディ-1
Moody-10 , ムーディ-10
Moody-2 , ムーディ-2
Moody-3 , ムーディ-3
Moody-4 , ムーディ-4
Moody-5 , ムーディ-5
Moody-6 , ムーディ-6
Moody-7 , ムーディ-7
Moody-8 , ムーディ-8
Moody-9 , ムーディ-9
Moon2panorama , 月2パノラマ
Moonlight , ムーンライト
Moonlight 01 , ムーンライト01
Moonrise , 月の出
Morning 6 , 朝6時
Morph [Interactive] , モーフ[インタラクティブ]
Morph Layers , モーフレイヤー
Morphological - Fastest Sharpest Output , 形態素 - 最速シャープな出力
Morphological Closing , 形態素閉鎖
Morphological Filter , 形態素フィルタ
Morphology Painting , モルフォロジー絵画
Morphology Strength , 形態学的な強さ
MorphoStrenght , モルフォストレングス
Morroco 16 , モロッコ16
Mosaic , モザイク
Most , ほとんどの
Mostly Blue , ほとんどブルー
Motion Analyzer , モーションアナライザー
Motion-Compensated , モーション補償
Moviz (48) , モビズ (48)
Moviz 1 , ムービズ1
Moviz 10 , ムービズ10
Moviz 11 , ムービズ11
Moviz 13 , ムービズ13
Moviz 14 , ムービズ14
Moviz 16 , ムービズ16
Moviz 17 , ムービズ17
Moviz 18 , ムービズ18
Moviz 19 , ムービズ19
Moviz 2 , ムービズ2
Moviz 20 , ムービズ20
Moviz 21 , ムービズ21
Moviz 22 , ムービズ22
Moviz 23 , ムービズ23
Moviz 24 , ムービズ24
Moviz 25 , ムービズ25
Moviz 26 , ムービズ26
Moviz 27 , ムービズ27
Moviz 28 , ムービズ28
Moviz 29 , ムービズ29
Moviz 3 , ムービズ3
Moviz 30 , ムービズ30
Moviz 31 , ムービズ31
Moviz 32 , ムービズ32
Moviz 33 , ムービズ33
Moviz 34 , ムービズ34
Moviz 35 , ムービズ35
Moviz 36 , ムービズ36
Moviz 37 , ムービズ37
Moviz 39 , ムービズ39
Moviz 40 , ムービズ40
Moviz 41 , ムービズ41
Moviz 42 , ムービズ42
Moviz 43 , ムービズ43
Moviz 44 , ムービズ44
Moviz 45 , ムービズ45
Moviz 46 , ムービズ46
Moviz 47 , ムービズ47
Moviz 48 , ムービズ48
Moviz 8 , ムービズ8
Moviz 9 , ムービズ9
Much , 沢山
Much Blue , ムッシュブルー
Much Green , 緑が多い
Much Red , ムッチリレッド
Mul , ミュール
Multi-Layer Etch , 多層エッチング
Multiple Colored Shapes Over Transp. BG , Transp.BG
Multiple Layers , 複数のレイヤー
Multiplier , 乗算器
Multiply , 乗算
Multiscale Operator , マルチスケールオペレーター
Munch: The Scream , ムンクスクリーム
Mute Shift , ミュートシフト
Muted 01 , ミューテッド 01
Muted Fade , ミュートフェード
Mystic Purple Sunset , ミスティックパープルサンセット
Nah , 否
Naif , ナイーフ
Name , 名前
Natural (vivid) , ナチュラル（鮮やか
Nature & Wildlife-1 , 自然と野生動物-1
Nature & Wildlife-10 , 自然と野生動物10
Nature & Wildlife-2 , 自然と野生動物-2
Nature & Wildlife-3 , 自然と野生動物-3
Nature & Wildlife-4 , 自然と野生動物4
Nature & Wildlife-5 , 自然と野生動物-5
Nature & Wildlife-6 , 自然と野生動物-6
Nature & Wildlife-7 , 自然と野生動物-7
Nature & Wildlife-8 , 自然と野生動物8
Nature & Wildlife-9 , 自然と野生動物9
Nb Circles Surrounding , 周囲を囲むNbの円
Near Black , ブラック付近
Nearest , 最寄
Nearest Neighbor , 最寄駅
Neat Merge , ニートマージ
Nebulous , ネビュラス
Negate , ネゲート
Negation , 否定
Negative , ネガティブ
Negative [Color] (13) , ネガティブ [カラー] (13)
Negative [New] (39) , ネガティブ[新規] (39)
Negative [Old] (44) , ネガティブ[旧] (44)
Negative Color Abstraction , ネガティブカラーの抽象化
Negative Colors , 負の色
Negative Effect , マイナスの効果
Neighborhood Size (%) , 近隣地域の規模(%)
Neighborhood Smoothness , 近隣の滑らかさ
Nemesis , ネメシス
Neon 770 , ネオン770
Neon Lightning , ネオンライトニング
Neumann , ノイマン
Neutral Color , ニュートラルカラー
Neutral Teal Orange , ニュートラル ティール オレンジ
Neutral Warm Fade , ニュートラルウォームフェード
New Curves [Interactive] , 新しい曲線[インタラクティブ]
Newspaper , 新聞
Newton , ニュートン
Newton Fractal , ニュートンフラクタル
Night 01 , 夜01
Night Blade 4 , ナイトブレード4
Night From Day , 昼から夜へ
Night King 141 , 夜の王141
Night Spy , ナイトスパイ
Nine Layers , ナインレイヤー
No Masking , ノーマスキング
No Recovery , リカバリーなし
No Rescaling , 再スケーリングなし
No Transparency , 透明性がない
No-Skip , ノンスキップ
Noise , 騒音
Noise [Additive] , ノイズ [添加剤]
Noise [Perlin] , ノイズ【パーリン
Noise [Spread] , ノイズ[拡散]
Noise A , 騒音A
Noise B , ノイズB
Noise C , ノイズC
Noise D , ノイズD
Noise Level , 騒音レベル
Noise Scale , ノイズスケール
Noise Type , ノイズの種類
Non / No , なし/なし
Non-Linearity , 非直線性
Non-Rigid , 非剛体
None , なし
None (Allows Multi-Layers) , なし（マルチレイヤー対応
None- Skip , スキップ
Norm Type , ノームタイプ
Normal , 通常
Normal Map , 通常の地図
Normal Output , 通常出力
Normalization , 正規化
Normalize , ノーマライズ
Normalize Brightness , 明るさを正規化
Normalize Colors , 色の正規化
Normalize Illumination , 照明を正規化する
Normalize Input , 入力の正規化
Normalize Luma , ルーマの正規化
Normalize Scales , ノーマライズスケール
Nostalgia Honey , ノスタルジアハニー
Nostalgic , ノスタルジック
Nothing , なんでもない
Number , 数
Number of Added Frames , 追加フレーム数
Number of Angles , 角度の数
Number of Clusters , クラスター数
Number of Colors , 色数
Number of Frames , フレーム数
Number of Inter-Frames , フレーム間の数
Number of Iterations per Scale , スケールごとの反復回数
Number of Key-Frames , キーフレーム数
Number of Levels , レベル数
Number of Matches (Coarsest) , マッチ数（最も粗い
Number of Matches (Finest) , マッチ数(最高)
Number of Orientations , オリエンテーション数
Number Of Rays , レイズ数
Number of Scales , スケール数
Number of Sizes , サイズ数
Number of Streaks , ストリーク数
Number of Teeth , 歯の数
Number of Tones , トーン数
Object Animation , オブジェクトアニメーション
Object Ratio , オブジェクト比率
Object Tolerance , オブジェクトの公差
Octagon , 八角形
Octagonal , 八角形
Octaves , オクターブ
Octogon , オクトゴン
Oddness (%) , 奇数率(%)
Off , オフ
Offset , オフセット
Offset (%) , オフセット(%)
Offset Angle Rays Layer 1 , オフセット角度レイ レイヤ 1
Offset Angle Rays Layer 2 , オフセット角線レイヤ2
Ohad Peretz (7) , オハド・ペレツ (7)
Ohta8 , 太田八
Old Method - Slowest , オールドメソッド - スロー
Old Photograph , 古い写真
Old West , オールドウェスト
Old-Movie Stripes , 旧作の縞模様
Oldschool 8bits , オールドスクール8ビット
ON1 Photography (90) , ON1フォトグラフィー (90)
Once Upon a Time , むかしむかし
One Layer , 一層
One Layer (Horizontal) , 1層(水平)
One Layer (Vertical) , 1層(縦)
One Layer per Single Color , 単一色につき1層
One Layer per Single Region , 1つの領域に1つのレイヤー
One Thread , 一本の糸
Only Leafs , リーフのみ
Only Red , 赤のみ
Only Red and Blue , 赤と青のみ
Op Art , オプアート
Opacity , 不透明度
Opacity (%) , 不透明度(%)
Opacity as Heightmap , ハイトマップとしての不透明度
Opacity Contours , 不透明度の輪郭
Opacity Factor , 不透明度係数
Opacity Gain , 不透明度ゲイン
Opacity Gamma , 不透明度ガンマ
Opacity Snowflake , 不透明スノーフレーク
Opacity Threshold (%) , 不透明度のしきい値 (%)
Opaque Pixels , 不透明ピクセル
Opaque Regions on Top Layer , トップレイヤーの不透明領域
Opaque Skin , 不透明な肌
Open Interactive Preview , オープンインタラクティブプレビュー
Opening , オープニング
Operation Yellow , オペレーションイエロー
Operator , オペレーター
Opposing , 反対
Optimized Lateral Inhibition , 最適化された側方抑制
Orange Dark 4 , オレンジダーク4
Orange Dark 7 , オレンジダーク7
Orange Dark Look , オレンジ色のダークルック
Orange Tone , オレンジトーン
Orange Underexposed , オレンジ色のアンダー露出
Oranges , オレンジ
Order , 注文
Order By , 並び順
Orientation , オリエンテーション
Orientation Coherence , オリエンテーションコヒーレンス
Orientation Only , オリエンテーションのみ
Orientations , オリエンテーション
Original , オリジナル
Original - (Opening + Closing)/2 , オリジナル～（オープニング＋クロージング）/2
Original - Erosion , オリジナル - 侵食
Original - Opening , オリジナル - オープニング
Orthogonal Radius , 直交半径
Orton Glow , オルトングロー
Orwo NP20-GDR , オルウー NP20-GDR
Others (69) , その他 (69)
Ouline Color , ウーリンカラー
Outer , 外側
Outer Fading , アウターフェージング
Outer Length , 外側の長さ
Outer Radius , 外径
Outline , 概要
Outline (%) , 概要(%)
Outline Color , アウトラインカラー
Outline Contrast , アウトライン コントラスト
Outline Opacity , アウトライン不透明度
Outline Size , 外形寸法
Outline Smoothness , アウトラインの滑らかさ
Outline Thickness , 輪郭の厚さ
Outlined , アウトライン化
Output , 出力
Output As , として出力
Output as Files , ファイルとして出力
Output as Frames , フレームとして出力
Output as Multiple Layers , 複数のレイヤーとして出力
Output as Separate Layers , 別レイヤーとして出力
Output Ascii File , 出力アスキーファイル
Output Chroma NR , 出力クロマNR
Output CLUT , 出力CLUT
Output CLUT Resolution , 出力 CLUT 分解能
Output Coordinates File , 出力座標ファイル
Output Corresponding CLUT , 出力対応 CLUT
Output Directory , 出力ディレクトリ
Output Each Piece on a Different Layer , 各ピースを異なるレイヤーに出力
Output Filename , 出力ファイル名
Output Files , 出力ファイル
Output Folder , 出力フォルダ
Output Format , 出力形式
Output Frames , 出力フレーム
Output Height , 出力高さ
Output HTML File , 出力HTMLファイル
Output Layers , 出力レイヤ
Output Mode , 出力モード
Output Multiple Layers , 複数のレイヤーを出力
Output Preset as a HaldCLUT Layer , HaldCLUTレイヤとしての出力プリセット
Output Region Delimiters , 出力領域のデリミタ
Output Saturation , 出力飽和度
Output Sharpening , 出力シャープネス
Output Stroke Layer On , 出力ストロークレイヤ
Output to Folder , フォルダへの出力
Output Type , 出力タイプ
Output Width , 出力幅
Outside , 外側
Outside Color , 外側の色
Outside-In , アウトサイドイン
Outward , 外側
Overall Blur , 全体的なぼかし
Overall Contrast , 全体的なコントラスト
Overall Lightness , 全体的な軽さ
Overlap (%) , オーバーラップ(%)
Overlay , オーバーレイ
Oversample , オーバーサンプル
Overshoot , オーバーシュート
P''(z) , Ｐ'(z)
Pack , パック
Pack Sprites , パックスプライト
Pacman , パックマン
Padding (px) , パディング (px)
Paint , 塗料
Paint Daub , ペイントダブ
Paint Effect , ペイント効果
Paint Splat , ペイントスプラット
Painter's Edge Protection Flow , ペインターズエッジ保護フロー
Painter's Smoothness , ペインターズスムース
Painter's Touch Sharpness , ペインターズタッチのシャープネス
Painting , 絵画
Painting Opacity , 塗装の不透明度
Paintstroke , 筆跡
Paladin , パラディン
Paladin 1875 , パラディン1875
Paper Texture , 紙の質感
Parallel Processing , 並列処理
Parrots , オウム
Pasadena 21 , パサディナ 21
Passing By , 通りすがりの方
Pastell Art , パステルアート
Patch , パッチ
Patch Measure , パッチメジャー
Patch Size , パッチサイズ
Patch Size for Analysis , 解析用パッチサイズ
Patch Size for Synthesis , 合成用パッチサイズ
Patch Size for Synthesis (Final) , 合成用パッチサイズ（最終
Patch Smoothness , パッチの滑らかさ
Patch Variance , パッチバリエーション
Pattern , パターン
Pattern Angle , パターン角度
Pattern Height , パターンの高さ
Pattern Type , パターンタイプ
Pattern Variation 1 , パターンバリエーション1
Pattern Variation 2 , パターンバリエーション2
Pattern Variation 3 , パターンバリエーション3
Pattern Weight , パターン重量
Pattern Width , パターン幅
Paw , 肉球
PCA Transfer , PCA転送
Pea Soup , エンドウ豆のスープ
Pen Drawing , ペンデッサン
Penalize Patch Repetitions , パッチの繰り返しにペナルティを課す
Pencil , 鉛筆
Pencil Amplitude , 鉛筆の振幅
Pencil Portrait , ペンシルポートレート
Pencil Size , 鉛筆サイズ
Pencil Smoother Edge Protection , ペンシルスムーサーのエッジ保護
Pencil Smoother Sharpness , 鉛筆スムーサー シャープネス
Pencil Smoother Smoothness , ペンシルスムーサーのなめらかさ
Pencil Type , ペンシルタイプ
Pencils , 鉛筆
Pentagon , ペンタゴン
Peppers , 唐辛子
Percent of Image Half-Hypotenuse (%) , 画像の半分ハイポテンウスの割合(%)
Periodic , 周期的
Periodic Dots , 周期的なドット
Periodicity , 周期性
Perserve Luminance , パーサーブ ルミナンス
Perspective , パースペクティブ
Perturbation , 摂動
Petals , 花びら
Phase , フェーズ
Phone , 電話番号
Phong , フォン
PhotoComix Preset , フォトミックスプリセット
Photoillustration , フォトイラストレーション
Picabia: Udnie , ピカビアウーディー
Picasso: Les Demoiselles D'Avignon , ピカソ：アヴィニョンのデモワイズelles D'Avignon
Picasso: Seated Woman , ピカソ：座っている女性
Picasso: The Reservoir - Horta De Ebro , ピカソ：貯水池 - Horta De Ebro
PictureFX (19) , ピクチャーFX (19)
Piece Complexity , ピースの複雑さ
Piece Size (px) , ピースサイズ(px)
Pin Light , ピンライト
Pink Fade , ピンクフェード
Pinlight , ピンライト
Pitaya 15 , ピタヤ15
Pixel Denoise , ピクセルデノワーズ
Pixel Sort , ピクセルソート
Pixel Values , ピクセル値
Placement , 設置場所
Plaid , プレイド
Plane , 平面
Plasma , プラズマ
Plasma Effect , プラズマ効果
Plot Type , プロットタイプ
Point #0 , ポイント#0
Point #1 , ポイントその1
Point #2 , ポイントその2
Point #3 , ポイント#3
Point 1 , ポイント1
Point 2 , ポイント2
Points , ポイント
Poisson , ポアソン
Polar Transform , ポーラー変換
Polaroid , ポラロイド
Polaroid 664 , ポラロイド 664
Polaroid 665 , ポラロイド 665
Polaroid 665 + , ポラロイド６６５+の
Polaroid 665 ++ , ポラロイド６６５＋＋。
Polaroid 665 - , ポラロイド665
Polaroid 665 -- , ポラロイド665
Polaroid 665 Negative , ポラロイド 665 ネガ
Polaroid 665 Negative + , ポラロイド６６５ネガティブ
Polaroid 665 Negative - , ポラロイド 665 ネガ
Polaroid 665 Negative HC , ポラロイド665ネガHC
Polaroid 667 , ポラロイド 667
Polaroid 669 , ポラロイド669
Polaroid 669 + , ポラロイド669+
Polaroid 669 ++ , ポラロイド669＋＋＋。
Polaroid 669 +++ , ポラロイド669 +++
Polaroid 669 - , ポラロイド669
Polaroid 669 -- , ポラロイド669
Polaroid 669 Cold , ポラロイド669 コールド
Polaroid 669 Cold + , ポラロイド669 コールド+。
Polaroid 669 Cold - , ポラロイド669コールド
Polaroid 669 Cold -- , ポラロイド669コールド
Polaroid 672 , ポラロイド672
Polaroid 690 , ポラロイド690
Polaroid 690 + , ポラロイド690+
Polaroid 690 ++ , ポラロイド690++。
Polaroid 690 - , ポラロイド690
Polaroid 690 -- , ポラロイド690
Polaroid 690 Cold , ポラロイド690 コールド
Polaroid 690 Cold + , ポラロイド690 コールド+の
Polaroid 690 Cold ++ , ポラロイド690コールド+++。
Polaroid 690 Cold - , ポラロイド690コールド
Polaroid 690 Cold -- , ポラロイド690コールド
Polaroid 690 Warm , ポラロイド690ウォーム
Polaroid 690 Warm + , ポラロイド690ウォーム+
Polaroid 690 Warm ++ , ポラロイド690ウォーム++。
Polaroid 690 Warm - , ポラロイド690ウォーム
Polaroid 690 Warm -- , ポラロイド690ウォーム
Polaroid Polachrome , ポラロイド ポラクローム
Polaroid PX-100UV+ Cold , ポラロイド PX-100UV+ コールド
Polaroid PX-100UV+ Cold + , ポラロイドPX-100UV+コールド+。
Polaroid PX-100UV+ Cold ++ , ポラロイドPX-100UV+コールド++。
Polaroid PX-100UV+ Cold +++ , ポラロイド PX-100UV+ コールド +++
Polaroid PX-100UV+ Cold - , ポラロイド PX-100UV+ コールド
Polaroid PX-100UV+ Cold -- , ポラロイド PX-100UV+ コールド
Polaroid PX-100UV+ Warm , ポラロイド PX-100UV+ ウォーム
Polaroid PX-100UV+ Warm + , ポラロイドPX-100UV+ ウォーム+の
Polaroid PX-100UV+ Warm ++ , ポラロイドPX-100UV+ウォーム+++。
Polaroid PX-100UV+ Warm +++ , ポラロイドPX-100UV+ウォーム＋＋＋＋＋＋。
Polaroid PX-100UV+ Warm - , ポラロイド PX-100UV+ ウォーム
Polaroid PX-100UV+ Warm -- , ポラロイドPX-100UV+ウォーム
Polaroid PX-680 , ポラロイドPX-680
Polaroid PX-680 + , ポラロイドＰＸ-６８０＋（ＰＸ-６８０）＋（ポラロイドＰＸ-６８０
Polaroid PX-680 ++ , ポラロイドPX-680＋＋＋。
Polaroid PX-680 - , ポラロイドPX-680
Polaroid PX-680 -- , ポラロイドPX-680
Polaroid PX-680 Cold , ポラロイド PX-680 コールド
Polaroid PX-680 Cold + , ポラロイドPX-680 コールド+。
Polaroid PX-680 Cold ++ , ポラロイドPX-680コールド++。
Polaroid PX-680 Cold ++a , ポラロイド PX-680 コールド ++a
Polaroid PX-680 Cold - , ポラロイドPX-680コールド
Polaroid PX-680 Cold -- , ポラロイドPX-680コールド
Polaroid PX-680 Warm , ポラロイド PX-680 ウォーム
Polaroid PX-680 Warm + , ポラロイドPX-680 ウォーム+。
Polaroid PX-680 Warm ++ , ポラロイドPX-680ウォーム++。
Polaroid PX-680 Warm - , ポラロイド PX-680 ウォーム
Polaroid PX-680 Warm -- , ポラロイドPX-680ウォーム
Polaroid PX-70 , ポラロイドPX-70
Polaroid PX-70 + , ポラロイドPX-70+α
Polaroid PX-70 ++ , ポラロイドPX-70＋＋＋。
Polaroid PX-70 +++ , ポラロイドPX-70 ＋＋＋＋＋。
Polaroid PX-70 - , ポラロイドPX-70
Polaroid PX-70 -- , ポラロイドPX-70
Polaroid PX-70 Cold , ポラロイド PX-70 コールド
Polaroid PX-70 Cold + , ポラロイドPX-70 コールド+。
Polaroid PX-70 Cold ++ , ポラロイドPX-70コールド++。
Polaroid PX-70 Cold - , ポラロイド PX-70 コールド
Polaroid PX-70 Cold -- , ポラロイドPX-70コールド
Polaroid PX-70 Warm , ポラロイド PX-70 ウォーム
Polaroid PX-70 Warm + , ポラロイドPX-70 ウォーム+。
Polaroid PX-70 Warm ++ , ポラロイドPX-70ウォーム++。
Polaroid PX-70 Warm - , ポラロイド PX-70 ウォーム
Polaroid PX-70 Warm -- , ポラロイドPX-70ウォーム
Polaroid Time Zero (Expired) , ポラロイド タイムゼロ（期限切れ
Polaroid Time Zero (Expired) + , ポラロイドタイムゼロ（期限切れ）＋α
Polaroid Time Zero (Expired) ++ , ポラロイドタイムゼロ（期限切れ）＋＋＋＋。
Polaroid Time Zero (Expired) - , ポラロイド タイムゼロ（期限切れ
Polaroid Time Zero (Expired) -- , ポラロイド タイムゼロ(期限切れ)
Polaroid Time Zero (Expired) --- , ポラロイドタイムゼロ（期限切れ）---。
Polaroid Time Zero (Expired) Cold , ポラロイド タイムゼロ（期限切れ）コールド
Polaroid Time Zero (Expired) Cold - , ポラロイド タイムゼロ（賞味期限切れ）コールド
Polaroid Time Zero (Expired) Cold -- , ポラロイド タイムゼロ(期限切れ) 寒さ -- ポラロイドタイムゼロ
Polaroid Time Zero (Expired) Cold --- , ポラロイド タイムゼロ（賞味期限切れ）コールド---。
Pole Lat , ポールラット
Pole Long , ポールロング
Pole Rotation , ポールローテーション
Polka Dots , ポルカドット
Pollock: Convergence , ポロックコンバージェンス
Pollock: Summertime Number 9A , ポロックサマータイムナンバー9A
Polygonize [Delaunay] , ポリゴナイズ【デローネ
Polygonize [Energy] , ポリゴン化[エネルギー]
Pop Shadows , ポップシャドウズ
Portrait , 肖像画
Portrait Retouching , ポートレートレタッチ
Portrait-1 , 肖像画-1
Portrait-2 , 肖像画-2
Portrait-3 , 肖像画-3
Portrait-4 , 肖像画-4
Portrait-5 , 肖像画-5
Portrait-6 , 肖像画-6
Portrait-7 , 肖像画-7
Portrait-8 , 肖像画-8
Portrait-9 , 肖像画-9
Portrait0 , 肖像画0
Portrait1 , 肖像画1
Portrait10 , 肖像画10
Portrait2 , 肖像画2
Portrait3 , 肖像画3
Portrait4 , 肖像画4
Portrait5 , 肖像画5
Portrait6 , 肖像画6
Portrait7 , 肖像画7
Portrait8 , 肖像画8
Portrait9 , 肖像画9
Position , ポジション
Position X (%) , ポジションX (%)
Position X Origin (%) , 位置 X 原点 (%)
Position Y (%) , ポジションY (%)
Position Y Origin (%) , 位置 Y 原点 (%)
Positive , ポジティブ
Post-Gamma , ポストガンマ
Post-Normalize , ポストノーマライズ
Post-Process , ポストプロセス
Poster Edges , ポスターエッジ
Posterization Antialiasing , ポスタリゼーション・アンチエイリアシング
Posterization Level , ポスタライゼーションレベル
Posterize , ポスタライズ
Posterized Dithering , ポスタライズされたディザリング
Pow , パウ
Power , 力
Pre-Defined , 事前定義
Pre-Defined Colormap , 事前に定義されたカラーマップ
Pre-Gamma , プレガンマ
Pre-Normalize , 事前に正規化
Pre-Normalize Image , 画像を正規化する
Pre-Process , 前処理
Precision , 精度
Precision (%) , 精度(%)
Preliminary Surface Shift , 予備的なサーフェスシフト
Preliminary X-Axis Scaling , 予備的なX軸スケーリング
Preliminary Y-Axis Scaling , 予備的なY軸スケーリング
Preprocessor Power , プリプロセッサパワー
Preprocessor Radius , プリプロセッサの半径
Preserve Canvas for Post Bump Mapping , ポストバンプマッピングのためのキャンバスの保存
Preserve Edges , エッジの保存
Preserve Image Dimension , 画像の寸法を保存
Preserve Initial Brightness , 初期の明るさを維持する
Preserve Luminance , 輝度を維持する
Preset , プリセット
Preview , プレビュー
Preview All Outputs , すべての出力をプレビュー
Preview Bands , プレビューバンド
Preview Brush , プレビューブラシ
Preview Data , プレビューデータ
Preview Detected Shapes , 検出された図形のプレビュー
Preview Frame Selection , プレビューフレームの選択
Preview Gradient , プレビューグラデーション
Preview Grain Alone , グレインアローンのプレビュー
Preview Grid , プレビューグリッド
Preview Guides , プレビューガイド
Preview Mapping , プレビューマッピング
Preview Mask , プレビューマスク
Preview Only Shadow , プレビューのみシャドウ
Preview Opacity (%) , プレビュー 不透明度 (%)
Preview Original , オリジナルのプレビュー
Preview Precision , プレビュー精度
Preview Progress (%) , プレビューの進捗状況 (%)
Preview Progression While Running , ランニング中に進行状況をプレビュー
Preview Ref Point , 内覧会ポイント
