Light , Légère , Comic Book
None , Aucune , Comic Book
For edges: , Pour les bords :
Black & White (25) ,
Black & White-1 ,
Black & White 06 ,
Black & White 05 ,
Black & White 04 ,
Bit Masking (Start) ,
Bidirectional [Smooth] ,
Bidirectional [Sharp] ,
Bias ,
Bi-Directional ,
Bit Masking (End) ,
Binary Digits ,
Binary ,
Bilateral Radius ,
Black Star ,
Black Level ,
Black Dices ,
Black Crayon Graffiti ,
Bleach Bypass ,
Blade Runner ,
Black to White ,
Black on Transparent ,
Black & White-9 ,
Black & White-4 ,
Black & White-3 ,
Black & White-2 ,
Black & White-10 ,
Black & White-8 ,
Black & White-7 ,
Black & White-6 ,
Black & White-5 ,
Auto-Clean Bottom Color Layer ,
Alternating Chaos 2 ,
Alternating Chaos 1 [Legacy] ,
Alternating Chaos 1 ,
Alternating Chaos 0 ,
Alternating Chaos 4 ,
Alternating Chaos 3 [Legacy] ,
Alternating Chaos 3 ,
Alternating Chaos 2 [Legacy] ,
Also Match Gradients ,
All Round ,
All Layers and Masks ,
All 90&deg; Rotations ,
All 45&deg; Rotations ,
Alpha Mode ,
Allow Self Intersections ,
All but Reference Color ,
All XY-Flips ,
Amstragram+ ,
Amstragram ,
Amplitude / Angle ,
Amount (%) ,
Analog Film 1 ,
Anaglyph: Red/Cyan ,
Anaglyph Reconstruction ,
Anaglypgh Green/magenta Optimized ,
Ambient Lightness ,
Alternating Custom Formula Level 1 ,
Alternating Chaos 5 [Legacy] ,
Alternating Chaos 5 ,
Alternating Chaos 4 [Legacy] ,
Ambient (%) ,
Alternative Custom Formula Level 3 ,
Alternating Custom Formula Level 4 ,
Alternating Custom Formula Level 2 ,
Alignment Type ,
Add Image Label ,
Add Grain ,
Add Comment Area in HTML Page ,
Add Colors ,
Additional Outline ,
Additional Duplicates Count ,
Add as a New Layer ,
Add User-Defined Constraints (Interactive) ,
Add Color Background ,
Adapt Luminance ,
Activer Symmetrizoscope ,
Activer Couleurs Formes ,
Activate Slice 4 ,
Add Chalk Highlights ,
Add Alpha Channels to Detail Scale Layers ,
Add 1px Outline ,
Adaptive ,
Alien Green ,
Algorithm ,
Alex Jordan (81) ,
Aggressive Highlights Recovery 5 ,
Aligned ,
Align Layers ,
Align Image Streams ,
Alien Rasta ,
Aggresive ,
Agfa APX 100 ,
Adventure 1453 ,
Adjust Background Reconstruction ,
Additive ,
Agfa Vista 200 ,
Agfa Ultra Color 100 ,
Agfa Precisa 100 ,
Agfa APX 25 ,
AnalogFX - Anno 1870 Color ,
Array [Regular] ,
Array [Random] ,
Array [Random Colors] ,
Array [Mirrored] ,
Artistic Hard ,
Artistic  Modern ,
Arrows (Outline) ,
Arrows ,
Array [Faded] ,
Arabica 12 ,
Aqua and Orange Dark ,
Aqua ,
Apply Transformation From ,
Areas Smoothness ,
Areas Light Adjustment ,
Area Smoothness ,
Arctangent ,
Aurora ,
Atomic Pink ,
Asymphological Vibrato ,
Asymphological Basic 2 ,
Auto Set Hue Inverse (Hue Slider Is Disabled) ,
Auto Reduce Level (Level Slider Is Disabled) ,
Auto Crop ,
Australia ,
Asymphological Basic ,
Aspect ,
Ascii Art ,
Ascii ,
Artistic Round ,
Asymphochaos ,
Astia ,
Associated Color ,
Asplenium Adiantum-Nigrum ,
Apply Skin Tone Mask ,
Angle Décalage Des Couleurs A / Offset ,
Angle / Size ,
Angle (deg.) ,
Angle (deg) ,
Angle Edge Behaviour ,
Angle Dispersion ,
Angle Décalage Image Contour ,
Angle Décalage Des Couleurs B / Offset ,
Angle (%) ,
AnalogFX - Sepia Color ,
AnalogFX - Old Style III ,
AnalogFX - Old Style II ,
AnalogFX - Old Style I ,
Analysis Smoothness ,
Analysis Scale ,
AnalogFX - Soft Sepia II ,
AnalogFX - Soft Sepia I ,
Apply Adjustments On ,
Apples ,
Apocalypse This Very Moment ,
Antisymmetry ,
Apply Relief? ,
Apply Mask ,
Apply External CLUT ,
Apply Color Balance ,
Annular Steiner Chain Round Tile ,
Angoisse Anguish ,
Angle of Main Nebulous Surface ,
Angle of Disturbance Surface ,
Angle Range (deg.) ,
Anisotropy (%) ,
Anime ,
Angular Tiles ,
Angular Step (°) ,
K-2 ,
K-1 ,
K Variable ,
K Mode ,
KH 10 ,
KH 1 ,
K-Tone Vintage Kodachrome ,
K-Factor ,
Just Peachy ,
JPEG Smooth ,
JPEG Artefacts ,
J.T. Semple (14) ,
J. Wick 21 ,
Julia ,
Jet (256) ,
Jawbreaker ,
Japanese Maple Leaf ,
Kandinsky: Squares with Concentric Circles ,
Kaleidoscope [Symmetry] ,
Kaleidoscope [Reptorian-Polar] ,
Kaleidoscope [Polar] ,
Keep Base Layer as Input Background ,
Keep Aspect Ratio ,
Keep ,
Kandinsky: Yellow-Red-Blue ,
Kaleidoscope [Blended] ,
KH 5 ,
KH 4 ,
KH 3 ,
KH 2 ,
KH 9 ,
KH 8 ,
KH 7 ,
KH 6 ,
Iuwt ,
Instant [Consumer] (54) ,
Inside-Out ,
Inside Color ,
Insert New CLUT Layer ,
Intensity of Purple Fringe ,
Intarsia ,
Instant-C ,
Instant [Pro] (68) ,
Input Transparency ,
Inpaint [Transport-Diffusion] ,
Inpaint [Patch-Based] ,
Inpaint [Multi-Scale] ,
Inpaint [Morphological] ,
Input Layers ,
Input Guide Color ,
Input Frame Files Name ,
Input Folder ,
Invert Luminance ,
Invert Image Colors ,
Invert Embossing? ,
Invert Canvas Colors ,
Iteration ,
Isophotes ,
Inward ,
Invert Mask ,
Invert Blur ,
Inverse Radius ,
Inverse Depth Map ,
Interpolation Type ,
Interp ,
Invert Background / Foreground ,
Inversions ,
Inversion Couleurs / Invert Colors ,
Inverse Transform ,
Keep Borders Square ,
Kodak Portra 160 + ,
Kodak Portra 160 ,
Kodak Kodachrome 64 ,
Kodak Kodachrome 25 ,
Kodak Portra 160 NC ++ ,
Kodak Portra 160 NC + ,
Kodak Portra 160 - ,
Kodak Portra 160 ++ ,
Kodak Kodachrome 200 ,
Kodak Elite Chrome 400 ,
Kodak Elite Chrome 200 ,
Kodak Elite 100 XPRO ,
Kodak Ektar 100 ,
Kodak HIE (HS Infra) ,
Kodak Elite ExtraColor 100 ,
Kodak Elite Color 400 ,
Kodak Elite Color 200 ,
Kodak Portra 400 UC ,
Kodak Portra 400 NC - ,
Kodak Portra 400 NC ++ ,
Kodak Portra 400 NC + ,
Kodak Portra 400 VC ,
Kodak Portra 400 UC - ,
Kodak Portra 400 UC ++ ,
Kodak Portra 400 UC + ,
Kodak Portra 400 NC ,
Kodak Portra 160 VC - ,
Kodak Portra 160 VC ++ ,
Kodak Portra 160 VC + ,
Kodak Portra 160 NC - ,
Kodak Portra 400 - ,
Kodak Portra 400 ++ ,
Kodak Portra 400 + ,
Kodak Portra 400 ,
Kodak Ektachrome 100 VS ,
Key Factor ,
Kernel Type ,
Kernel Multiplier ,
Keftales ,
Keypoint Influence (%) ,
Key Smoothness ,
Key Shift ,
Key Frame Rate ,
Keep Transparency in Output ,
Keep Detail Layer Separate ,
Keep Detail ,
Keep Colors ,
Keep Color Channels ,
Keep Tiles Square ,
Keep Original Layer ,
Keep Original Image Size ,
Keep Layers Separate ,
Kodak 2393 (Constlclip) ,
Kodak 2383 (Cuspclip) ,
Kodak 2383 (Constlmap) ,
Kodak 2383 (Constlclip) ,
Kodak E-100 GX Ektachrome 100 ,
Kodak BW 400 CN ,
Kodak 2393 (Cuspclip) ,
Kodak 2393 (Constlmap) ,
Kodak 1-8 ,
Klee: In the Style of Kairouan ,
Klee: Death and Fire ,
Kitaoka Spin Illusion ,
Killstreak ,
Klimt: The Kiss ,
Klee: Red Waistcoat ,
Klee: Polyphony 2 ,
Klee: Oriental Pleasure Garden Anagoria ,
Inpaint [Holes] ,
Highlights Protection ,
Highlights Lightness ,
Highlights Hue ,
Highlights Crossover Point ,
Hilutite ,
Highres CLUT ,
Highlights Zone ,
Highlights Selection ,
Highlights Color Intensity ,
Higher Mask Threshold (%) ,
High Value ,
High Speed ,
High Scale ,
Highlights Brightness ,
Highlights Abstraction ,
Highlight Bloom ,
Highlight (%) ,
Horizontal Array ,
Horizon Leveling (deg) ,
Horisontal Length ,
Hope Poster ,
Horizontal Tiles ,
Horizontal Stripes ,
Horizontal Length ,
Horizontal Blur ,
Hong Kong ,
Hitman ,
Histogram Transfer ,
Histogram Analysis ,
Histogram ,
Honey Light ,
Homogeneity ,
Holes Probability (Type-5) (%) ,
Hokusai: The Great Wave ,
High Quality ,
Halftone Shapes ,
Halftone ,
Half Image-Diagonal(%) ,
Half Image-Diagonal (%) ,
Hard ,
Happyness 133 ,
Hanoi Tower ,
Hallowen Dark ,
HaldCLUT Filename ,
HSV Select ,
HSV (256) ,
HSL [all] ,
HSL Adjustment ,
HaldCLUT ,
Hair Locks ,
Hackmanite ,
HSV [all] ,
Hexagonal ,
Heulandite ,
Herderite ,
Helios ,
High Key ,
High Frequency Layer ,
High Frequency ,
Hiddenite ,
Hedcut (Experimental) ,
Harsh Day ,
Hard Teal Orange ,
Hard Sketch ,
Hard Dark ,
Heavy (Faster) ,
Heavy ,
Hearts (Outline) ,
Harsh Sunset ,
Horizontal Warp Only ,
Impulses 9x9 ,
Impulses 7x7 ,
Impulses 5x5 ,
Import RGB-565 File ,
IncreaseChroma1 ,
Include Opacity Layer ,
Inch ,
InAvision (15) ,
Import Data ,
Image + Colors (2 Layers) ,
Image + Background ,
Illustration Look ,
Illumination ,
Image to Grab Color from (.Png) ,
Image Weight ,
Image Contour Dimension ,
Image + Colors (Multi-Layers) ,
Initialization ,
Initial Density ,
Init. With High Gradients Only ,
Init. Type ,
Inner Length ,
Inner Fading ,
Inner ,
Ink Wash ,
Init. Resolution ,
Inflation 2 ,
Inflation ,
Industrial 33 ,
Indoor Blue ,
Init Canvas ,
Infrared - Dust Pink ,
Information ,
Influence of Color Samples (%) ,
Illuminate 2D Shape ,
Hue Range ,
Hue Randomness ,
Hue Min (%) ,
Hue Max (%) ,
Hydracore ,
Hybrid Median - Medium Speed Softest Output ,
Human 2 ,
Hue Smoothness ,
Hue Lighten-Darken ,
Hough Transform ,
Hough Sketch ,
Hot (256) ,
Horror Blue ,
Hue Factor ,
Howlite ,
Householder ,
House ,
Ilford FP4 Plus 125 ,
Ilford Delta 400 ,
Ilford Delta 3200 ,
Ilford Delta 100 ,
Ilford XP2 ,
Ilford Pan F Plus 50 ,
Ilford HPS 800 ,
Ilford HP5 Plus 400 ,
Ignore Current Aspect ,
Hypnosis ,
Hypersthene ,
Hyper Droste ,
Hyla 68 ,
Identity ,
Iain Noise Reduction 2019 ,
Hypressen ,
Hypotrochoid ,
Lowlights Crossover Point ,
Lowercase Letters ,
Lower Side Orientation ,
Lower Mask Threshold (%) ,
Luminance Level ,
Luma Noise ,
Lucky 64 ,
Lowres CLUT ,
Lower Layer Is the Bottom Layer for All Blends ,
Low Frequency Layer ,
Low Contrast Blue ,
Low Bias ,
Louetta ,
Low Value ,
Low Scale ,
Low Key 01 ,
Low Key ,
Magenta Coffee ,
MIxer ,
Mélanges Rayons / Blend Rays ,
Lutify.Me (7) ,
Magenta Dream ,
Magenta Day 01 ,
Magenta Day ,
Magenta Color ,
Lush Green Summer ,
Luminance Shift ,
Luminance Only (YCbCr) ,
Luminance Only (Lab) ,
Luminance Only ,
Luminosity from Color ,
Luminosity Type ,
Luminosity Increase ,
Luminance Smoothness ,
Loop Method ,
Local Contrast Enhancement ,
Local Contrast Enhance ,
Local Contrast Effect ,
Local  Normalisation ,
Local Processing ,
Local Orientation ,
Local Normalization ,
Local Contrast Style ,
Lissajous [Animated] ,
Linify ,
Linf-Norm ,
Lines Antialias ,
Lines (256) ,
Lissajous Spiral ,
Lissajous ,
Liquid Parabolic ,
Lion ,
London Nights ,
Lomography X-Pro Slide 200 ,
Lomography Redscale 100 ,
Logarithmic Distortion Y-Axis Direction ,
Loop Limitation ,
Lookup Factor ,
Lookup ,
Long ,
Logarithmic Distortion X-Axis Direction ,
Lock Uniform Sampling ,
Lock Return Scaling to Source Layer ,
Local Variance Normalization ,
Local Similarity Mask ,
Logarithmic Distortion Axis Combination for Y-Axis ,
Logarithmic Distortion Axis Combination for X-Axis ,
Logarithmic Distortion ,
Log(z) ,
Magenta Factor ,
Maximal Area ,
MaxRGB ,
Max-T ,
Max Radius ,
Maximal Value ,
Maximal Seams per Iteration (%) ,
Maximal Highlights ,
Maximal Color Saturation ,
Max Offset (%) ,
Max Area ,
Max Angle Deviation (deg) ,
Max Angle ,
Matrix ,
Max Length (%) ,
Max Iterations ,
Max Cut (%) ,
Max Curve ,
Median (beware: Memory-Consuming!) ,
Mean Curvature ,
Mean Color ,
McKinnon 75 ,
Medium Details Threshold ,
Medium Details Smoothness ,
Medium 3 ,
Median Radius ,
Maze ,
Maximum Number of Output Layers ,
Maximum Number of Image Colors ,
Maximum Image Size ,
Maximum ,
Maximum Value ,
Maximum Size Factor ,
Maximum Saturation ,
Maximum Red:Blue Ratio in the Fringe ,
Math Symbols ,
Mandelbrot ,
Make Up ,
Make Squiggly ,
Make Seamless [Patch-Based] ,
Manual Controls ,
Mandrill ,
Mandelbrot Explorer ,
Mandelbrot - Julia Sets ,
Make Seamless [Diffusion] ,
Magenta-Yellow ,
Magenta Yellow ,
Magenta Smoothness ,
Magenta Shift ,
Make Hue Depends on Region Size ,
Mail ,
Magnitude / Phase ,
Magic Details ,
Mask Type ,
Mask Smoothness (%) ,
Mask Size ,
Mask Creator ,
Matching Precision (Smaller Is Faster) ,
Match Colors With ,
MasterOpacity ,
Mask as Bottom Layer ,
Mask Contrast ,
Margin (%) ,
Marble ,
Mapping ,
Map ,
Mask By ,
Mask + Background ,
Masculine ,
Mascot Image ,
Lineart + Extrapolated Colors ,
Lanczsos ,
Lab8 ,
Lab [all] ,
Lab (Mixed) ,
Landscape 04 ,
Landscape 03 ,
Landscape 02 ,
Landscape 01 ,
Lab (Luma/Chroma) ,
LN Amplitude ,
LN Amplititude ,
LMS Adjustment ,
LAB8 ,
Lab (Luma Only) ,
Lab (Distinct) ,
Lab (Chroma Only) ,
LUTs Pack ,
Last ,
Large Noise ,
Landscape-9 ,
Landscape-8 ,
Lava ,
Late Sunset ,
Late Afternoon Wanderlust ,
Last Frame ,
Landscape-7 ,
Landscape-2 ,
Landscape-10 ,
Landscape-1 ,
Landscape 05 ,
Landscape-6 ,
Landscape-5 ,
Landscape-4 ,
Landscape-3 ,
LAB-Lightness ,
Kodak T-MAX 3200 - ,
Kodak T-MAX 3200 ++ ,
Kodak T-MAX 3200 + ,
Kodak T-MAX 3200 (alt) ,
Kodak TMAX 3200 ,
Kodak T-Max 400 ,
Kodak T-Max 3200 ,
Kodak T-Max 100 ,
Kodak T-MAX 3200 ,
Kodak Portra 800 ,
Kodak Portra 400 VC - ,
Kodak Portra 400 VC ++ ,
Kodak Portra 400 VC + ,
Kodak Portra 800 HC ,
Kodak Portra 800 - ,
Kodak Portra 800 ++ ,
Kodak Portra 800 + ,
L1-Norm ,
Kyler Holland (10) ,
Kuwahara on Painting ,
Korben 214 ,
LAB-B ,
LAB-A ,
LAB ,
L2-Norm ,
Kookaburra ,
Kodak TRI-X 400 (alt) ,
Kodak TRI-X 400 ,
Kodak TRI-X 1600 ,
Kodak TMAX 400 ,
Kodak Tri-X 400 ,
Kodak TRI-X 400 - ,
Kodak TRI-X 400 ++ ,
Kodak TRI-X 400 + ,
Lava Lamp ,
Light-X ,
Light Type ,
Light Strength ,
Light Smoothness ,
Lighting ,
Lighten Edges ,
Light-Z ,
Light-Y ,
Light Rays ,
Light Effect ,
Light Direction ,
Light Antialias ,
Light Angle ,
Light Position ,
Light Patch ,
Light Leaks ,
Light Glow ,
Line Strength ,
Line Precision ,
Line Opacity ,
Limit Hue Range ,
Lineart + Colors ,
Lineart + Color Spots ,
Lineart ,
Line Thickness ,
Lighty Smooth ,
Lightness Max (%) ,
Lightness Factor ,
Lightness (%) ,
Lighting Angle ,
Lightning ,
Lightness Smoothness ,
Lightness Shift ,
Lightness Min (%) ,
Light (blown) ,
Left Side Orientation ,
Left Position ,
Left Foreground ,
Left / Right Blur (%) ,
Lena ,
Left and Right Image Streams ,
Left Stream Only ,
Left Slope ,
Left ,
Lch [all] ,
Layers to Tiles ,
Layer Processing ,
Layer ,
Leak Type ,
Leaf Opacity (%) ,
Leaf Color ,
Leaf ,
Lifestyle & Commercial-5 ,
Lifestyle & Commercial-4 ,
Lifestyle & Commercial-3 ,
Lifestyle & Commercial-2 ,
Lifestyle & Commercial-9 ,
Lifestyle & Commercial-8 ,
Lifestyle & Commercial-7 ,
Lifestyle & Commercial-6 ,
Lifestyle & Commercial-10 ,
Lenticular Orientation ,
Lenticular Density LPI ,
Lenox 340 ,
Leno ,
Lifestyle & Commercial-1 ,
Life Giving Tree ,
Level Frequency ,
Lenticular Print ,
HSI [all] ,
External Transparency ,
Extend 1px ,
Expression ,
Exposure ,
Extrapolate Color Spots on Transparent Top Layer ,
Extract Objects ,
Extract Foreground [Interactive] ,
Extra  Smooth ,
Export RGB-565 File ,
Expired (polaroid) ,
Expired (fade) ,
Expanding Mirrors ,
Expand Size ,
Exponents ,
Exponent (Real) ,
Exponent (Imaginary) ,
Exponent ,
Faded (alt) ,
Faded ,
Fade to Green ,
Fade Start (%) ,
Faded 47 ,
Faded (vivid) ,
Faded (extreme) ,
Faded (analog) ,
Fade Layers ,
F(X) ,
Extreme ,
Extrapolated Colors + Lineart ,
Extrapolate Colors As ,
Fade End (%) ,
Fade ,
Fabric Chaos ,
FFT Preview ,
Expand Shadows ,
Ending Y-Centering ,
Ending X-Centering ,
Ending Scale (%) ,
Ending Angle ,
Equalization (%) ,
Equalization ,
Enhance Detail ,
Engrave ,
End of Mid-Tones ,
Enchanted ,
Enable Segmentation ,
Enable Paintstroke ,
Enable Morphology ,
End Point Rate (%) ,
End Point Connectivity ,
End Frame Number ,
End Color ,
Eterna for Flog ,
Etch Tones ,
Escape Value ,
Erosion / Dilation ,
Expand Background Reconstruction ,
Exp(z) ,
Exp ,
Euclidean - Polar ,
Eric Ellerbrock (14) ,
Equalize Shadow ,
Equalize Local Histograms ,
Equalize HSV ,
Equalize HSI-HSL-HSV ,
Equirectangular to Nadir-Zenith ,
Equation Plot [Y=f(X)] ,
Equation Plot [Parametric] ,
Equalize at Each Step ,
Faded Green ,
Fine Noise ,
Fine Details Threshold ,
Fine Details Smoothness ,
Fine 2 ,
Fire Effect ,
Finger Size ,
Finger Paint ,
Fine to Coarse ,
Final Image ,
Film Print 02 ,
Film Print 01 ,
Film Highlight Contrast ,
Film GB-19 ,
Final Flattening (bilateral) ,
FilterGrade Cinematic (8) ,
Filter Design ,
Filmic ,
Flat 30 ,
Flag (256) ,
Five Layers ,
Fitting Function ,
Flatness ,
Flat Regions Removal ,
Flat Color ,
Flat Blue Moon ,
Fit Radial End to Min/Max Dimension ,
First Frame ,
First Color ,
First ,
Fireworks ,
Fish-Eye Effect ,
Fish-Eye ,
First Size ,
First Radius ,
Film 9879 ,
Fast Recovery ,
Fast Blend Preview ,
Fast Blend ,
Fast (Low Precision) Preview ,
Felt Spots ,
Felt Pen ,
Feathering ,
Faux Infrared ,
Fast &#40;Approx.&#41; ,
Faded Retro 02 ,
Faded Retro 01 ,
Faded Pink-Ish ,
Faded Look ,
Fast ,
Fall Colors ,
Fading Shape ,
Fading ,
Fill Transparent Holes ,
Fill Holes % ,
Fill Holes ,
Fidelity to Target (Finest) ,
Film 0987 ,
Filling Opacity (%) ,
Filled Circles ,
Filled ,
Fidelity to Target (Coarsest) ,
Fibers Smoothness ,
Fibers Amplitude ,
Fibers ,
Ferrofluid ,
Fidelity Smoothness (Finest) ,
Fidelity Smoothness (Coarsest) ,
Fidelity Chromaticity ,
Fibrousness ,
Enable Interpolated Motion ,
Distance to Center (%) ,
Distance Transform ,
Distance (Fast) ,
Display Coordinates on Preview Window ,
Distortion Surface Angle ,
Distortion Factor ,
Distortion Angle ,
Distort Lens ,
Display Coordinates ,
Discard Contour Guides ,
Disabled ,
Dirty ,
Directions 23 ,
Display Color Axes ,
Display Blob Controls ,
Disco ,
Discard Transparency ,
Dodge Strength ,
Dodge Blur ,
DoNothing ,
DoNotMergeLayers ,
Doodle ,
Domingo 145 ,
Dog ,
Dodge and Burn ,
Do Not Flatten Transparency ,
Disturbance Scale-By-Factor ,
Distortion Y-[dy] ,
Distortion X-[dx] ,
Distortion Surface Position ,
Django 25 ,
Dither Output ,
Disturbance Y ,
Disturbance X ,
Direction ,
Dices with Colored Sides ,
Dices with Colored Numbers ,
Dices ,
Diamonds (Outline) ,
Diff. of Median ,
Diff. of Gauss. ,
Diff. of BoxBlur ,
Dif ,
Diamonds ,
Details Strength (%) ,
Details Smoothness ,
Details Equalizer ,
Details Amount ,
Diamond (Inv.) ,
Deuteranopia ,
Deuteranomaly ,
Detect Skin ,
Dimension (%) ,
Dimension ,
Dilation / Erosion ,
Dilate Contours ,
Direct ,
Dipole: 1/(4*z^2-1) ,
Dimension [Diff] ,
Dimension Motif Base ,
Dilatation Motif / Pattern ,
Diffuse Shadow ,
Diffuse (%) ,
Difference of Gaussians ,
Difference Mixing ,
Dilatation ,
Digits ,
Diffusivity ,
Diffusion Tensors ,
Dot Size ,
Edges on Fire ,
Edges [Animated] ,
Edges Offsets ,
Edges (%) ,
Edgy Ember ,
Edges-2 (beware: Memory-Consuming!) ,
Edges-1 (beware: Memory-Consuming!) ,
Edges-0.5 (beware: Memory-Consuming!) ,
Edge Smoothness ,
Edge Influence ,
Edge Fidelity ,
Edge Exponent ,
Edge Detect Includes Chroma ,
Edge Simplicity ,
Edge Shade ,
Edge Method ,
Edge Mask ,
Ellipsoid ,
Ellipsionism Opacity ,
Ellipsionism ,
Ellipse Ratio ,
Enable Extreme Emboss or Relief? ,
Enable CFA/CFB* Formulas for OVX and OVY Formulas? ,
Enable Antialiasing ,
Emboss-Relief ,
Ellipse Painting ,
Elegance 38 ,
Eight Layers ,
Effect Y-Axis Scaling ,
Effect X-Axis Scaling ,
Ellipse ,
Elevation (%) ,
Elevation ,
Elephant ,
Edge Desaturation Method ,
Drop Blues ,
Dreamy ,
Dream Smoothing ,
Dream 85 ,
Drop Water ,
Drop Shadow 3D ,
Drop Shadow ,
Drop Green Tint 14 ,
Dream 1 ,
Download External Data ,
Douceur Ombre / Smoothness Shadow ,
Douceur / Smoothness ,
Double Pixel Axis? ,
Dream ,
Drawn Montage ,
Dragonfly ,
Dragon Curve ,
Echo Hall 2 ,
Echo Hall ,
Easy Skin Retouch ,
Earthing ,
Edge Attenuation ,
Edge Antialiasing ,
Echo Wide ,
Echo Squircle ,
Earth Tone Boost ,
Duplicates ,
DuoTone Blue Red ,
Duck ,
Droste ,
Earth ,
Eagle ,
Dusty ,
Duration ,
Gold ,
Going for a Walk ,
Gmicky - Roddy ,
Gmicky (by Mahvin) ,
GoldFX - Perfect Sunset 01min ,
GoldFX - Hot Summer Heat ,
GoldFX - Bright Summer Heat ,
GoldFX - Bright Spring Breeze ,
Gmicky (by Deevad) ,
Glow ,
Global Mapping ,
Global ,
Glamour Glow ,
Gmicky (Mahvin) ,
Gmicky (Deevad) ,
Gmicky & Wilber (by Mahvin) ,
Gmicky & Wilber ,
Golden Time ,
Golden Sony 37 ,
Golden Night Softner 43 ,
Golden Gate ,
GradienNormSmoothness ,
GradienNormLinearity ,
Got It! ,
Good Morning ,
Golden (vibrant) ,
GoldFX - Summer Heat ,
GoldFX - Spring Breeze ,
GoldFX - Perfect Sunset 10min ,
GoldFX - Perfect Sunset 05min ,
Golden (mono) ,
Golden (fade) ,
Golden (bright) ,
Golden ,
Ghost ,
Full Side by Uncompressed ,
Full Layer Stack -Slow!- ,
Full Colors ,
Full (Slower) ,
Futuristic Bleak 2 ,
Futuristic Bleak 1 ,
Fusion 88 ,
Function Angle ,
Fuji XTrans III (15) ,
Fuji Superia 800 - ,
Fuji Superia 800 ++ ,
Fuji Superia 800 + ,
Fuji Superia 800 ,
Fuji Velvia 50 ,
Fuji Superia X-Tra 800 ,
Fuji Superia Reala 100 ,
Fuji Superia HG 1600 ,
Generic Kodachrome 64 ,
Generic Fuji Velvia 100 ,
Generic Fuji Provia 100 ,
Generic Fuji Astia 100 ,
Geometry ,
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) ,
Generic Skin Structure ,
Generic Kodak Ektachrome 100 VS ,
Generate Random-Colors Layer ,
G/M Smoothness ,
Fuzzy ,
Futuristic Bleak 4 ,
Futuristic Bleak 3 ,
Gear ,
Gamma Equalizer ,
Gamma Balance ,
Games & Demos ,
Gradient ,
Greenish Fade 1 ,
Greenish Fade ,
Greenish Contrasty ,
Green-Red ,
Grid Divisions ,
Greyscale ,
Grey ,
Gremerta ,
Green-Blue ,
Green Rotations ,
Green Mono ,
Green Light ,
Green Level ,
Green and Orange ,
Green Yellow ,
Green Wavelength ,
Green Shift ,
Gummy ,
Gum Leaf ,
Guided Light Rays ,
Guide Recovery ,
HLG 1 ,
HDR Effect (Tone Map) ,
H Variable ,
H Cutoff ,
Guide Mix ,
Grid [Hexagonal] ,
Grid [Cartesian] ,
Grid Width ,
Grid Smoothing ,
Guide As ,
Grow Alpha ,
Gritty ,
Grid [Triangular] ,
Green Indoor ,
Grain (Shadows) ,
Grain (Midtones) ,
Grain (Highlights) ,
Gradient [from Line] ,
Grain Type ,
Grain Tone Fading ,
Grain Scale ,
Grain Only ,
Gradient [Random] ,
Gradient Values ,
Gradient RGB ,
Gradient Preset ,
Gradient Norm ,
Gradient [Radial] ,
Gradient [Linear] ,
Gradient [Custom Shape] ,
Gradient [Corners] ,
Green Conflict ,
Green Color ,
Green Blues ,
Green Afternoon ,
Green G09 ,
Green Factor ,
Green Day 02 ,
Green Day 01 ,
Green Action ,
Graphic Novel ,
Graphic Boost ,
Granularity ,
Grainext ,
Green 2025 ,
Green 15 ,
Greece ,
Graphix Colors ,
Fuji Superia 400 - ,
Frame [Painting] ,
Frame [Mirror] ,
Frame [Fuzzy] ,
Frame [Cube] ,
Frame [Smooth] ,
Frame [Round] ,
Frame [Regular] ,
Frame [Pattern] ,
Frame [Blur] ,
Frame Files Format ,
Frame Color ,
Frame (px) ,
Fragment Blur ,
Frame Width ,
Frame Type ,
Frame Skip ,
Frame Format ,
Fruits ,
Frosted Beach Picnic ,
Frosted ,
From Reference Color ,
Fuji 160C - ,
Fuji 160C ++ ,
Fuji 160C + ,
Fuji 160C ,
From Input ,
Freaky Details ,
Freaky B&W ,
Frames Offset ,
Frame as a New Layer ,
Friends Hall of Fame ,
Freqy Pattern ,
Frequency Range ,
French Comedy ,
Fractalize ,
Fly Karateka ,
Flower Cushion ,
Flou / Blur Contours ,
Flou / Blur ,
Font Colors ,
Folger 50 ,
Folder Name ,
Foggy Night ,
Flocon / Snowflake ,
Flip Angle Direction? ,
Flip & Rotate Blocs ,
Flavin ,
Flattening for Edge (bilateral) ,
Flip Tolerance ,
Flip Radial Direction? ,
Flip Left/Right ,
Flip Cross-Hatch ,
Fourier Watermark ,
Fourier Transform ,
Fourier Filtering ,
Fourier Analysis ,
Fractal Whirl ,
Fractal Set ,
Fractal Points ,
Fractal Mapping ,
Four Layers ,
Force Tiles to Have Same Size ,
Force Re-Download from Scratch ,
Force Gray ,
Font Height (px) ,
Formula B ,
Forme ,
Foreground Color ,
Force Transparency ,
Fuji 3510 (Constlclip) ,
Fuji Ilford HP5 - ,
Fuji Ilford HP5 ++ ,
Fuji Ilford HP5 + ,
Fuji Ilford HP5 ,
Fuji Neopan Acros 100 ,
Fuji Neopan 1600 - ,
Fuji Neopan 1600 ++ ,
Fuji Neopan 1600 + ,
Fuji Ilford Delta 3200 - ,
Fuji FP-3000b Negative Early ,
Fuji FP-3000b Negative +++ ,
