<b>Arrays & Tiles</b> , <b>Arrays & Ladrilhos</b>
Painter's Touch Sharpness , A nitidez do toque do pintor
Painting , Pintura
Painting Opacity , Opacidade de Pintura
Paintstroke , Pincelada
Paladin 1875 , Paladino 1875
Paper Texture , Textura de papel
Parallel Processing , Processamento paralelo
Parrots , Papagaios
Passing By , Passando por
Pastell Art , Arte em Pastel
Patch Measure , Medida do Patch
Patch Size , Tamanho do Patch
Patch Size for Analysis , Tamanho do Patch para Análise
Patch Size for Synthesis , Tamanho do Patch para Síntese
Patch Size for Synthesis (Final) , Tamanho do Patch para Síntese (Final)
Patch Smoothness , Patch Suavidade
Patch Variance , Variação do Patch
Pattern , Padrão
Pattern Angle , Ângulo do padrão
Pattern Height , Altura do Padrão
Pattern Type , Tipo de Padrão
Pattern Variation 1 , Variação do Padrão 1
Pattern Variation 2 , Variação do Padrão 2
Pattern Variation 3 , Variação do Padrão 3
Pattern Weight , Peso Padrão
Pattern Width , Largura do padrão
Paw , Pata
PCA Transfer , Transferência PCA
Pea Soup , Sopa de ervilha
Pen Drawing , Desenho de canetas
Penalize Patch Repetitions , Penalizar as repetições de Patch
Pencil , Lápis
Pencil Amplitude , Amplitude do lápis
Pencil Portrait , Retrato a lápis
Pencil Size , Tamanho do lápis
Pencil Smoother Edge Protection , Protecção da borda do lápis mais liso
Pencil Smoother Sharpness , Lápis mais suave afiado
Pencil Smoother Smoothness , Lápis mais suave Suavidade
Pencil Type , Tipo de lápis
Pencils , Lápis
Pentagon , Pentágono
Percent of Image Half-Hypotenuse (%) , Porcentagem de imagem Meia-hipotenusa (%)
Periodic , Periódico
Periodic Dots , Pontos Periódicos
Periodicity , Periodicidade
Perserve Luminance , Luminância de Perserva
Perspective , Perspectiva
Petals , Pétalas
Phase , Fase
Phone , Telefone
PhotoComix Preset , Pré-definição PhotoComix
Photoillustration , Fotoilustração
Picasso: Seated Woman , Picasso: Mulher sentada
Picasso: The Reservoir - Horta De Ebro , Picasso: O Reservatório - Horta De Ebro
Piece Complexity , Complexidade da peça
Piece Size (px) , Tamanho da peça (px)
Pin Light , Luz de alfinete
Pink Fade , Desbotamento cor-de-rosa
Pixel Values , Valores Pixel
Placement , Colocação
Plaid , Placa
Plane , Avião
Plasma Effect , Efeito Plasma
Plot Type , Tipo de Lote
Point #0 , Ponto #0
Point #1 , Ponto #1
Point #2 , Ponto #2
Point #3 , Ponto #3
Point 1 , Ponto 1
Point 2 , Ponto 2
Points , Pontos
Polar Transform , Transformação polar
Polaroid 665 Negative , Polaroid 665 Negativo
Polaroid 665 Negative + , Polaroid 665 Negativo +
Polaroid 665 Negative - , Polaroid 665 Negativo -
Polaroid 665 Negative HC , Polaroid 665 HC Negativo
Polaroid 669 +++ , Polaroid 669 ++++
Polaroid 669 Cold , Polaroid 669 Frio
Polaroid 669 Cold + , Polaroid 669 Frio +
Polaroid 690 Cold , Polaroid 690 Frio
Polaroid PX-100UV+ Cold , Polaroid PX-100UV+ Frio
Polaroid PX-100UV+ Cold + , Polaroid PX-100UV+ Frio +
Polaroid PX-100UV+ Cold ++ , Polaroid PX-100UV+ Frio ++
Polaroid PX-100UV+ Cold +++ , Polaroid PX-100UV+ Frio ++++
Polaroid PX-100UV+ Warm , Polaroid PX-100UV+ Quente
Polaroid PX-100UV+ Warm + , Polaroid PX-100UV+ Quente +
Polaroid PX-100UV+ Warm ++ , Polaroid PX-100UV+ Quente ++
Polaroid PX-100UV+ Warm +++ , Polaroid PX-100UV+ Quente ++++
Polaroid PX-100UV+ Warm - , Polaroid PX-100UV+ Quente -
Polaroid PX-680 Cold , Polaroid PX-680 Frio
Polaroid PX-680 Warm + , Polaroid PX-680 Quente +
Polaroid PX-680 Warm ++ , Polaroid PX-680 Quente ++
Polaroid PX-70 +++ , Polaroid PX-70 ++++
Polaroid PX-70 Warm + , Polaroid PX-70 Quente +
Polaroid Time Zero (Expired) , Polaroid Time Zero (Expirado)
Polaroid Time Zero (Expired) + , Polaroid Time Zero (Expirado) +
Polaroid Time Zero (Expired) ++ , Polaroid Time Zero (Expirado) ++
Polaroid Time Zero (Expired) - , Polaroid Time Zero (Expirado) -
Polaroid Time Zero (Expired) -- , Polaroid Time Zero (Expirado) --
Polaroid Time Zero (Expired) --- , Polaroid Time Zero (Expirado) ---
Polaroid Time Zero (Expired) Cold , Polaroid Time Zero (Expirado) Frio
Polaroid Time Zero (Expired) Cold - , Polaroid Time Zero (Expirado) Cold -
Polaroid Time Zero (Expired) Cold -- , Polaroid Time Zero (Expirado) Cold --
Polaroid Time Zero (Expired) Cold --- , Polaroid Time Zero (Expirado) Cold ---
Pole Lat , Pólo Lat
Pole Long , Pólo Longo
Pole Rotation , Rotação do Pólo
Polka Dots , Pontos de Polka
Pollock: Convergence , Pollock: Convergência
Pollock: Summertime Number 9A , Pollock: Verão Número 9A
Polygonize [Delaunay] , Poligonizar [Delaunay]
Polygonize [Energy] , Poligonizar [Energia]
Pop Shadows , Sombras Pop
Portrait , Retrato
Portrait Retouching , Retoque de Retratos
Portrait-1 , Retrato-1
Portrait-2 , Retrato-2
Portrait-3 , Retrato-3
Portrait-4 , Retrato-4
Portrait-5 , Retrato-5
Portrait-6 , Retrato-6
Portrait-7 , Retrato-7
Portrait-8 , Retrato-8
Portrait-9 , Retrato-9
Portrait0 , Retrato0
Portrait1 , Retrato1
Portrait10 , Retrato10
Portrait2 , Retrato2
Portrait3 , Retrato3
Portrait4 , Retrato4
Portrait5 , Retrato5
Portrait6 , Retrato6
Portrait7 , Retrato7
Portrait8 , Retrato8
Portrait9 , Retrato9
Position , Posição
Position X (%) , Posição X (%)
Position X Origin (%) , Posição X Origem (%)
Position Y (%) , Posição Y (%)
Position Y Origin (%) , Posição Y Origem (%)
Positive , Positivo
Post-Gamma , Pós-Gamma
Post-Normalize , Pós-Normalização
Post-Process , Pós-Processo
Poster Edges , Pôsteres
Posterization Antialiasing , Posterização Antialiasing
Posterization Level , Nível de Posterização
Posterized Dithering , Ditadura Posterizada
Power , Energia
Pre-Defined , Pré-definido
Pre-Defined Colormap , Colormap Pré-Definido
Pre-Gamma , Pré-Gamma
Pre-Normalize , Pré-Normalizar
Pre-Normalize Image , Pré-Normalizar imagem
Pre-Process , Pré-Processo
Precision , Precisão
Precision (%) , Precisão (%)
Preliminary Surface Shift , Desvio de superfície preliminar
Preliminary X-Axis Scaling , Escala Preliminar do Eixo X
Preliminary Y-Axis Scaling , Escala Preliminar do Eixo Y
Preprocessor Power , Poder do pré-processador
Preprocessor Radius , Raio do pré-processador
Preserve Canvas for Post Bump Mapping , Conservar Tela para Cartografia de Bossas
Preserve Image Dimension , Preservar a dimensão da imagem
Preserve Initial Brightness , Preservar o Brilho Inicial
Preset , Predefinição
Preview , Pré-visualização
Preview All Outputs , Pré-visualização de todas as saídas
Preview Bands , Bandas de pré-visualização
Preview Brush , Escova de pré-visualização
Preview Data , Pré-visualização de dados
Preview Detected Shapes , Pré-visualização de Formas Detectadas
Preview Frame Selection , Pré-visualização da selecção da moldura
Preview Gradient , Pré-visualização Gradiente
Preview Grain Alone , Pré-visualização Grão Sozinho
Preview Grid , Grelha de pré-visualização
Preview Guides , Guias de pré-visualização
Preview Mapping , Pré-visualização de mapas
Preview Mask , Máscara de pré-visualização
Preview Only Shadow , Pré-visualizar apenas Sombra
Preview Opacity (%) , Pré-visualização Opacidade (%)
Preview Original , Pré-visualização Original
Preview Precision , Pré-visualização Precisão
Preview Progress (%) , Pré-visualização do progresso (%)
Preview Progression While Running , Pré-visualização Progressão Durante a Corrida
Preview Ref Point , Ponto de Reflexão Preview
Preview Reference Circle , Prever Círculo de Referência
Preview Selection , Pré-visualização da selecção
Preview Shape , Pré-visualização da forma
Preview Shows , Anteprojectos
Preview Subsampling , Pré-visualização Subamostragem
Preview Time , Tempo de pré-visualização
Preview Tones Map , Mapa de Tons de Pré-visualização
Preview Type , Tipo de pré-visualização
Preview Without Alpha , Pré-visualização sem Alfa
Primary Angle , Ângulo primário
Primary Color , Cor primária
Primary Factor , Factor principal
Primary Gamma , Gama primária
Primary Radius , Raio primário
Primary Shift , Turno primário
Primary Twist , Torcida Primária
Print Adjustment Marks , Marcas de ajuste de impressão
Print Films (12) , Filmes de impressão (12)
Print Frame Numbers , Números da moldura de impressão
Print Size Unit , Unidade de tamanho de impressão
Print Size Width , Largura de tamanho de impressão
Privacy Notice , Nota de Privacidade
Pro Neg Hi , Pro Neg Olá
Probability Map , Mapa de Probabilidade
Process As , Processo Como
Process by Blocs of Size , Processo por Blocos de Tamanho
Process Channels Individually , Canais de Processo Individualmente
Process Top Layer Only , Processar apenas a camada superior
Process Transparency , Transparência do processo
Processing Mode , Modo de processamento
Propagation , Propagação
Proportion , Proporção
Protanomaly , Protanomalia
Protect Highlights 01 , Proteger Destaques 01
Prussian Blue , Azul da Prússia
Pseudo-Gray Dithering , Pseudo-acinzentado Dithering
Purple , Púrpura
Purple11 (12) , Púrpura11 (12)
Pyramid , Pirâmide
Pyramid Processing , Processamento em pirâmide
Pythagoras Tree , Árvore Pitágoras
Quadratic , Quadrático
Quadtree Variations , Variações de Quadtree
Quality , Qualidade
Quality (%) , Qualidade (%)
Quantize Colors , Quanze Colors
Quasi-Gaussian , Quasi-Gaussiano
Quick , Rápido
Quick Copyright , Rápido Copyright
Quick Enlarge , Ampliar rapidamente
R/B Smoothness (Principal) , R/B Suavidade (Principal)
R/B Smoothness (Secondary) , R/B Suavidade (Secundário)
Radius (%) , Raio (%)
Radius / Angle , Raio / Ângulo
Radius [Manual] , Raio [Manual]
Radius Cut , Corte de raio
Radius Middle Circle , Círculo médio do raio
Radius Outer Circle A (>0 W%) (<0 H%) , Raio Círculo Externo A (>0 W%) (<0 H%)
Rain & Snow , Chuva e Neve
Rainbow , Arco-íris
Raindrops , Gotas de chuva
Random , Aleatório
Random [non-Transparent] , Aleatório [não transparente]
Random Angle , Ângulo aleatório
Random Color Ellipses , Elipses de Cor Aleatórias
Random Colors , Cores aleatórias
Random Seed , Semente Aleatória
Random Shade Stripes , Listras de Sombreamento Aleatórias
Randomized , Randomizado
Randomness , Aleatoriedade
Range , Gama
Ratio , Rácio
Raw , Bruto
Rays , Raios
Rays Colors AB , Raios Cores AB
Rays Colors ABC , Raios Cores ABC
Rays Colors ABCD , Raios Cores ABCD
Rays Colors ABCDE , Raios Cores ABCDE
Rays Colors ABCDEF , Raios Cores ABCDEF
Rays Colors ABCDEFG , Raios Cores ABCDEFG
Rebuild From Similar Blocs , Reconstruir a partir de Blocos semelhantes
Recompose , Recompor
Reconstruct From Previous Frames , Reconstruir a partir de quadros anteriores
Recover , Recuperar
Recover Highlights , Recuperar Destaques
Recover Shadows , Recuperar sombras
Recovery , Recuperação
Rectangle , Rectângulo
Recursion Depth , Profundidade de Recurssão
Recursions , Recursões
Recursive Median , Mediana recursiva
Red , Vermelho
Red - Green - Blue , Vermelho - Verde - Azul
Red - Green - Blue - Alpha , Vermelho - Verde - Azul - Alfa
Red Afternoon 01 , Tarde Vermelha 01
Red Blue Yellow , Vermelho Azul Amarelo
Red Chroma Factor , Factor Croma Vermelho
Red Chroma Shift , Turno de croma vermelha
Red Chroma Smoothness , Suavidade do Chroma Vermelho
Red Chrominance , Crominância Vermelha
Red Day 01 , Dia Vermelho 01
Red Dream 01 , Sonho Vermelho 01
Red Factor , Fator Vermelho
Red Level , Nível Vermelho
Red Rotations , Rotações vermelhas
Red Shift , Turno Vermelho
Red Smoothness , Suavidade vermelha
Red Wavelength , Comprimento de onda vermelho
Red-Eye Attenuation , Atenuação do Olho Vermelho
Red-Green , VERMELHO-VERDE
Reds , Vermelhos
Reds Oranges Yellows , Laranjas Vermelhas Amarelas
Reduce Halos , Reduzir Halos
Reduce Noise , Reduzir o Ruído
Reduce RAM , Reduzir a RAM
Reduce Redness , Reduzir a Reduza
Reeve 38 , Reeveitar 38
Reference , Referência
Reference Angle (deg.) , Ângulo de referência (deg.)
Reference Color , Cor de referência
Reference Colors , Cores de referência
Reflect , Reflectir
Reflection , Reflexão
Refraction , Refracção
Regular Grid , Grelha regular
Regularity , Regularidade
Regularity (%) , Regularidade (%)
Regularization , Regularização
Regularization (%) , Regularização (%)
Regularization Factor , Factor de regularização
Regularization Iterations , Iterações de regularização
Reject , Rejeitar
Rejected Colors , Cores Rejeitadas
Rejected Mask , Máscara Rejeitada
Relative Block Count , Contagem de blocos relativos
Relative Size , Tamanho relativo
Relative Warping , Empenos relativos
Release Notes , Notas de Lançamento
Relief , Alívio
Relief Amplitude , Amplitude de Alívio
Relief Contrast , Contraste de alívio
Relief Light , Luz de alívio
Relief Size , Tamanho do alívio
Relief Smoothness , Suavidade de alívio
Remove Artifacts From Micro/Macro Detail , Remover artefactos do Micro/Macro Detail
Remove Hot Pixels , Retirar Pixels Quentes
Remove Tile , Remover Telha
Render Multiple Frames , Renderização de Quadros Múltiplos
Render on Dark Areas , Renderização em Áreas Escuras
Render on White Areas , Renderização em Áreas Brancas
Render Routine for Wiggle Animations , Rotina de Render para Animações Wiggle
Rendering , Renderização
Rendering Mode , Modo de rendição
Repair Scanned Document , Documento digitalizado de reparação
Repeat , Repita
Repeat [Memory Consuming!] , Repita [Consumo de Memória!]
Repeats , Repete
Replace , Substituir
Replace (Sharpest) , Substituir (Sharpest)
Replace Layer with CLUT , Substituir Layer por CLUT
Replace Source by Target , Substituir Fonte por Alvo
Replace With White , Substituir por branco
Replaced Color , Cor Substituída
Replacement Color , Cor de substituição
Reptile , Réptil
Rescaling , Redimensionamento
Reset View , Repor Vista
Resize Image for Optimum Effect , Redimensionar imagem para um efeito óptimo
Resolution , Resolução
Resolution (%) , Resolução (%)
Resolution (px) , Resolução (px)
Rest 33 , Descanso 33
Result Image , Imagem do resultado
Result Type , Tipo de resultado
Retouch Layer , Camada de retoque
Retouched and Sharpened Areas , Áreas retocadas e afiadas
Retouched Areas Only , Apenas áreas retocadas
Retouched Image , Imagem retocada
Retouched Image Basic , Imagem retocada Basic
Retouched Image Final , Imagem retocada Final
Retouching Style , Estilo de retoque
Retro Brown 01 , Castanho Retro 01
Retro Summer 3 , Retro Verão 3
Retro Yellow 01 , Amarelo Retro 01
Return Scaling , Escala de retorno
Reverse Bits , Bits inversos
Reverse Bytes , Bytes inversos
Reverse Effect , Efeito inverso
Reverse Endianness , Endianismo inverso
Reverse Frame Stack , Pilha de armação invertida
Reverse Gradient , Gradiente Inverso
Reverse Mod , Modo inverso
Reverse Motion , Movimento inverso
Reverse Order , Ordem inversa
Reverse Pow , Pó invertido
Reversing , Invertendo
Revert Layer Order , Inverter ordem de camadas
Revert Layers , Inverter camadas
RGB [All] , RGB [Todos]
RGB [Blue] , RGB [Azul]
RGB [Green] , RGB [Verde]
RGB [red] , RGB [vermelho]
RGB Image + Binary Mask (2 Layers) , Imagem RGB + Máscara Binária (2 Camadas)
RGB Quantization , Quantificação RGB
RGB Tone , Tom RGB
RGBA [All] , RGBA [Todos]
RGBA [Alpha] , RGBA [Alfa]
RGBA Foreground + Background (2 Layers) , RGBA Primeiro plano + Fundo (2 Camadas)
RGBA Image (Full-Transparency / 1 Layer) , Imagem RGBA (Esparência total / 1 camada)
RGBA Image (Updatable / 1 Layer) , Imagem RGBA (Actualizável / 1 Camada)
Rice , Arroz
Right , Certo
Right Diagonal  Foreground , Primeiro plano diagonal direito
Right Diagonal Foreground , Primeiro plano diagonal direito
Right Eye View , Vista do olho direito
Right Foreground , Primeiro plano direito
Right Position , Posição correcta
Right Side Orientation , Orientação para o lado direito
Right Slope , Encosta direita
Right Stream Only , Apenas o fluxo de direita
Rigid , Rígido
Roddy (by Mahvin) , Roddy (por Mahvin)
Rodilius [Animated] , Rodilius [Animado]
Rooster , Galo
Rotate , Rodar
Rotate (muted) , Rodar (silenciado)
Rotate (vibrant) , Rodar (vibrante)
Rotate 180 Deg. , Rodar 180 graus.
Rotate 270 Deg. , Rodar 270 graus.
Rotate 90 Deg. , Rodar 90 graus.
Rotate Hue Bands , Rodar as Bandas de Matizes
Rotate Tree , Rodar árvore
Rotated , Rodado
Rotated (crush) , Rodado (esmagar)
Rotations , Rotações
Round , Ronda
Roundness , Arredondamento
Row by Row , Fila a fila
RYB [All] , RYB [Todos]
RYB [Blue] , RYB [Azul]
RYB [Red] , RYB [Vermelho]
RYB [Yellow] , RYB [Amarelo] [Yellow
S-Curve Contrast , Contraste S-Curva
Salt and Pepper , Sal e Pimenta
Same as Input , O mesmo que Input
Same Axis , O mesmo eixo
Sample Image , Imagem de amostra
Sampling , Amostragem
Sat Bottom , Fundo do Sábado
Sat Range , Gama Sat
Satin , Cetim
Saturated Blue , Azul Saturado
Saturation , Saturação
Saturation (%) , Saturação (%)
Saturation Channel Gamma , Canal de Saturação Gama
Saturation Correction , Correcção de Saturação
Saturation EQ , EQ de Saturação
Saturation Factor , Factor de Saturação
Saturation Offset , Compensação de Saturação
Saturation Shift , Turno de Saturação
Saturation Smoothness , Saturação Suavidade
Save CLUT as .Cube or .Png File , Guardar CLUT como ficheiro .Cube ou .Png
Save Gradient As , Salvar Gradiente Como
Saving Private Damon , Salvar o Damon Privado
Scale , Balança
Scale (%) , Escala (%)
Scale 1 , Escala 1
Scale 2 , Escala 2
Scale CMYK , Balança CMYK
Scale Factor , Factor de Escala
Scale Output , Produção em escala
Scale Plasma , Balança Plasma
Scale RGB , Balança RGB
Scale Style to Fit Target Resolution , Estilo de Escala para Ajustar a Resolução do Alvo
Scale Variations , Variações de escala
Scaled , Escala
Scales , Balança
Scaling Factor , Factor de Escala
Scene Selector , Selector de cenas
Science Fiction , Ficção Científica
Screen , Ecrã
Screen Border , Fronteira do ecrã
Seamless Deco , Deco sem costura
Seamless Turbulence , Turbulência sem costura
Second Color , Segunda cor
Second Offset , Segunda Compensação
Second Radius , Segundo Raio
Second Size , Segundo tamanho
Secondary Color , Cor secundária
Secondary Factor , Factor secundário
Secondary Gamma , Gama secundária
Secondary Radius , Raio secundário
Secondary Shift , Turno Secundário
Secondary Twist , Torcida Secundária
Sectors , Sectores
Seed , Semente
Segment Max Length (px) , Comprimento Máximo do Segmento (px)
Segmentation , Segmentação
Segmentation Edge Threshold , Limiar de Segmentação
Segmentation Smoothness , Suavidade de segmentação
Segments , Segmentos
Segments Strength , Força dos Segmentos
Select By , Seleccione por
Select-Replace Color , Seleccionar-Replace Color
Selected Color , Cor seleccionada
Selected Colors , Cores seleccionadas
Selected Frame , Moldura Seleccionada
Selected Mask , Máscara seleccionada
Selection , Selecção
Selective Desaturation , Desaturação selectiva
Selective Gaussian , Gaussiano selectivo
Self , Auto
Self Glitching , Auto-compulsões
Self Image , Auto-imagem
Sensitivity , Sensibilidade
Sepia , Sépia
Sequence X4 , Sequência X4
Sequence X6 , Sequência X6
Sequence X8 , Sequência X8
Serenity , Serenidade
Serial Number , Número de série
Seringe 4 , Seringa 4
Serpent , Serpente
Set Aspect Only , Aspecto do conjunto apenas
Set Frame Format , Formato da moldura definida
Seven Layers , Sete Camadas
Seventies Magazine , Revista dos anos setenta
Shade , Sombra
Shade Angle , Ângulo de Sombra
Shade Back to First Color , Sombra de volta à primeira cor
Shade Bobs , Sombra de Bobs
Shade Strength , Força da sombra
Shading , Sombreamento
Shading (%) , Sombreamento (%)
Shadow , Sombra
Shadow Contrast , Contraste de sombras
Shadow Intensity , Intensidade da Sombra
Shadow King 39 , Rei das Sombras 39
Shadow Offset X , Offset de Sombra X
Shadow Offset Y , Offset de Sombra Y
Shadow Patch , Mancha de Sombra
Shadow Size , Tamanho da Sombra
Shadow Smoothness , Sombra Suavidade
Shadows , Sombras
Shadows Abstraction , Abstracção das Sombras
Shadows Brightness , Brilho das Sombras
Shadows Color Intensity , Intensidade da cor das sombras
Shadows Lightness , Sombras Ligeireza
Shadows Selection , Selecção das sombras
Shadows Threshold , Limiar das Sombras
Shadows Zone , Zona das Sombras
Shape , Forma
Shape Area Max , Área de Forma Máxima
Shape Area Max0 , Área de Forma Max0
Shape Area Min , Área de Forma Min
Shape Area Min0 , Área de Forma Min0
Shape Average , Forma Média
Shape Average0 , Forma Média0
Shape Max , Forma Max
Shape Max0 , Forma Max0
Shape Median , Mediana da forma
Shape Median0 , Forma Mediana0
Shape Min , Forma Min
Shape Min0 , Forma Min0
Shapeaverage , Média da forma
Shapeism , Forma
Shapes , Formas
Sharp Abstract , Abstrato nítido
Sharpen , Afiar
Sharpen [Deblur] , Afiar [Deblur]
Sharpen [Gold-Meinel] , Afiar [Gold-Meinel]
Sharpen [Gradient] , Afiar [Gradiente]
Sharpen [Hessian] , Afiar [Hessian]
Sharpen [Inverse Diffusion] , Afiar [Difusão Inversa]
Sharpen [Multiscale] , Afiar [Multiscale]
Sharpen [Octave Sharpening] , Afiar [Afiação por oitava]
Sharpen [Richardson-Lucy] , Afiar [Richardson-Lucy]
Sharpen [Shock Filters] , Afiar [Filtros de Choque]
Sharpen [Texture] , Afiar [Textura]
Sharpen [Tones] , Afiar [Tons]
Sharpen [Unsharp Mask] , Afiar [Unsharp Mask]
Sharpen [Whiten] , Afiar [Whiten]
Sharpen Details in Preview , Afiar Detalhes na Pré-visualização
Sharpen Edges Only , Afiar apenas as bordas
Sharpen Object , Afiar Objecto
Sharpen Radius , Afiar Raio
Sharpen Shades , Afiar sombras
Sharpened Areas Only , Apenas Áreas Afiadas
Sharpening , Afiação
Sharpening Layer , Camada de afiação
Sharpening Radius , Raio de afiação
Sharpening Strength , Força de afiação
Sharpening Type , Tipo de afiação
Sharpness , Nitidez
Shift Linear Interpolation? , Interpolação Linear por Turno?
Shift Point , Ponto de Turno
Shift X , Turno X
Shift Y , Turno Y
Shine , Brilho
Shininess , Brilho
Shivers , Arrepios
Shock Waves , Ondas de Choque
Shopping Cart , Carrinho de compras
Show Both Poles , Mostrar ambos os pólos
Show Difference , Mostrar a diferença
Show Frame , Moldura de exposição
Show Grid , Mostrar Grelha
Show Watershed , Mostrar Bacia Hidrográfica
Shrink , Encolher
Shuffle Pieces , Peças embaralhadas
Side by Side , Lado a Lado
Sierpinski Triangle , Triângulo de Sierpinski
Silver , Prata
Similarity Space , Espaço de semelhança
Simple Local Contrast , Contraste local simples
Simple Noise Canvas , Tela de Ruído Simples
Simulate Film , Simular filme
Sin(z) , Pecado(z)
Single (Merged) , Único (fundido)
Single Custom Depth Map , Mapa de Profundidade Personalizado Único
Single Image Stereogram , Estereograma de imagem única
Single Layer , Camada única
Single Opaque Shapes Over Transp. BG , Formas opacas únicas sobre o transporte. BG
Six Layers , Seis camadas
Sixteen Threads , Dezasseis fios
Size , Tamanho
Size (%) , Tamanho (%)
Size for Bright Tones , Tamanho para Tons Brilhantes
Size for Dark Tones , Tamanho para Tons Escuros
Size of Frame Numbers (%) , Tamanho dos Números de Moldura (%)
Size Variance , Variação de tamanho
Size-1 , Tamanho 1
Size-2 , Tamanho 2
Size-3 , Tamanho 3
Skeleton , Esqueleto
Skin Estimation , Estimativa da pele
Skin Mask , Máscara de pele
Skin Tone Colors , Cores de Tom de Pele
Skin Tone Mask , Máscara de Tom de Pele
Skin Tone Protection , Protecção de Tom de Pele
Skip All Other Steps , Saltar Todos os Outros Passos
Skip Finest Scales , Saltar Balanças Finest
Skip Others Steps , Saltar Outros Passos
Skip This Step , Saltar esta etapa
Skip to Use the Mask to Boost , Saltar para Usar a Máscara para Impulsionar
Slice Luminosity , Luminosidade em fatias
Slide [Color] (26) , Deslize [Cor] (26)
Slow &#40;Accurate&#41; , Lento (Preciso)
Slow Recovery , Recuperação lenta
Small , Pequeno
Small (Faster) , Pequeno (Mais rápido)
SmallHD Movie Look (7) , Olhar SmallHD Movie (7)
Smart , Inteligente
Smart Contrast , Contraste Inteligente
Smart Threshold , Limiar Inteligente
Smooth [Anisotropic] , Liso [Anisotrópico]
Smooth [Antialias] , Liso [Antialias]
Smooth [Bilateral] , Suave [Bilateral]
Smooth [Block PCA] , Suave [Bloco PCA]
Smooth [Diffusion] , Suave [Difusão]
Smooth [Geometric-Median] , Suave [Geométrico-Mediano]
Smooth [Guided] , Liso [Guiado]
Smooth [IUWT] , Suave [IUWT]
Smooth [Mean-Curvature] , Suave [Média-Curvatura]
Smooth [Median] , Liso [Mediano]
Smooth [NL-Means] , Suave [NL-Means]
Smooth [Patch-Based] , Liso [Baseado em Patch]
Smooth [Patch-PCA] , Suave [Patch-PCA]
Smooth [Perona-Malik] , Liso [Perona-Malik]
Smooth [Selective Gaussian] , Liso [Gaussiano selectivo]
Smooth [Skin] , Liso [Pele]
Smooth [Thin Brush] , Liso [Pincel Fino]
Smooth [Total Variation] , Suave [Variação Total]
Smooth [Wavelets] , Liso [Wavelets]
Smooth [Wiener] , Suave [Wiener]
Smooth Abstract , Abstrato Liso
Smooth Amount , Montante Suave
Smooth Clear , Lisa e clara
Smooth Colors , Cores suaves
Smooth Crome-Ish , Crome-Ish liso
Smooth Dark , Liso Escuro
Smooth Fade , Desvanecer suavemente
Smooth Green Orange , Laranja Verde Liso
Smooth Light , Luz suave
Smooth Looping , Laço liso
Smooth Only , Apenas suaves
Smooth Sailing , Vela suave
Smooth Teal Orange , Laranja de Teal Lisa
Smoothen Background Reconstruction , Suavizar a Reconstrução do Fundo
Smoother Edge Protection , Protecção de arestas mais suaves
Smoother Sharpness , Nitidez mais suave
Smoother Softness , Suavidade mais suave
Smoothing , Alisamento
Smoothing Style , Estilo suavizante
Smoothing Type , Tipo de alisamento
Smoothness , Alisamento
Smoothness (%) , Suavidade (%)
Smoothness (px) , Suavidade (px)
Smoothness Shadow , Sombra suavidade
Smoothness Type , Tipo de alisamento
Snowflake , Floco de Neve
Snowflake 2 , Floco de Neve 2
Snowflake Recursion , Recurssão do Floco de Neve
Soft , Suave
Soft  Light , Luz suave
Soft Burn , Queimadura suave
Soft Fade , Desbotamento suave
Soft Glow , Brilho suave
Soft Glow [Animated] , Brilho suave [Animado]
Soft Light , Luz suave
Soft Random Shades , Sombras suaves e aleatórias
Soft Warming , Aquecimento suave
Soften , Amaciar
Soften All Channels , Amaciar todos os Canais
Soften Guide , Guia de suavização
Softlight , Luz suave
Solarize Color , Solarize Cor
Solarized Color2 , Cor Solarizada2
Solidify , Solidificar
Solve Maze , Resolver o Labirinto
Some , Alguns
Some Blue , Algum Azul
Some Cyan , Algum Ciano
Some Green , Alguns verdes
Some Key , Algumas chaves
Some Magenta , Alguns Magenta
Some Red , Algum vermelho
Some Yellow , Algum Amarelo
Sort Colors , Classificar Cores
Sorting Criterion , Critério de ordenação
Source (%) , Fonte (%)
Source Color #1 , Cor da Fonte #1
Source Color #10 , Cor da Fonte #10
Source Color #11 , Cor da Fonte #11
Source Color #12 , Cor da Fonte #12
Source Color #13 , Cor da Fonte #13
Source Color #14 , Cor da Fonte #14
Source Color #15 , Cor da Fonte #15
Source Color #16 , Cor da Fonte #16
Source Color #17 , Cor da Fonte #17
Source Color #18 , Cor da Fonte #18
Source Color #19 , Cor da Fonte #19
Source Color #2 , Cor da Fonte #2
Source Color #20 , Cor da Fonte #20
Source Color #21 , Cor da Fonte #21
Source Color #22 , Cor da Fonte #22
Source Color #23 , Cor da Fonte #23
Source Color #24 , Cor da Fonte #24
Source Color #3 , Cor da Fonte #3
Source Color #4 , Cor da Fonte #4
Source Color #5 , Cor da Fonte #5
Source Color #6 , Cor da Fonte #6
Source Color #7 , Cor da Fonte #7
Source Color #8 , Cor da Fonte #8
Source Color #9 , Cor da Fonte #9
Source X-Tiles , Fonte X-Tiles
Source Y-Tiles , Fonte Y-Tiles
Space , Espaço
Spacing , Espaçamento
Span , Espanhol
Spatial Bandwidth , Largura de banda espacial
Spatial Metric , Métrica Espacial
Spatial Overlap , Sobreposição espacial
Spatial Precision , Precisão Espacial
Spatial Radius , Raio Espacial
Spatial Regularization , Regularização espacial
