<b>Lights & Shadows</b> , <b>Lights & Shadows</b>(灯光和阴影)
G'MIC Operator , G'MIC Operator(G'MIC操作员)
G/M Smoothness , G/M Smoothness(G/M 平滑度)
Grid Divisions , Grid Divisions(网格划分)
Grid Smoothing , Grid Smoothing(网格平滑)
High Frequency , High Frequency(高频)
Highlights Hue , Highlights Hue(高光色相)
Horizontal (%) , Horizontal (%)(水平(%))
Hue Smoothness , Hue Smoothness(色相平滑度)
Initialization , Initialization(初始化)
Key Frame Rate , Key Frame Rate(关键帧速率)
Key Smoothness , Key Smoothness(黑色平滑度)
Light Strength , Light Strength(光强度)
Lighting Angle , Lighting Angle(光照角度)
Line Precision , Line Precision(线精度)
Little Magenta , Little Magenta(阴影洋红)
LN Amplititude , LN Amplititude(LN 幅度)
Magenta Factor , Magenta Factor(洋红色系数)
Max Iterations , Max Iterations(最大迭代)
Max Length (%) , Max Length (%)(最长长度 (%))
Max Offset (%) , Max Offset (%)(最大偏移量(%))
Maximal Radius , Maximal Radius(最大半径)
Merging Option , Merging Option(合并选项)
Mid-Light Grey , Mid-Light Grey(中浅灰色)
Midpoint Shift , Midpoint Shift(中点偏移)
Min Length (%) , Min Length (%)(最小长度(%))
Min Offset (%) , Min Offset (%)(最小偏移量(%))
Minimal Radius , Minimal Radius(最小半径)
MorphoStrenght , MorphoStrenght(变形强度)
Ombre / Shadow , Ombre / Shadow(阴影)
Opacity Factor , Opacity Factor(不透明度系数)
Patch Variance , Patch Variance(补丁差异)
Pattern Height , Pattern Height(图案高度)
Pattern Weight , Pattern Weight(图案重量)
Position X (%) , Position X (%)(位置X(%))
Position Y (%) , Position Y (%)(位置Y(%))
Post-Normalize , Post-Normalize(后标准化)
Précision , Précision(精密切割)
Preserve Edges , Preserve Edges(保留边缘)
Preview Guides , Preview Guides(预览指南)
Primary Factor , Primary Factor(主要色因素)
Primary Radius , Primary Radius(主半径)
Radius / Angle , Radius / Angle(半径/角度)
Red Smoothness , Red Smoothness(红色平滑度)
Red Wavelength , Red Wavelength(红色波长)
Reduce Redness , Reduce Redness(减少发红)
Regularity (%) , Regularity (%)(规律性(%))
Regularization , Regularization(规范化)
Rendering Mode , Rendering Mode(渲染模式)
Resolution (%) , Resolution (%)(解析度 (%))
Return Scaling , Return Scaling(恢复尺寸)
Reverse Effect , Reverse Effect(反作用)
Reverse Motion , Reverse Motion(反向运动)
Right Position , Right Position(右侧起始位置)
Saturation (%) , Saturation (%)(饱和度(%))
Scaling Factor , Scaling Factor(换算系数)
Scene Selector , Scene Selector(场景选择器)
Selected Color , Selected Color(所选颜色)
Shade Strength , Shade Strength(阴影强度)
Sharpen Object , Sharpen Object(锐化对象)
Sharpen Radius , Sharpen Radius(锐化半径)
Sharpen Shades , Sharpen Shades(锐化阴影)
Show Watershed , Show Watershed(显示分水岭)
Shuffle Pieces , Shuffle Pieces(洗牌)
Skip This Step , Skip This Step(跳过这一步)
Smooth Looping , Smooth Looping(平滑循环)
Smoothing Type , Smoothing Type(平滑类型)
Smoothness (%) , Smoothness (%)(平滑度(%))
Source X-Tiles , Source X-Tiles(源 X-块数)
Source Y-Tiles , Source Y-Tiles(源 Y-块数)
Spatial Metric , Spatial Metric(空间度量)
Spatial Radius , Spatial Radius(空间半径)
Specular Light , Specular Light(镜面光)
Starting Angle , Starting Angle(起始角度)
Starting Color , Starting Color(起始颜色)
Starting Frame , Starting Frame(起始帧)
Starting Level , Starting Level(起始级别)
Starting Point , Starting Point(初始点)
Starting Value , Starting Value(起始值)
Stretch Colors , Stretch Colors(拉伸颜色)
Stretch Factor , Stretch Factor(拉伸系数)
Subpixel Level , Subpixel Level(亚像素级)
Symmetry Sides , Symmetry Sides(对称面)
Tangent Radius , Tangent Radius(切线半径)
Tertiary Gamma , Tertiary Gamma(三级色伽玛)
Tertiary Shift , Tertiary Shift(三级色偏移)
Tertiary Twist , Tertiary Twist(三级色转变)
Thickness (px) , Thickness (px)(厚度(像素))
Threshold High , Threshold High(阈值 高)
Thumbnail Size , Thumbnail Size(缩图大小)
Tone Threshold , Tone Threshold(色调阈值)
Value Blending , Value Blending(明度混合)
Value Variance , Value Variance(数值差异)
Vertical Tiles , Vertical Tiles(垂直块数)
X-Seed (Julia) , X-Seed (Julia)(X-种子(朱莉娅))
Y-Seed (Julia) , Y-Seed (Julia)(Y-种子(朱莉娅))
-4. Normalise , -4. Normalise(-4. 标准化)
0.  Recompute , 0.  Recompute(0.重新计算)
11. Amplitude , 11. Amplitude(11.幅度)
15. Channel 1 , 15. Channel 1(15.通道1)
16. Channel 2 , 16. Channel 2(16.通道2)
17. Channel 3 , 17. Channel 3(17.通道3)
18. Normalise , 18. Normalise(18.标准化)
1st Parameter , 1st Parameter(第一个参数)
26. Number #1 , 26. Number #1(26.第一名)
27. Number #2 , 27. Number #2(27. 2号)
28. Equalize? , 28. Equalize?(28.相等?)
29. Normalise , 29. Normalise(29.规范化)
2nd Parameter , 2nd Parameter(第二参数)
3D Image Type , 3D Image Type(3D影像类型)
3rd Parameter , 3rd Parameter(第三参数)
50. Depth (%) , 50. Depth (%)(50.深度(%))
A Lot of Cyan , A Lot of Cyan(青色高光)
A-Color Shift , A-Color Shift(A色偏移)
Amplitude (%) , Amplitude (%)(幅度(%))
Angular Tiles , Angular Tiles(角数)
Anti-Aliasing , Anti-Aliasing(抗锯齿)
Anti-Ghosting , Anti-Ghosting(防重影)
Apply Relief? , Apply Relief?(申请救济?)
Avg Branching , Avg Branching(平均分支)
B-Color Shift , B-Color Shift(B色偏移)
Balance Color , Balance Color(平衡顔色)
Blending Mode , Blending Mode(混合模式)
Blending Size , Blending Size(混合尺寸)
Blob 10 Color , Blob 10 Color(斑点10 颜色)
Blob 11 Color , Blob 11 Color(斑点11 颜色)
Blob 12 Color , Blob 12 Color(斑点12 颜色)
Blur Strength , Blur Strength(模糊强度)
Blur the Mask , Blur the Mask(模糊蒙版)
Bright Length , Bright Length(亮长度)
Bruit / Noise , Bruit / Noise(杂色)
Burn Strength , Burn Strength(加深强度)
Centering (%) , Centering (%)(居中(%))
Centers Color , Centers Color(中心色)
Color Shadows , Color Shadows(阴影颜色)
Colored Grain , Colored Grain(着色颗粒)
Colorize Mode , Colorize Mode(上色模式)
Colormap Type , Colormap Type(色彩映射类型)
Couleur Denim , Couleur Denim(Couleur牛仔布)
Curved Stroke , Curved Stroke(弯曲笔触)
Custom Kernel , Custom Kernel(自定义内核)
Custom Layout , Custom Layout(自定义布局)
Details Scale , Details Scale(细节大小)
Dimension (%) , Dimension (%)(尺寸 (%))
Disturbance X , Disturbance X(扰动X)
Disturbance Y , Disturbance Y(扰动Y)
Dither Output , Dither Output(抖动输出)
Edge Exponent , Edge Exponent(边缘指数)
Edge Fidelity , Edge Fidelity(边缘保真度)
Elevation (%) , Elevation (%)(海拔(%))
Ellipse Ratio , Ellipse Ratio(椭圆比率)
Frames Offset , Frames Offset(帧偏移)
Frequency (%) , Frequency (%)(频率 (%))
Highlight (%) , Highlight (%)(高光(%))
Interpolation , Interpolation(插值)
Left Position , Left Position(左侧起始位置)
Lighten Edges , Lighten Edges(亮化边缘)
Lightness (%) , Lightness (%)(亮度(%))
Little Yellow , Little Yellow(阴影黄)
Lookup Factor , Lookup Factor(查找因子)
Low Frequency , Low Frequency(低频)
Magenta Shift , Magenta Shift(洋红色偏移)
Mask Contrast , Mask Contrast(遮罩对比)
Mask Dilation , Mask Dilation(蒙版扩张)
MasterOpacity , MasterOpacity(主不透明度)
Max Threshold , Max Threshold(最大阈值)
Maximal Value , Maximal Value(最大值)
Median Radius , Median Radius(中值半径)
Merge Layers? , Merge Layers?(合并图层?)
Merging Steps , Merging Steps(相融)
Mid-Dark Grey , Mid-Dark Grey(中深灰色)
Min Threshold , Min Threshold(最小阈值)
Minimal Value , Minimal Value(最小值)
Mirror Effect , Mirror Effect(镜面效果)
Neutral Color , Neutral Color(中性色)
Non-Linearity , Non-Linearity(非线性度)
Normalization , Normalization(标准化)
Opacity Gamma , Opacity Gamma(不透明度伽玛)
Outline Color , Outline Color(轮廓色)
Output Folder , Output Folder(导出目录)
Output Format , Output Format(输出格式)
Output Frames , Output Frames(输出帧)
Output Height , Output Height(输出高度)
Output Layers , Output Layers(输出层)
Outside Color , Outside Color(外部颜色)
Patch Measure , Patch Measure(修补措施)
Pattern Angle , Pattern Angle(图案角度)
Pattern Width , Pattern Width(图案宽度)
Pole Rotation , Pole Rotation(极旋转)
Pre-Normalize , Pre-Normalize(预标准化)
Precision (%) , Precision (%)(精度(%))
Preview Bands , Preview Bands(预览色相滑条)
Preview Brush , Preview Brush(预览笔刷)
Preview Shape , Preview Shape(预览形状)
Preview Shows , Preview Shows(预览显示)
Preview Split , Preview Split(预览分割)
Primary Angle , Primary Angle(主角度)
Primary Color , Primary Color(原色)
Primary Gamma , Primary Gamma(主要色伽玛)
Primary Shift , Primary Shift(主要色偏移)
Primary Twist , Primary Twist(主要色转变)
Quick Enlarge , Quick Enlarge(快速放大)
Random Colors , Random Colors(随机颜色)
Red Rotations , Red Rotations(红色旋转)
Relative Size , Relative Size(相对尺寸)
Reverse Order , Reverse Order(相反的顺序)
Revert Layers , Revert Layers(反排图层)
Screen Border , Screen Border(屏幕边框)
Second Offset , Second Offset(垂直偏移)
Second Radius , Second Radius(第二半径)
Serial Number , Serial Number(序列号)
Size Variance , Size Variance(尺寸差异)
Smooth Amount , Smooth Amount(平滑度)
Smooth Colors , Smooth Colors(平滑的色彩)
Spatial Scale , Spatial Scale(空间尺寸)
Specular Size , Specular Size(镜面反射尺寸)
Spread Amount , Spread Amount(扩散量)
Spread Angles , Spread Angles(扩散角度)
Std Branching , Std Branching(标准分支)
Stroke Length , Stroke Length(笔划长度)
Surface Angle , Surface Angle(表面角度)
Taille / Size , Taille / Size(字样/大小)
Thickness (%) , Thickness (%)(宽度(%))
Threshold (%) , Threshold (%)(阈值(%))
Threshold Low , Threshold Low(阈值 低)
Threshold Max , Threshold Max(最大阈值)
Threshold Mid , Threshold Mid(阈值中)
Tiled Preview , Tiled Preview(平铺预览)
Vertical Blur , Vertical Blur(垂直模糊)
Very Course 5 , Very Course 5(非常课程5)
Vignette Size , Vignette Size(渐晕大小)
XY-Axis Mode? , XY-Axis Mode?(XY轴模式?)
Yellow Factor , Yellow Factor(黄色因素)
1st Variance , 1st Variance(第一方差)
23. Boundary , 23. Boundary(23.边界)
2nd Variance , 2nd Variance(第二方差)
30. X-Factor , 30. X-Factor(30. X-系数)
31. Y-Factor , 31. Y-Factor(31. Y-系数)
32. X-Offset , 32. X-Offset(32. X-偏移)
34. Y-Offset , 34. Y-Offset(34. Y-偏移)
36. Boundary , 36. Boundary(36.边界)
46. Absolute , 46. Absolute(46.绝对的)
A Lot of Key , A Lot of Key(高光白色)
Acceleration , Acceleration(加速)
Angle (deg.) , Angle (deg.)(角度(度))
Angle / Size , Angle / Size(角度/大小)
Antialiasing , Antialiasing(抗锯齿)
Aspect Ratio , Aspect Ratio(长宽比)
Balance SRGB , Balance SRGB(平衡SRGB)
Blend Scales , Blend Scales(混合尺寸)
Blob 1 Color , Blob 1 Color(斑点1 颜色)
Blob 2 Color , Blob 2 Color(斑点2 颜色)
Blob 3 Color , Blob 3 Color(斑点3 颜色)
Blob 4 Color , Blob 4 Color(斑点4 颜色)
Blob 5 Color , Blob 5 Color(斑点5 颜色)
Blob 6 Color , Blob 6 Color(斑点6 颜色)
Blob 7 Color , Blob 7 Color(斑点7 颜色)
Blob 8 Color , Blob 8 Color(斑点8 颜色)
Blob 9 Color , Blob 9 Color(斑点9 颜色)
Boost Smooth , Boost Smooth(提升平滑度)
Boost Stroke , Boost Stroke(增强笔触)
Border Color , Border Color(边框颜色)
Border Width , Border Width(边框宽度)
Bristle Size , Bristle Size(笔毛大小)
Canvas Color , Canvas Color(画布颜色)
CLUT Opacity , CLUT Opacity(CLUT不透明度)
Coefficients , Coefficients(系数)
Color Median , Color Median(颜色中位数)
Color Metric , Color Metric(颜色指标)
Colour Model , Colour Model(颜色模型)
Connectivity , Connectivity(连接性)
Contrast (%) , Contrast (%)(对比度(%))
Curve Amount , Curve Amount(曲线量)
Curve Length , Curve Length(曲线长度)
Cycle Layers , Cycle Layers(轮转图层)
Defects Size , Defects Size(缺陷尺寸)
Detail Level , Detail Level(详细等级)
Detail Scale , Detail Scale(细节比例)
DOF Analyzer , DOF Analyzer(自由度分析仪)
Drawing Mode , Drawing Mode(绘图模式)
Ending Angle , Ending Angle(结束角度)
Ending Color , Ending Color(终止颜色)
Ending Value , Ending Value(终点值)
Equalization , Equalization(均衡)
Fade End (%) , Fade End (%)(淡出结束(%))
Fading Shape , Fading Shape(外形衰减)
Fill Holes % , Fill Holes %(填充孔洞%)
First Offset , First Offset(水平偏移)
First Radius , First Radius(第一半径)
Frame Format , Frame Format(帧格式)
Green Factor , Green Factor(绿色因素)
Hyper Droste , Hyper Droste(超级德罗斯特)
Image Weight , Image Weight(图像重量)
Inner Fading , Inner Fading(内部淡出)
Inner Length , Inner Length(内长)
Inner Radius , Inner Radius(内半径)
Input Folder , Input Folder(输入文件夹)
Input Layers , Input Layers(输入层)
Inside Color , Inside Color(内部颜色)
Inter-Frames , Inter-Frames(中间帧数)
Line Opacity , Line Opacity(线不透明度)
Little Green , Little Green(阴影绿色)
LN Amplitude , LN Amplitude(LN振幅)
Mascot Image , Mascot Image(吉祥物图片)
Maximal Area , Maximal Area(最大面积)
Maximal Size , Maximal Size(最大尺寸)
Merging Mode , Merging Mode(合并模式)
Middle Scale , Middle Scale(中明度等级)
Midtones Hue , Midtones Hue(中间调色相)
Minimal Area , Minimal Area(最小面积)
Minimal Size , Minimal Size(最小尺寸)
Modulo Value , Modulo Value(模值)
Montage Type , Montage Type(蒙太奇类型)
Netteté , Netteté(内特é)
Object Ratio , Object Ratio(物体比例)
Opacity Gain , Opacity Gain(不透明度增益)
Orientations , Orientations(方向)
Ouline Color , Ouline Color(棕褐色)
Outer Fading , Outer Fading(外部淡出)
Outer Length , Outer Length(外长)
Outer Radius , Outer Radius(外半径)
Outline Size , Outline Size(轮廓宽度)
Output Files , Output Files(输出文件)
Output Width , Output Width(输出宽度)
Overall Blur , Overall Blur(整体模糊)
Padding (px) , Padding (px)(填充(px))
Paint Effect , Paint Effect(绘画效果)
Pattern Type , Pattern Type(模式类型)
Perturbation , Perturbation(扰动)
Post-Process , Post-Process(后期过程)
Preview Data , Preview Data(预览数据)
Preview Grid , Preview Grid(预览网格)
Preview Mask , Preview Mask(预览蒙版)
Preview Time , Preview Time(预览时间)
Preview Type , Preview Type(预览类型)
Quantization , Quantization(量化)
Random Angle , Random Angle(随机角度)
Reduce Halos , Reduce Halos(减少光晕)
Reduce Noise , Reduce Noise(减少噪音)
Regular Grid , Regular Grid(常规网格)
Reverse Flip , Reverse Flip(反向翻转)
Scale Factor , Scale Factor(缩放)
Scale Output , Scale Output(比例输出)
Scale Plasma , Scale Plasma(鳞等离子)
Second Color , Second Color(第二色)
Shadows Zone , Shadows Zone(阴影区)
Soften Guide , Soften Guide(软化指南)
Some Magenta , Some Magenta(中间调洋红)
Specular (%) , Specular (%)(镜面反射 (%))
Stencil Type , Stencil Type(模板类型)
Strength (%) , Strength (%)(强度(%))
Stroke Angle , Stroke Angle(笔划角度)
Subdivisions , Subdivisions(细分)
Threshold On , Threshold On(阈值开启)
Total Layers , Total Layers(总层数)
Transparency , Transparency(透明度)
Value Action , Value Action(明度行为)
Value Bottom , Value Bottom(最低明度)
Value Factor , Value Factor(明度因素)
Value Offset , Value Offset(明度偏移)
Vertical (%) , Vertical (%)(垂直(%))
White Layers , White Layers(白色层)
X-Coordinate , X-Coordinate(X坐标)
X-Dispersion , X-Dispersion(X-色散)
X-Factor (%) , X-Factor (%)(X-系数 (%))
X-Multiplier , X-Multiplier(X-乘数)
X-Offset (%) , X-Offset (%)(X-偏移 (%))
X-Resolution , X-Resolution(X-分辨率)
X-Shift (px) , X-Shift (px)(X-位移(px))
X-Smoothness , X-Smoothness(X平滑度)
X-Variations , X-Variations(X-变化)
XY-Amplitude , XY-Amplitude(XY振幅)
Y-Coordinate , Y-Coordinate(Y坐标)
Y-Dispersion , Y-Dispersion(Y-色散)
Y-Factor (%) , Y-Factor (%)(Y-系数 (%))
Y-Multiplier , Y-Multiplier(Y-乘数)
Y-Offset (%) , Y-Offset (%)(Y-偏移(%))
Y-Resolution , Y-Resolution(Y-分辨率)
Y-Shift (px) , Y-Shift (px)(Y-位移(px))
Y-Smoothness , Y-Smoothness(Y平滑度)
Y-Variations , Y-Variations(Y-变化)
Yellow Shift , Yellow Shift(黄色偏移)
Z-Multiplier , Z-Multiplier(Z-乘数)
1st X-Coord , 1st X-Coord(第一X坐标)
1st Y-Coord , 1st Y-Coord(第一个Y坐标)
29. Negate? , 29. Negate?(29.否定?)
2nd X-Coord , 2nd X-Coord(第二X坐标)
2nd Y-Coord , 2nd Y-Coord(第二个Y坐标)
3rd X-Coord , 3rd X-Coord(第三X坐标)
3rd Y-Coord , 3rd Y-Coord(第三个Y坐标)
Allow Angle , Allow Angle(允许角度)
Ambient (%) , Ambient (%)(环境 (%))
Angle (deg) , Angle (deg)(角度(度))
Angle Range , Angle Range(角度范围)
Attenuation , Attenuation(衰减)
BG Textured , BG Textured(BG纹理)
Black Level , Black Level(黑阶)
Black Point , Black Point(黑点)
Blend Decay , Blend Decay(混合衰变)
Blue Factor , Blue Factor(蓝色因素)
Blur Amount , Blur Amount(模糊量)
Blur Factor , Blur Factor(模糊系数)
Bottom Size , Bottom Size(底面尺寸)
Bump Factor , Bump Factor(凹凸系数)
Canal Alpha , Canal Alpha(Alpha通道)
Center Help , Center Help(中心帮助)
Center Size , Center Size(中心尺寸)
Color Angle , Color Angle(色角)
Color Basis , Color Basis(颜色基准)
Color Boost , Color Boost(色彩提升)
Color Gamma , Color Gamma(颜色伽玛)
Color Image , Color Image(彩色图像)
Color Model , Color Model(颜色模型)
Color Space , Color Space(色彩空间)
Cool / Warm , Cool / Warm(冷/暖)
Curve Angle , Curve Angle(曲线角度)
Cyan Factor , Cyan Factor(青色因素)
Dark Length , Dark Length(暗长)
Density (%) , Density (%)(密度%)
Diffuse (%) , Diffuse (%)(扩散度(%))
Diffusivity , Diffusivity(扩散性)
Expand Size , Expand Size(扩大尺寸)
Fast Resize , Fast Resize(快速调整大小)
FFT Preview , FFT Preview(FFT预览)
Fibrousness , Fibrousness(纤维性)
Finger Size , Finger Size(手指大小)
First Color , First Color(第一色)
Flou / Blur , Flou / Blur(模糊/模糊)
Folder Name , Folder Name(文件夹名称)
Font Colors , Font Colors(字体颜色)
Fractal Set , Fractal Set(分形集)
Frame Color , Frame Color(镜框颜色)
Frame Width , Frame Width(框架宽度)
Grain Scale , Grain Scale(颗粒大小)
Granularity , Granularity(粒度)
Green Level , Green Level(绿色等级)
Green Shift , Green Shift(绿色偏移)
Homogeneity , Homogeneity(同质性)
Hue Max (%) , Hue Max (%)(色相最大(%))
Hue Min (%) , Hue Min (%)(顺化(%))
Inner Shade , Inner Shade(内部阴影)
Invert Blur , Invert Blur(反转模糊)
Invert Mask , Invert Mask(反面罩)
Keep Colors , Keep Colors(保持色彩)
Keep Detail , Keep Detail(保持细节)
Light Angle , Light Angle(发光角度)
Light Color , Light Color(浅色)
Little Blue , Little Blue(阴影蓝色)
Little Cyan , Little Cyan(阴影青色)
Lookup Size , Lookup Size(查找大小)
Loop Method , Loop Method(循环法)
Max Cut (%) , Max Cut (%)(最大切割(%))
Middle Grey , Middle Grey(中灰)
Min Cut (%) , Min Cut (%)(最小切割(%))
Mixer Style , Mixer Style(混合样式)
Noise Level , Noise Level(噪点等级)
Noise Scale , Noise Scale(噪点大小)
Oddness (%) , Oddness (%)(奇异度(%))
Opacity (%) , Opacity (%)(不透明度(%))
Orientation , Orientation(方向)
Outline (%) , Outline (%)(轮廓 (%))
Output CLUT , Output CLUT(输出CLUT)
Output Mode , Output Mode(输出方式)
Output Type , Output Type(输出类型)
Overlap (%) , Overlap (%)(交叠 (%))
Pencil Size , Pencil Size(铅笔大小)
Pencil Type , Pencil Type(铅笔类型)
Periodicity , Periodicity(周期性)
Point Width , Point Width(点宽)
Pre-Process , Pre-Process(前处理)
Propagation , Propagation(扩展)
Quality (%) , Quality (%)(质量(%))
Random Seed , Random Seed(随机种子)
Relief Size , Relief Size(起伏尺寸)
Remove Tile , Remove Tile(移除一块)
Result Type , Result Type(结果类型)
Right Slope , Right Slope(右侧斜度)
Rotate Tree , Rotate Tree(旋转树)
Second Size , Second Size(第二尺寸)
Sensitivity , Sensitivity(灵敏度)
Shade Angle , Shade Angle(阴影角度)
Shading (%) , Shading (%)(阴影(%))
Shadow Size , Shadow Size(阴影大小)
Shift Point , Shift Point(换档点)
Some Yellow , Some Yellow(中间调黄)
Sort Colors , Sort Colors(排序颜色)
Start Angle , Start Angle(起始角度)
Start Color , Start Color(起始色)
Swap Colors , Swap Colors(交换颜色)
Swap Layers , Swap Layers(交换层)
Tones Range , Tones Range(色调范围)
Trunk Color , Trunk Color(树干颜色)
Value Range , Value Range(取值范围)
Value Scale , Value Scale(亮度尺寸)
Value Shift , Value Shift(明度偏移)
Variability , Variability(变化性)
Variation A , Variation A(变量A)
Variation B , Variation B(变量B)
Variation C , Variation C(变量C)
Vertex Type , Vertex Type(顶点类型)
White Level , White Level(白阶)
White Point , White Point(白点)
X-Amplitude , X-Amplitude(X-幅度)
X-Centering , X-Centering(X中心)
X-Curvature , X-Curvature(X曲率)
X-Shift (%) , X-Shift (%)(X-位移(%))
X-Size (px) , X-Size (px)(X-尺寸 (像素))
X-Start (%) , X-Start (%)(X-起始 (%))
Y-Amplitude , Y-Amplitude(Y-幅度)
Y-Centering , Y-Centering(Y中心)
Y-Curvature , Y-Curvature(Y形曲率)
Y-Shift (%) , Y-Shift (%)(Y-位移 (%))
Y-Size (px) , Y-Size (px)(Y-尺寸 (像素))
Y-Start (%) , Y-Start (%)(Y-起始 (%))
Zoom Center , Zoom Center(缩放中心 )
Zoom Factor , Zoom Factor(缩放系数)
10th Color , 10th Color(颜色10)
5. Octaves , 5. Octaves(5.八度)
Action #10 , Action #10(动作 #10)
Action #11 , Action #11(动作 #11)
Action #12 , Action #12(动作 #12)
Action #13 , Action #13(动作 #13)
Action #14 , Action #14(动作 #14)
Action #15 , Action #15(动作 #15)
Action #16 , Action #16(动作 #16)
Action #17 , Action #17(动作 #17)
Action #18 , Action #18(动作 #18)
Action #19 , Action #19(动作 #19)
Action #20 , Action #20(动作 #20)
Action #21 , Action #21(动作 #21)
Action #22 , Action #22(动作 #22)
Action #23 , Action #23(动作 #23)
Action #24 , Action #24(动作 #24)
Alpha Mode , Alpha Mode(字母模式)
Anisotropy , Anisotropy(各向异性)
Apply Mask , Apply Mask(涂面膜)
Array Mode , Array Mode(阵列模式)
Background , Background(背景)
Band Width , Band Width(色彩滑条宽度)
Base Scale , Base Scale(基本比例)
Blend Mode , Blend Mode(混合模式)
Blend Size , Blend Size(混合尺寸)
Blue Level , Blue Level(蓝色等级)
Blue Shift , Blue Shift(蓝色偏移)
Blur Alpha , Blur Alpha(模糊Alpha)
Blur Frame , Blur Frame(模糊框)
Blur Shade , Blur Shade(模糊阴影)
Center (%) , Center (%)(中心 (%))
Channel #1 , Channel #1(通道#1)
Channel #2 , Channel #2(通道#2)
Channel #3 , Channel #3(通道#3)
Channel(s) , Channel(s)(通道)
Color Mode , Color Mode(色彩模式)
Colorspace , Colorspace(色彩空间)
Components , Components(组件)
Cyan Shift , Cyan Shift(青色偏移)
Dark Color , Dark Color(深色)
Decoration , Decoration(装饰)
Desaturate , Desaturate(去饱和)
Dilatation , Dilatation(扩张)
Dodge Blur , Dodge Blur(减淡模糊)
Duplicates , Duplicates(重复项)
Edge Shade , Edge Shade(边缘阴影)
Etch Tones , Etch Tones(蚀刻色调)
Expression , Expression(表达式)
Extend 1px , Extend 1px(延伸1px)
Fade Start , Fade Start(淡出开始)
Feathering , Feathering(羽化)
Fill Holes , Fill Holes(填充孔洞)
Fine Scale , Fine Scale(精细比例)
First Size , First Size(第一尺寸)
Flat Color , Flat Color(平面颜色)
Force Gray , Force Gray(强制灰色)
Frame (px) , Frame (px)(边框(px))
Frame Size , Frame Size(边框大小)
Frame Skip , Frame Skip(跳帧)
Frame Type , Frame Type(镜框类型)
Grain Type , Grain Type(颗粒类型)
Grid Width , Grid Width(网格宽度)
Grow Alpha , Grow Alpha(扩大Alpha)
H Variable , H Variable(H变量)
Height (%) , Height (%)(高度 (%))
High Scale , High Scale(高明度等级)
High Value , High Value(高明度)
Highlights , Highlights(高光)
Hue Factor , Hue Factor(色相因素)
Hue Offset , Hue Offset(色相偏移)
Init. Type , Init. Type(初始化. 类型)
Input Type , Input Type(输入类型)
Inversions , Inversions(反转)
Iterations , Iterations(迭代)
K Variable , K Variable(K变量)
Key Factor , Key Factor(黑色因素)
Leaf Color , Leaf Color(叶片颜色)
Left Slope , Left Slope(左侧斜度)
Light Grey , Light Grey(浅灰色)
Light Type , Light Type(光类型)
Little Key , Little Key(阴影黑色)
Little Red , Little Red(阴影红色)
Margin (%) , Margin (%)(页边空白 (%))
Mask Color , Mask Color(蒙版颜色)
Max Radius , Max Radius(最大半径)
Mid Offset , Mid Offset(中偏移)
Min Area % , Min Area %(最小面积%)
Min Radius , Min Radius(最小半径)
Mixed Mode , Mixed Mode(混合模式)
Mixer Mode , Mixer Mode(混合模式)
Monochrome , Monochrome(单色)
Much Green , Much Green(高光绿色)
Multiplier , Multiplier(乘数)
Near Black , Near Black(近黑)
Noise Type , Noise Type(杂点类型)
Offset (%) , Offset (%)(偏移(%))
Only Leafs , Only Leafs(只有叶子)
Oversample , Oversample(过采样)
Patch Size , Patch Size(补丁大小)
Post-Gamma , Post-Gamma(后伽玛)
Process As , Process As(处理为)
Proportion , Proportion(比例)
Push Point , Push Point(推点)
Radius (%) , Radius (%)(半径(%))
Radius Cut , Radius Cut(半径分割(%))
Randomness , Randomness(随机性)
Recursions , Recursions(递归)
Red Factor , Red Factor(红色因素)
Reduce RAM , Reduce RAM(降低内存占用)
Refraction , Refraction(折射)
Regularity , Regularity(规律性)
Reset View , Reset View(重置视图)
Resolution , Resolution(解析度)
Sat Bottom , Sat Bottom(最低饱和度)
Saturation , Saturation(饱和度)
Sharpening , Sharpening(锐化)
Show Frame , Show Frame(展示框)
Smoothness , Smoothness(平滑度)
Some Green , Some Green(中间调绿色)
Source (%) , Source (%)(源 (%))
Stabilizer , Stabilizer(稳定器)
Swap Sides , Swap Sides(互换面)
Tile Poles , Tile Poles(平铺极坐标)
Tone Gamma , Tone Gamma(色调伽玛)
Use as Hue , Use as Hue(用作色相)
Wavelength , Wavelength(波长)
X-Rotation , X-Rotation(X-旋转)
Y-Rotation , Y-Rotation(Y-旋转)
Z-Rotation , Z-Rotation(Z-旋转)
1st Color , 1st Color(颜色1)
2nd Color , 2nd Color(颜色2)
3rd Color , 3rd Color(颜色3)
4. Radius , 4. Radius(4.半径)
49. Angle , 49. Angle(49.角度)
4th Color , 4th Color(颜色4)
5th Color , 5th Color(颜色5)
6th Color , 6th Color(颜色6)
7th Color , 7th Color(颜色7)
8th Color , 8th Color(颜色8)
9th Color , 9th Color(颜色9)
Action #1 , Action #1(动作 #1)
Action #2 , Action #2(动作 #2)
Action #3 , Action #3(动作 #3)
Action #4 , Action #4(动作 #4)
Action #5 , Action #5(动作 #5)
Action #6 , Action #6(动作 #6)
Action #7 , Action #7(动作 #7)
Action #8 , Action #8(动作 #8)
Action #9 , Action #9(动作 #9)
Algorithm , Algorithm(算法)
Amplitude , Amplitude(幅度)
Angle (%) , Angle (%)(角度(%))
Angle Cut , Angle Cut(角度分割(%))
Auto Crop , Auto Crop(自动裁切)
