<b>Arrays & Tiles</b> , <b>Array e piastrelle</b>
Output as Separate Layers , Uscita come strati separati
Output Ascii File , Uscita File Ascii
Output Chroma NR , Uscita Chroma NR
Output CLUT , Uscita CLUT
Output CLUT Resolution , Risoluzione CLUT in uscita
Output Coordinates File , File delle coordinate di uscita
Output Corresponding CLUT , Uscita corrispondente CLUT
Output Directory , Elenco delle uscite
Output Each Piece on a Different Layer , Uscita ogni pezzo su un diverso strato
Output Filename , Nome del file in uscita
Output Files , File di output
Output Folder , Cartella di uscita
Output Format , Formato di uscita
Output Frames , Cornici di uscita
Output Height , Altezza di uscita
Output HTML File , File HTML in uscita
Output Layers , Strati di uscita
Output Mode , Modalità di uscita
Output Multiple Layers , Uscita a più strati
Output Preset as a HaldCLUT Layer , Uscita preimpostata come strato HaldCLUT
Output Region Delimiters , Delimitatori della regione di uscita
Output Saturation , Saturazione dell'uscita
Output Sharpening , Affilatura in uscita
Output Stroke Layer On , Corsa in uscita Layer On
Output to Folder , Uscita alla cartella
Output Type , Tipo di uscita
Output Width , Larghezza di uscita
Outside , Fuori
Outside Color , Colore esterno
Outward , Verso l'esterno
Overall Blur , Sfocatura globale
Overall Contrast , Contrasto complessivo
Overall Lightness , Leggerezza complessiva
Overlap (%) , Sovrapposizione (%)
Overlay , Sovrapposizione
Overshoot , Sovrascatto
Padding (px) , Imbottitura (px)
Paint , Dipingere
Paint Daub , Dipingere Daub
Paint Effect , Effetto vernice
Paint Splat , Vernice Splat
Painter's Edge Protection Flow , Flusso di protezione del bordo del pittore
Painter's Smoothness , La levigatezza del pittore
Painter's Touch Sharpness , Nitidezza del tocco del pittore
Painting , Pittura
Painting Opacity , Opacità della pittura
Paladin , Paladino
Paladin 1875 , Paladino 1875
Paper Texture , Struttura della carta
Parallel Processing , Elaborazione parallela
Parrots , Pappagalli
Passing By , Passando
Pastell Art , Arte pastello
Patch Measure , Misura della toppa
Patch Size , Dimensione della toppa
Patch Size for Analysis , Dimensione della toppa per l'analisi
Patch Size for Synthesis , Dimensione della patch per la sintesi
Patch Size for Synthesis (Final) , Patch Size per la sintesi (finale)
Patch Smoothness , Lisciozza della toppa
Patch Variance , Varianza delle toppe
Pattern , Modello
Pattern Angle , Angolo del modello
Pattern Height , Altezza del modello
Pattern Type , Tipo di modello
Pattern Variation 1 , Modello Variazione 1
Pattern Variation 2 , Variazione di modello 2
Pattern Variation 3 , Variazione di modello 3
Pattern Weight , Peso del modello
Pattern Width , Larghezza del modello
Paw , Zampa
PCA Transfer , Trasferimento PCA
Pea Soup , Zuppa di piselli
Pen Drawing , Disegno a penna
Penalize Patch Repetitions , Penalizzare le ripetizioni di patch
Pencil , Matita
Pencil Amplitude , Ampiezza della matita
Pencil Portrait , Ritratto a matita
Pencil Size , Dimensione matita
Pencil Smoother Edge Protection , Matita più liscia Protezione del bordo della matita
Pencil Smoother Sharpness , Matita più liscia e nitida
Pencil Smoother Smoothness , Matita più liscia liscia
Pencil Type , Tipo di matita
Pencils , Matite
Pentagon , Pentagono
Peppers , Peperoni
Percent of Image Half-Hypotenuse (%) , Percentuale di mezza ipotenusa dell'immagine (%)
Periodic , Periodico
Periodic Dots , Puntini periodici
Periodicity , Periodicità
Perserve Luminance , Perservare la luminanza
Perspective , Prospettiva
Perturbation , Perturbazione
Petals , Petali
Phase , Fase
Phone , Telefono
PhotoComix Preset , Preset PhotoComix
Photoillustration , Fotoillustrazione
Picasso: Seated Woman , Picasso: Donna seduta
Picasso: The Reservoir - Horta De Ebro , Picasso: Il serbatoio - Horta De Ebro
PictureFX (19) , ImmagineFX (19)
Piece Complexity , Complessità del pezzo
Piece Size (px) , Dimensione del pezzo (px)
Pin Light , Spinotto Luce
Pink Fade , Dissolvenza rosa
Pixel Sort , Tipo di pixel
Pixel Values , Valori dei pixel
Placement , Posizionamento
Plane , Aereo
Plasma Effect , Effetto plasma
Plot Type , Tipo di appezzamento
Point #0 , Punto n. 0
Point #1 , Punto n. 1
Point #2 , Punto n. 2
Point #3 , Punto 3
Point 1 , Punto 1
Point 2 , Punto 2
Points , Punti
Polar Transform , Trasformazione polare
Polaroid 665 Negative , Polaroid 665 Negativo
Polaroid 665 Negative + , Polaroid 665 Negativo +
Polaroid 665 Negative - , Polaroid 665 Negativo -
Polaroid 665 Negative HC , Polaroid 665 HC negativo
Polaroid 669 +++ , Polaroid 669 ++++
Polaroid 669 Cold , Polaroid 669 a freddo
Polaroid 690 Warm , Polaroid 690 Caldo
Polaroid 690 Warm ++ , Polaroid 690 Caldo ++
Polaroid Polachrome , Polachrome polaroid
Polaroid PX-100UV+ Cold , Polaroid PX-100UV+ a freddo
Polaroid PX-100UV+ Cold + , Polaroid PX-100UV+ freddo +
Polaroid PX-100UV+ Cold ++ , Polaroid PX-100UV+ freddo ++
Polaroid PX-100UV+ Cold +++ , Polaroid PX-100UV+ a freddo ++++
Polaroid PX-100UV+ Cold - , Polaroid PX-100UV+ a freddo -
Polaroid PX-100UV+ Cold -- , Polaroid PX-100UV+ a freddo --
Polaroid PX-100UV+ Warm , Polaroid PX-100UV+ Caldo
Polaroid PX-100UV+ Warm + , Polaroid PX-100UV+ Caldo +
Polaroid PX-100UV+ Warm ++ , Polaroid PX-100UV+ Caldo ++
Polaroid PX-100UV+ Warm +++ , Polaroid PX-100UV+ Caldo ++++
Polaroid PX-100UV+ Warm - , Polaroid PX-100UV+ Caldo -
Polaroid PX-100UV+ Warm -- , Polaroid PX-100UV+ Caldo --
Polaroid PX-680 Warm , Polaroid PX-680 Caldo
Polaroid PX-680 Warm ++ , Polaroid PX-680 Caldo ++
Polaroid PX-70 +++ , Polaroid PX-70 ++++
Polaroid PX-70 Warm , Polaroid PX-70 Caldo
Polaroid PX-70 Warm ++ , Polaroid PX-70 Caldo ++
Polaroid Time Zero (Expired) , Polaroid Time Zero (Scaduto)
Polaroid Time Zero (Expired) + , Polaroid Time Zero (scaduto) +
Polaroid Time Zero (Expired) ++ , Polaroid Time Zero (scaduto) ++
Polaroid Time Zero (Expired) - , Polaroid Time Zero (scaduto) -
Polaroid Time Zero (Expired) -- , Polaroid Time Zero (scaduto) --
Polaroid Time Zero (Expired) --- , Polaroid Time Zero (scaduto) ---
Polaroid Time Zero (Expired) Cold , Polaroid Time Zero (scaduto) a freddo
Polaroid Time Zero (Expired) Cold - , Polaroid Time Zero (scaduto) a freddo -
Polaroid Time Zero (Expired) Cold -- , Polaroid Time Zero (scaduto) a freddo --
Polaroid Time Zero (Expired) Cold --- , Polaroid Time Zero (scaduto) a freddo ---
Pole Lat , Polo Lat
Pole Long , Polo lungo
Pole Rotation , Rotazione del palo
Polka Dots , Puntini a polka
Pollock: Convergence , Pollock: Convergenza
Pollock: Summertime Number 9A , Pollock: Estate numero 9A
Polygonize [Delaunay] , Poligonare [Delaunay]
Polygonize [Energy] , Poligonare [Energia]
Pop Shadows , Ombre Pop
Portrait , Ritratto
Portrait Retouching , Ritocco di ritratti
Portrait-1 , Ritratto-1
Portrait-2 , Ritratto-2
Portrait-3 , Ritratto-3
Portrait-4 , Ritratto-4
Portrait-5 , Ritratto-5
Portrait-6 , Ritratto-6
Portrait-7 , Ritratto-7
Portrait-8 , Ritratto-8
Portrait-9 , Ritratto-9
Portrait0 , Ritratto0
Portrait1 , Ritratto1
Portrait10 , Ritratto10
Portrait2 , Ritratto2
Portrait3 , Ritratto3
Portrait4 , Ritratto4
Portrait5 , Ritratto5
Portrait6 , Ritratto6
Portrait7 , Ritratto7
Portrait8 , Ritratto8
Portrait9 , Ritratto9
Position , Posizione
Position X (%) , Posizione X (%)
Position X Origin (%) , Posizione X Origine (%)
Position Y (%) , Posizione Y (%)
Position Y Origin (%) , Posizione Y Origine (%)
Positive , Positivo
Post-Normalize , Post-Normalizzare
Post-Process , Post-Processo
Poster Edges , Bordi dei poster
Posterization Antialiasing , Posterizzazione Antialiasing
Posterization Level , Livello di posterizzazione
Posterize , Posterizza
Posterized Dithering , Dithering posterizzato
Power , Potenza
Pre-Defined , Predefinito
Pre-Defined Colormap , Colormap predefiniti
Pre-Normalize , Pre-Normalizzare
Pre-Normalize Image , Pre-Normalizzare l'immagine
Pre-Process , Pre-processo
Precision , Precisione
Precision (%) , Precisione (%)
Preliminary Surface Shift , Spostamento di superficie preliminare
Preliminary X-Axis Scaling , Scalatura preliminare dell'asse X
Preliminary Y-Axis Scaling , Scalatura preliminare dell'asse Y
Preprocessor Power , Potenza del preprocessore
Preprocessor Radius , Raggio del preprocessore
Preserve Canvas for Post Bump Mapping , Conservare la tela per la mappatura degli urti
Preserve Edges , Conservare i bordi
Preserve Image Dimension , Conservare la dimensione dell'immagine
Preserve Initial Brightness , Conservare la luminosità iniziale
Preserve Luminance , Conservare la luminanza
Preview , Anteprima
Preview All Outputs , Anteprima di tutte le uscite
Preview Bands , Anteprima Bande
Preview Brush , Anteprima Pennello
Preview Data , Anteprima dati
Preview Detected Shapes , Anteprima forme rilevate
Preview Frame Selection , Anteprima della selezione del telaio
Preview Gradient , Anteprima Gradiente
Preview Grain Alone , Anteprima Grano da solo
Preview Grid , Anteprima Griglia
Preview Guides , Anteprima Guide
Preview Mapping , Anteprima Mappatura
Preview Mask , Maschera di anteprima
Preview Only Shadow , Anteprima solo ombra
Preview Opacity (%) , Anteprima Opacità (%)
Preview Original , Anteprima originale
Preview Precision , Anteprima Precisione
Preview Progress (%) , Anteprima Progressi (%)
Preview Progression While Running , Anteprima Progressione durante l'esecuzione
Preview Ref Point , Anteprima Ref Point
Preview Reference Circle , Anteprima Cerchio di riferimento
Preview Selection , Anteprima selezione
Preview Shape , Anteprima Forma
Preview Shows , Anteprima
Preview Split , Anteprima Split
Preview Subsampling , Anteprima Sottocampionamento
Preview Time , Tempo di anteprima
Preview Tones Map , Anteprima Toni Mappa
Preview Type , Tipo di anteprima
Preview Without Alpha , Anteprima senza Alpha
Primary Angle , Angolo primario
Primary Color , Colore primario
Primary Factor , Fattore primario
Primary Gamma , Gamma primaria
Primary Radius , Raggio primario
Primary Shift , Turno primario
Primary Twist , Torsione primaria
Print Adjustment Marks , Stampa Marchi di regolazione
Print Films (12) , Pellicole di stampa (12)
Print Frame Numbers , Numeri del telaio di stampa
Print Size Unit , Unità di misura per la stampa
Print Size Width , Dimensione di stampa Larghezza
Privacy Notice , Avviso sulla privacy
Probability Map , Mappa delle probabilità
Procedural , Procedurale
Process As , Processo Come
Process by Blocs of Size , Processo per blocchi di dimensioni
Process Channels Individually , Canali di processo individuali
Process Top Layer Only , Solo strato superiore del processo
Process Transparency , Trasparenza del processo
Processing Mode , Modalità di elaborazione
Propagation , Propagazione
Proportion , Proporzione
Protanomaly , Protanomalia
Protect Highlights 01 , Proteggere i punti salienti 01
Prussian Blue , Blu di Prussia
Pseudo-Gray Dithering , Dithering pseudo-grigio
Purple , Viola
Purple11 (12) , Viola11 (12)
Pyramid , Piramide
Pyramid Processing , Elaborazione della piramide
Pythagoras Tree , Albero di Pitagora
Quadrangle , Quadrangolo
Quadtree Variations , Variazioni dei quadrupedi
Quality , Qualità
Quality (%) , Qualità (%)
Quantization , Quantizzazione
Quantize Colors , Colori Quantize
Quasi-Gaussian , Quasi-Gaussiano
Quick , Veloce
Quick Copyright , Copyright rapido
Quick Enlarge , Ingrandisci rapidamente
R/B Smoothness (Principal) , R/B scorrevolezza (Principale)
R/B Smoothness (Secondary) , R/B scorrevolezza (secondario)
Radial , Radiale
Radius , Raggio
Radius (%) , Raggio (%)
Radius / Angle , Raggio / Angolo
Radius [Manual] , Raggio [Manuale]
Radius Cut , Raggio di taglio
Radius Middle Circle , Raggio Cerchio centrale
Radius Outer Circle A (>0 W%) (<0 H%) , Raggio Cerchio esterno A (>0 W%) (<0 H%)
Rain & Snow , Pioggia e neve
Raindrops , Gocce di pioggia
Random , Casuale
Random [non-Transparent] , Casuale [non-trasparente]
Random Angle , Angolo casuale
Random Color Ellipses , Ellissi di colore casuale
Random Colors , Colori casuali
Random Seed , Seme casuale
Random Shade Stripes , Strisce d'ombra casuali
Randomness , Casualità
Range , Gamma
Ratio , Rapporto
Raw , Crudo
Rays , Raggi
Rays Colors AB , Raggi Colori AB
Rays Colors ABC , Raggi Colori ABC
Rays Colors ABCD , Raggi Colori ABCD
Rays Colors ABCDE , Raggi Colori ABCDE
Rays Colors ABCDEF , Raggi Colori ABCDEF
Rays Colors ABCDEFG , Raggi Colori ABCDEFG
Rebuild From Similar Blocs , Ricostruire da blocchi simili
Recompose , Ricomporre
Reconstruct From Previous Frames , Ricostruire dai fotogrammi precedenti
Recover , Recupera
Recover Highlights , Recupera i punti salienti
Recover Shadows , Recuperare le ombre
Recovery , Recupero
Rectangle , Rettangolo
Recursion Depth , Profondità di ricorsione
Recursions , Ricorrenze
Recursive Median , Mediana ricorsiva
Red , Rosso
Red - Green - Blue , Rosso - Verde - Blu
Red - Green - Blue - Alpha , Rosso - Verde - Blu - Alfa
Red Afternoon 01 , Pomeriggio rosso 01
Red Blue Yellow , Rosso Blu Giallo
Red Chroma Factor , Fattore di croma rosso
Red Chroma Shift , Spostamento del croma rosso
Red Chroma Smoothness , Rosso Croma Levigatezza
Red Chrominance , Crominanza rossa
Red Day 01 , Giorno rosso 01
Red Dream 01 , Sogno rosso 01
Red Factor , Fattore rosso
Red Level , Livello Rosso
Red Rotations , Rotazioni rosse
Red Shift , Spostamento rosso
Red Smoothness , Rosso Lisciozza
Red Wavelength , Lunghezza d'onda rossa
Red-Eye Attenuation , Attenuazione occhi rossi
Red-Green , Rosso-verde
Reds , Rosso
Reds Oranges Yellows , Arance rosse Arance gialle
Reduce Halos , Ridurre gli aloni
Reduce Noise , Ridurre il rumore
Reduce RAM , Ridurre la RAM
Reduce Redness , Ridurre la riduzione
Reference , Riferimento
Reference Angle (deg.) , Angolo di riferimento (gradi)
Reference Color , Colore di riferimento
Reference Colors , Colori di riferimento
Reflect , Rifletti
Reflection , Riflessione
Refraction , Rifrazione
Regular Grid , Griglia regolare
Regularity , Regolarità
Regularity (%) , Regolarità (%)
Regularization , Regolarizzazione
Regularization (%) , Regolarizzazione (%)
Regularization Factor , Fattore di regolarizzazione
Regularization Iterations , Iterazioni di regolarizzazione
Reject , Rifiuta
Rejected Colors , Colori rifiutati
Rejected Mask , Maschera respinta
Relative Block Count , Conteggio dei blocchi relativi
Relative Size , Dimensione relativa
Relative Warping , Orditura relativa
Release Notes , Note di rilascio
Relief , Rilievo
Relief Amplitude , Ampiezza del rilievo
Relief Contrast , Rilievo Contrasto
Relief Light , Luce a rilievo
Relief Size , Dimensione del rilievo
Relief Smoothness , Rilievo Levigatezza
Remove Artifacts From Micro/Macro Detail , Rimuovere gli artefatti da Micro/Macro Detail
Remove Hot Pixels , Rimuovere i pixel caldi
Remove Tile , Rimuovere la piastrella
Render Multiple Frames , Renderizzare più fotogrammi
Render on Dark Areas , Render su aree buie
Render on White Areas , Render su aree bianche
Render Routine for Wiggle Animations , Routine di rendering per le animazioni Wiggle
Rendering Mode , Modalità di rendering
Repair Scanned Document , Riparazione del documento scansionato
Repeat , Ripetere
Repeat [Memory Consuming!] , Ripetere [Consumo di memoria!]
Repeats , Ripetizioni
Replace , Sostituire
Replace (Sharpest) , Sostituire (più nitido)
Replace Layer with CLUT , Sostituire lo strato con CLUT
Replace Source by Target , Sostituire la fonte con l'obiettivo
Replace With White , Sostituire con il bianco
Replaced Color , Colore sostituito
Replacement Color , Colore di ricambio
Reptile , Rettile
Reset View , Ripristina vista
Resize Image for Optimum Effect , Ridimensionare l'immagine per un effetto ottimale
Resolution , Risoluzione
Resolution (%) , Risoluzione (%)
Resolution (px) , Risoluzione (px)
Rest 33 , Riposo 33
Result Image , Risultato Immagine
Result Type , Tipo di risultato
Resynthetize Texture [FFT] , Sintetizzare la trama [FFT].
Resynthetize Texture [Patch-Based] , Sintetizzare la texture [Patch-Based].
Retouch Layer , Ritocco strato
Retouched and Sharpened Areas , Aree ritoccate e affilate
Retouched Areas Only , Solo aree ritoccate
Retouched Image , Immagine ritoccata
Retouched Image Basic , Immagine ritoccata Basic
Retouched Image Final , Immagine ritoccata finale
Retouching Style , Stile di fotoritocco
Retro , Retrò
Retro Brown 01 , Retrò marrone 01
Retro Fade , Dissolvenza retrò
Retro Magenta 01 , Magenta retrò 01
Retro Summer 3 , Estate retrò 3
Retro Yellow 01 , Retrò Giallo 01
Return Scaling , Scala di ritorno
Reverse Bits , Bit inversi
Reverse Bytes , Byte inversi
Reverse Effect , Effetto inverso
Reverse Endianness , Endiannità inversa
Reverse Flip , Capovolgimento inverso
Reverse Gradient , Gradiente invertito
Reverse Mod , Mod. retromarcia
Reverse Motion , Inversione del movimento
Reverse Order , Ordine inverso
Reverse Pow , Polvere inversa
Reversing , Inversione
Revert Layer Order , Invertire l'ordine dei livelli
Revert Layers , Invertire gli strati
RGB [All] , RGB [Tutti]
RGB [Blue] , RGB [Blu]
RGB [Green] , RGB [Verde]
RGB [red] , RGB [rosso]
RGB Image + Binary Mask (2 Layers) , Immagine RGB + maschera binaria (2 strati)
RGB Quantization , Quantizzazione RGB
RGB Tone , Tono RGB
RGBA [All] , RGBA [Tutti]
RGBA [Alpha] , RGBA [Alfa]
RGBA Foreground + Background (2 Layers) , RGBA Primo piano + sfondo (2 strati)
RGBA Image (Full-Transparency / 1 Layer) , Immagine RGBA (Trasparenza completa / 1 livello)
RGBA Image (Updatable / 1 Layer) , Immagine RGBA (aggiornabile / 1 livello)
Rice , Riso
Right , A destra
Right Diagonal  Foreground , Primo piano diagonale destro
Right Diagonal Foreground , Primo piano diagonale destro
Right Eye View , Vista dall'occhio destro
Right Foreground , Primo piano a destra
Right Position , Posizione corretta
Right Side Orientation , Orientamento a destra
Right Slope , Pendenza a destra
Right Stream Only , Solo Stream Right Stream
Rigid , Rigido
Ripple , Ondulazione
Roddy (by Mahvin) , Roddy (di Mahvin)
Rodilius [Animated] , Rodilio [Animato]
Rollei Retro 80s , Rollei Retro anni '80
Rooster , Gallo
Rose , Rosa
Rotate , Ruota
Rotate (muted) , Ruotare (silenzioso)
Rotate (vibrant) , Ruotare (vibrante)
Rotate 180 Deg. , Ruotare di 180 gradi.
Rotate 270 Deg. , Ruotare di 270 gradi.
Rotate 90 Deg. , Ruotare di 90 gradi.
Rotate Hue Bands , Ruotare le bande di tonalità
Rotate Tree , Ruotare l'albero
Rotated , Ruotato
Rotated (crush) , Ruotato (schiacciamento)
Rotations , Rotazioni
Roundness , Rotondità
Row by Row , Fila per Fila
RYB [All] , RYB [Tutti]
RYB [Blue] , RYB [Blu]
RYB [Red] , RYB [Rosso]
RYB [Yellow] , RYB [Giallo]
S-Curve Contrast , Contrasto della curva a S
Salt and Pepper , Sale e pepe
Same as Input , Uguale a Input
Same Axis , Stesso asse
Sample Image , Immagine campione
Sampling , Campionamento
Sat Bottom , Fondo Sat
Sat Range , Gamma Sat
Satin , Raso
Saturated Blue , Blu saturo
Saturation , Saturazione
Saturation (%) , Saturazione (%)
Saturation Channel Gamma , Canale di saturazione Gamma
Saturation Correction , Correzione della saturazione
Saturation EQ , Saturazione EQ
Saturation Factor , Fattore di saturazione
Saturation Offset , Offset di saturazione
Saturation Shift , Saturazione
Saturation Smoothness , Saturazione L'uniformità della saturazione
Save CLUT as .Cube or .Png File , Salva CLUT come file .Cube o .Png
Save Gradient As , Salva gradiente come
Saving Private Damon , Salvataggio del soldato Damon
Scalar , Scalare
Scale , Scala
Scale (%) , Scala (%)
Scale 1 , Scala 1
Scale 2 , Scala 2
Scale CMYK , Scala CMYK
Scale Factor , Fattore di scala
Scale Output , Scala di uscita
Scale Plasma , Scala al plasma
Scale RGB , Scala RGB
Scale Style to Fit Target Resolution , Stile di scala per adattarsi alla risoluzione del bersaglio
Scale Variations , Variazioni di scala
Scaled , In scala
Scales , Bilancia
Scaling Factor , Fattore di scala
Scene Selector , Selettore di scena
Science Fiction , Fantascienza
Screen , Schermo
Screen Border , Schermo Confine
Seamless Deco , Deco senza soluzione di continuità
Seamless Turbulence , Turbolenza senza soluzione di continuità
Second Color , Secondo colore
Second Offset , Secondo offset
Second Radius , Secondo raggio
Second Size , Seconda dimensione
Secondary Color , Colore secondario
Secondary Factor , Fattore secondario
Secondary Gamma , Gamma secondaria
Secondary Radius , Raggio secondario
Secondary Shift , Turno secondario
Secondary Twist , Torsione secondaria
Sectors , Settori
Seed , Seme
Segment Max Length (px) , Lunghezza massima del segmento (px)
Segmentation , Segmentazione
Segmentation Edge Threshold , Soglia di segmentazione del bordo
Segmentation Smoothness , Segmentazione Levigatezza della segmentazione
Segments , Segmenti
Segments Strength , Segmenti Forza
Select By , Seleziona per
Select-Replace Color , Seleziona-Sostituisci colore
Selected Color , Colore selezionato
Selected Colors , Colori selezionati
Selected Frame , Telaio selezionato
Selected Mask , Maschera selezionata
Selection , Selezione
Selective Desaturation , Desaturazione selettiva
Selective Gaussian , Gaussiano selettivo
Self Glitching , Autoscalfittura
Self Image , Immagine di sé
Sensitivity , Sensibilità
Sepia , Seppia
Sequence X4 , Sequenza X4
Sequence X6 , Sequenza X6
Sequence X8 , Sequenza X8
Serial Number , Numero di serie
Serpent , Serpente
Set Aspect Only , Imposta solo l'aspetto
Set Frame Format , Imposta il formato del telaio
Seven Layers , Sette strati
Seventies Magazine , Rivista Seventies
Shade , Ombra
Shade Angle , Angolo d'ombra
Shade Back to First Color , Ombra Torna al primo colore
Shade Strength , Forza dell'ombra
Shading , Ombreggiatura
Shading (%) , Ombreggiatura (%)
Shadow , Ombra
Shadow Contrast , Contrasto d'ombra
Shadow Intensity , Intensità dell'ombra
Shadow King 39 , Re delle ombre 39
Shadow Offset X , Ombra Offset X
Shadow Offset Y , Ombra Offset Y
Shadow Patch , Ombra Patch
Shadow Size , Dimensione dell'ombra
Shadow Smoothness , Ombra Levigatezza
Shadows , Ombre
Shadows Abstraction , Astrazione delle Ombre
Shadows Brightness , Ombre Luminosità
Shadows Color Intensity , Ombre Intensità del colore
Shadows Hue Shift , Spostamento della tonalità delle ombre
Shadows Lightness , Ombre Leggerezza
Shadows Selection , Selezione delle ombre
Shadows Threshold , Soglia delle ombre
Shadows Zone , Zona d'ombra
Shape , Forma
Shape Area Max , Area di forma Max
Shape Area Max0 , Area di forma Max0
Shape Area Min , Forma Area Min
Shape Area Min0 , Area di forma Min0
Shape Average , Forma Media
Shape Average0 , Forma Media0
Shape Max , Forma Max
Shape Max0 , Forma Max0
Shape Median , Forma Mediana
Shape Median0 , Forma Mediana0
Shape Min , Forma Min
Shape Min0 , Forma Min0
Shapes , Forme
Sharp Abstract , Astratto affilato
Sharpen , Affilare
Sharpen [Deblur] , Affilare [Deblur]
Sharpen [Gold-Meinel] , Affilare [Gold-Meinel]
Sharpen [Gradient] , Affilare [Gradiente]
Sharpen [Hessian] , Affilare [Assia]
Sharpen [Inverse Diffusion] , Affilare [Diffusione inversa]
Sharpen [Multiscale] , Affilare [Multiscala]
Sharpen [Octave Sharpening] , Affilare [Affilatura dell'ottava]
Sharpen [Shock Filters] , Affilare [Filtri d'urto]
Sharpen [Texture] , Affilare [Texture]
Sharpen [Tones] , Affilare [Toni]
Sharpen [Unsharp Mask] , Affilare [Maschera non affilata]
Sharpen [Whiten] , Affilare [Sbiancare]
Sharpen Details in Preview , Affila i dettagli in Anteprima
Sharpen Edges Only , Affilare solo i bordi
Sharpen Object , Affilare l'oggetto
Sharpen Radius , Raggio d'azione
Sharpen Shades , Affilare le sfumature
Sharpened Areas Only , Solo aree affilate
Sharpening , Affilatura
Sharpening Layer , Strato di affilatura
Sharpening Radius , Raggio di affilatura
Sharpening Strength , Forza di affilatura
Sharpening Type , Tipo di affilatura
Sharpness , Nitidezza
Shift Linear Interpolation? , Interpolazione lineare a turni?
Shift Point , Punto di spostamento
Shift X , Spostamento X
Shift Y , Spostamento Y
Shivers , Brividi
Shock Waves , Onde d'urto
Shopping Cart , Carrello
Show Both Poles , Mostra entrambi i poli
Show Difference , Mostra la differenza
Show Frame , Mostra telaio
Show Grid , Mostra griglia
Show Watershed , Mostra spartiacque
Shuffle Pieces , Shuffle Pezzi
Side by Side , Fianco a fianco
Sierpinski Triangle , Triangolo di Sierpinski
Silver , Argento
Similarity Space , Spazio di somiglianza
Simple Local Contrast , Semplice contrasto locale
Simple Noise Canvas , Tela semplice per il rumore
Simulate Film , Simulare il film
Sin(z) , Peccato(z)
Sine+ , Seno+
Single (Merged) , Singola (Fusa)
Single Custom Depth Map , Singola mappa di profondità personalizzata
Single Image Stereogram , Stereogramma a immagine singola
Single Layer , Singolo strato
Single Opaque Shapes Over Transp. BG , Forme opache singole su Trasp. BG
Six Layers , Sei strati
Sixteen Threads , Sedici fili
Size , Dimensione
Size (%) , Dimensione (%)
Size for Bright Tones , Dimensione per i toni luminosi
Size for Dark Tones , Dimensione per i toni scuri
Size of Frame Numbers (%) , Dimensione dei numeri di telaio (%)
Size Variance , Varianza di dimensione
Size-1 , Dimensione-1
Size-2 , Misura-2
Size-3 , Dimensione-3
Skeleton , Scheletro
Sketch , Schizzo
Skin Estimation , Stima della pelle
Skin Mask , Maschera di pelle
Skin Tone Colors , Colori della pelle
Skin Tone Mask , Maschera del tono della pelle
Skin Tone Protection , Protezione del tono della pelle
Skip All Other Steps , Salta tutti gli altri passi
Skip Finest Scales , Salta le scale più fini
Skip Others Steps , Salta altri passi
Skip This Step , Salta questo passo
Skip to Use the Mask to Boost , Salta per usare la maschera per potenziare
Slice Luminosity , Luminosità a fette
Slide [Color] (26) , Diapositiva [Colore] (26)
Slow &#40;Accurate&#41; , Lento (Accurato)
Slow Recovery , Recupero lento
Small , Piccolo
Small (Faster) , Piccolo (Più veloce)
Smart Contrast , Contrasto intelligente
Smart Threshold , Soglia intelligente
Smooth , Liscio
Smooth [Anisotropic] , Liscio [Anisotropo]
Smooth [Antialias] , Liscio [Antialias]
Smooth [Bilateral] , Liscio [Bilaterale]
Smooth [Block PCA] , Liscio [Blocco PCA]
Smooth [Diffusion] , Liscio [Diffusione]
Smooth [Geometric-Median] , Liscio [Geometrico-Mediano]
Smooth [Guided] , Liscio [Guidato]
Smooth [IUWT] , Liscio [IUWT]
Smooth [Mean-Curvature] , Liscio [Curvatura media]
Smooth [Median] , Liscio [Mediano]
Smooth [NL-Means] , Liscio [NL-Means]
Smooth [Patch-Based] , Liscio [Patch-Based]
Smooth [Patch-PCA] , Liscio [Patch-PCA]
Smooth [Perona-Malik] , Liscio [Perona-Malik]
Smooth [Selective Gaussian] , Liscio [Gaussiano selettivo]
Smooth [Skin] , Liscio [Pelle]
Smooth [Thin Brush] , Liscio [Spazzola sottile]
Smooth [Total Variation] , Liscio [Variazione totale]
Smooth [Wavelets] , Liscio [Onde ondulatorie]
Smooth [Wiener] , Liscio [Wiener]
Smooth Abstract , Astratto liscio
Smooth Amount , Importo liscio
Smooth Clear , Liscio e chiaro
Smooth Colors , Colori lisci
Smooth Crome-Ish , Crome-Ish liscio
Smooth Dark , Scuro liscio
Smooth Fade , Dissolvenza liscia
Smooth Green Orange , Verde Liscio Arancione
Smooth Light , Luce liscia
Smooth Looping , Looping liscio
Smooth Only , Solo liscio
Smooth Sailing , Vela liscia
Smooth Teal Orange , Arancione alzavola liscio
Smoothen Background Reconstruction , Lisciare la ricostruzione dello sfondo
Smoother Edge Protection , Protezione dei bordi più liscia
Smoother Sharpness , Maggiore nitidezza
Smoother Softness , Morbidezza più morbida
Smoothing , Lisciatura
Smoothing Style , Stile lisciante
Smoothing Type , Tipo di lisciatura
Smoothness , Liscio come l'olio
Smoothness (%) , Levigatezza (%)
Smoothness (px) , Levigatezza (px)
Smoothness Shadow , Ombra di levigatezza
Smoothness Type , Tipo di levigatezza
Snowflake , Fiocco di neve
Snowflake 2 , Fiocco di neve 2
