<b>Arrays & Tiles</b> , <b>Arrays und Kacheln</b>
Mixer [RGB] , Mischpult [RGB]
Mixer [YCbCr] , Mischpult [YCbCr]
Mixer Mode , Mischer-Modus
Mixer Style , Mischpult-Stil
Mode , Modus
Modern Film , Moderner Film
Modulo Value , Modulo-Wert
Moire Removal , Entfernung von Moiré
Moire Removal Method , Methode zur Entfernung von Moiré
Mondrian: Composition in Red-Yellow-Blue , Mondrian: Komposition in Rot-Gelb-Blau
Mondrian: Evening; Red Tree , Mondrian: Abend; Roter Baum
Mondrian: Gray Tree , Mondrian: Grauer Baum
Monet: San Giorgio Maggiore at Dusk , Monet: San Giorgio Maggiore in der Abenddämmerung
Monet: Water-Lily Pond , Monet: Seerosenteich
Monet: Wheatstacks - End of Summer , Monet: Weizenstapel - Ende des Sommers
Monkey , Affe
Mono Tinted , Mono Getönt
Mono+Ye , Mono+Ja
Mono-Directional , Monodirektional
Monochrome , Monochrom
Monochrome 1 , Monochrom 1
Monochrome 2 , Monochrom 2
Montage Type , Montage-Typ
Moody , Launisch
Moody-1 , Launisch-1
Moody-10 , Stimmung - 10
Moody-2 , Launisch-2
Moody-3 , Stimmung-3
Moody-4 , Stimmung - 4
Moody-5 , Stimmung-5
Moody-6 , Stimmung - 6
Moody-7 , Stimmung - 7
Moody-8 , Stimmung - 8
Moody-9 , Stimmung-9
Moon2panorama , Mond2Panorama
Moonlight , Mondschein
Moonlight 01 , Mondschein 01
Moonrise , Mondaufgang
Morning 6 , Vormittag 6
Morph [Interactive] , Morph [Interaktiv]
Morph Layers , Morph-Ebenen
Morphological - Fastest Sharpest Output , Morphologisch - schnellste und schärfste Ausgabe
Morphological Closing , Morphologischer Abschluss
Morphological Filter , Morphologischer Filter
Morphology Painting , Morphologie-Malerei
Morphology Strength , Morphologie-Stärke
MorphoStrenght , MorphoStärke
Mosaic , Mosaik
Most , Die meisten
Mostly Blue , Meistens blau
Motion Analyzer , Bewegungs-Analysator
Motion-Compensated , Bewegungskompensiert
Much , Vieles
Much Blue , Viel Blau
Much Green , Viel Grün
Much Red , Viel Rot
Multi-Layer Etch , Mehrschicht-Ätzen
Multiple Colored Shapes Over Transp. BG , Mehrere farbige Formen über Transp. BG
Multiple Layers , Mehrere Schichten
Multiplier , Multiplikator
Multiply , Vervielfachen Sie
Multiscale Operator , Multiskalen-Operator
Munch: The Scream , Munch: Der Schrei
Mute Shift , Stumme Verschiebung
Muted 01 , Gedämpft 01
Muted Fade , Stummes Ausblenden
Mystic Purple Sunset , Mystischer violetter Sonnenuntergang
Natural (vivid) , Natürlich (lebendig)
Nature & Wildlife-1 , Natur und Tierwelt-1
Nature & Wildlife-10 , Natur und Tierwelt - 10
Nature & Wildlife-2 , Natur und Tierwelt-2
Nature & Wildlife-3 , Natur und Tierwelt-3
Nature & Wildlife-4 , Natur und Tierwelt-4
Nature & Wildlife-5 , Natur und Tierwelt - 5
Nature & Wildlife-6 , Natur und Tierwelt - 6
Nature & Wildlife-7 , Natur und Tierwelt - 7
Nature & Wildlife-8 , Natur und Tierwelt - 8
Nature & Wildlife-9 , Natur und Tierwelt - 9
Nb Circles Surrounding , Nb Umgebende Kreise
Near Black , Bei Schwarz
Nearest , Nächste
Nearest Neighbor , Nächster Nachbar
Neat Merge , Sauber zusammenführen
Nebulous , Nebulös
Negate , verneinen
Negation , Verneinung
Negative , Negativ
Negative [Color] (13) , Negativ [Farbe] (13)
Negative [New] (39) , Negativ [Neu] (39)
Negative [Old] (44) , Negativ [alt] (44)
Negative Color Abstraction , Negative Farbabstraktion
Negative Colors , Negative Farben
Negative Effect , Negative Auswirkung
Neighborhood Size (%) , Größe der Nachbarschaft (%)
Neighborhood Smoothness , Glätte in der Nachbarschaft
Neon Lightning , Neon-Blitz
Neutral Color , Neutrale Farbe
Neutral Teal Orange , Neutrale Krickente Orange
Neutral Warm Fade , Neutrales Warm-Fading
New Curves [Interactive] , Neue Kurven [Interaktiv]
Newspaper , Zeitung
Newton Fractal , Newton-Fraktal
Night 01 , Nacht 01
Night Blade 4 , Nachtblatt 4
Night From Day , Nacht vom Tag
Night King 141 , Nachtkönig 141
Night Spy , Nacht-Spion
Nine Layers , Neun Schichten
No Masking , Keine Maskierung
No Recovery , Keine Wiederherstellung
No Rescaling , Keine Neuskalierung
No Transparency , Keine Transparenz
No-Skip , Kein Überspringen
Noise , Lärm
Noise [Additive] , Lärm [Zusatzstoff]
Noise [Perlin] , Lärm [Perlin]
Noise [Spread] , Lärm [Ausbreitung]
Noise A , Lärm A
Noise B , Lärm B
Noise C , Lärm C
Noise D , Lärm D
Noise Level , Lärmpegel
Noise Scale , Lärm-Skala
Noise Type , Lärm-Typ
Non / No , Nicht / Nein
Non-Linearity , Nicht-Linearität
Non-Rigid , Nicht starr
None , Keine
None (Allows Multi-Layers) , Keine (erlaubt Multi-Layer)
None- Skip , Nicht- Überspringen
Norm Type , Norm-Typ
Normal Map , Normale Karte
Normal Output , Normale Ausgabe
Normalization , Normalisierung
Normalize , normalisieren
Normalize Brightness , Helligkeit normalisieren
Normalize Colors , Farben normalisieren
Normalize Illumination , Beleuchtung normalisieren
Normalize Input , Eingabe normalisieren
Normalize Luma , Luma normalisieren
Normalize Scales , Skalen normalisieren
Nostalgia Honey , Nostalgie-Honig
Nostalgic , Nostalgisch
Nothing , Nichts
Number , Nummer
Number of Added Frames , Anzahl der hinzugefügten Frames
Number of Angles , Anzahl von Winkeln
Number of Clusters , Anzahl von Clustern
Number of Colors , Anzahl der Farben
Number of Frames , Anzahl der Frames
Number of Inter-Frames , Anzahl der Inter-Frames
Number of Iterations per Scale , Anzahl der Iterationen pro Skala
Number of Key-Frames , Anzahl von Key-Frames
Number of Levels , Anzahl der Ebenen
Number of Matches (Coarsest) , Anzahl der Spiele (gröbste)
Number of Matches (Finest) , Anzahl der Spiele (feinste)
Number of Orientations , Anzahl der Orientierungen
Number Of Rays , Anzahl der Strahlen
Number of Scales , Anzahl der Skalen
Number of Sizes , Anzahl der Größen
Number of Streaks , Anzahl der Streifen
Number of Teeth , Anzahl der Zähne
Number of Tones , Anzahl der Töne
Object Animation , Objekt-Animation
Object Ratio , Objekt-Verhältnis
Object Tolerance , Objekt-Toleranz
Octagon , Achteck
Octagonal , Achteckig
Octaves , Oktaven
Octogon , Oktogon
Oddness (%) , Seltsamkeit (%)
Off , Aus
Offset (%) , Aufrechnung (%)
Offset Angle Rays Layer 1 , Versetzte Winkelstrahlen Schicht 1
Offset Angle Rays Layer 2 , Versetzte Winkelstrahlen Schicht 2
Old Method - Slowest , Alte Methode - Langsamste
Old Photograph , Alte Fotografie
Old West , Alter Westen
Old-Movie Stripes , Alt-Film-Streifen
ON1 Photography (90) , ON1 Fotografie (90)
Once Upon a Time , Es war einmal
One Layer , Eine Schicht
One Layer (Horizontal) , Eine Schicht (horizontal)
One Layer (Vertical) , Eine Schicht (vertikal)
One Layer per Single Color , Eine Schicht pro Einzelfarbe
One Layer per Single Region , Eine Schicht pro einzelne Region
One Thread , Ein Faden
Only Leafs , Nur Blätter
Only Red , Nur Rot
Only Red and Blue , Nur Rot und Blau
Opacity , Deckkraft
Opacity (%) , Opazität (%)
Opacity as Heightmap , Opazität als Höhenkarte
Opacity Contours , Deckkraft-Konturen
Opacity Factor , Opazitätsfaktor
Opacity Gain , Opazitätsgewinn
Opacity Gamma , Opazität Gamma
Opacity Snowflake , Opazität Schneeflocke
Opacity Threshold (%) , Opazitäts-Schwellenwert (%)
Opaque Pixels , Undurchsichtige Pixel
Opaque Regions on Top Layer , Opake Regionen auf der obersten Ebene
Opaque Skin , Undurchsichtige Haut
Open Interactive Preview , Interaktive Vorschau öffnen
Opening , Eröffnung
Operation Yellow , Operation Gelb
Operator , Betreiber
Opposing , Gegenüber
Optimized Lateral Inhibition , Optimierte seitliche Hemmung
Orange Dark 4 , Orange-Dunkel 4
Orange Dark 7 , Orange-Dunkel 7
Orange Dark Look , Orange-Dunkel-Look
Orange Tone , Orange-Ton
Orange Underexposed , Orange Unterbelichtet
Oranges , Orangen
Order , Bestellung
Order By , Bestellen nach
Orientation , Orientierung
Orientation Coherence , Orientierungskohärenz
Orientation Only , Nur Orientierung
Orientations , Orientierungen
Original - (Opening + Closing)/2 , Original - (Eröffnung + Schließung)/2
Original - Opening , Original - Eröffnung
Orthogonal Radius , Orthogonaler Radius
Orton Glow , Orton-Glühen
Orwo NP20-GDR , Orwo NP20-DDR
Others (69) , Andere (69)
Ouline Color , Ouline Farbe
Outer , Äußeres
Outer Fading , Äußeres Verblassen
Outer Length , Äußere Länge
Outer Radius , Äußerer Radius
Outline , Gliederung
Outline (%) , Gliederung (%)
Outline Color , Umrissfarbe
Outline Contrast , Umriss-Kontrast
Outline Opacity , Umriss-Opazität
Outline Size , Umriss-Größe
Outline Smoothness , Glattheit des Umrisses
Outline Thickness , Dicke der Kontur
Outlined , Umriss
Output , Ausgabe
Output As , Ausgabe als
Output as Files , Ausgabe als Dateien
Output as Frames , Ausgabe als Frames
Output as Multiple Layers , Ausgabe als mehrere Ebenen
Output as Separate Layers , Ausgabe als getrennte Ebenen
Output Ascii File , Ascii-Datei ausgeben
Output Chroma NR , Ausgabe Chroma NR
Output CLUT , Ausgabe CLUT
Output CLUT Resolution , Ausgabe CLUT Auflösung
Output Coordinates File , Ausgabe-Koordinaten-Datei
Output Corresponding CLUT , Ausgabe Entsprechende CLUT
Output Directory , Ausgabe-Verzeichnis
Output Each Piece on a Different Layer , Ausgabe jedes Teils auf einer anderen Ebene
Output Filename , Ausgabe-Dateiname
Output Files , Ausgabe-Dateien
Output Folder , Ausgabe-Ordner
Output Format , Ausgabeformat
Output Frames , Ausgabe-Frames
Output Height , Ausgabe-Höhe
Output HTML File , HTML-Datei ausgeben
Output Layers , Ausgabe-Ebenen
Output Mode , Ausgabe-Modus
Output Multiple Layers , Mehrere Ebenen ausgeben
Output Preset as a HaldCLUT Layer , Ausgabevoreinstellung als HaldCLUT-Schicht
Output Region Delimiters , Ausgabe-Regionsbegrenzer
Output Saturation , Ausgabe-Sättigung
Output Sharpening , Schärfen der Ausgabe
Output Stroke Layer On , Ausgabestroke-Ebene Ein
Output to Folder , Ausgabe in Ordner
Output Type , Ausgabe-Typ
Output Width , Ausgabe-Breite
Outside , Außerhalb
Outside Color , Außenfarbe
Outside-In , Außen-Innen
Outward , Auswärts
Overall Blur , Allgemeine Unschärfe
Overall Contrast , Gesamtkontrast
Overall Lightness , Allgemeine Leichtigkeit
Overlap (%) , Überlappung (%)
Overlay , Überlagerung
Oversample , Überbeispiel
Overshoot , Überschwingen
P''(z) , P'''(z)
Padding (px) , Polsterung (px)
Paint , Malen
Paint Daub , Farbe Daub
Paint Effect , Farbeffekt
Paint Splat , Streichen Splat
Painter's Edge Protection Flow , Malerischer Kantenschutz-Fluss
Painter's Smoothness , Geschmeidigkeit des Malers
Painter's Touch Sharpness , Berührungsschärfe des Malers
Painting , Malerei
Painting Opacity , Deckkraft von Gemälden
Paintstroke , Farbschlag
Paper Texture , Papier-Textur
Parallel Processing , Parallele Verarbeitung
Parrots , Papageien
Passing By , Vorübergehend
Pastell Art , Pastell-Kunst
Patch , Aufnäher
Patch Measure , Patch-Maß
Patch Size , Patch-Größe
Patch Size for Analysis , Patch-Größe für die Analyse
Patch Size for Synthesis , Patch-Größe für Synthese
Patch Size for Synthesis (Final) , Patch-Größe für Synthese (endgültig)
Patch Smoothness , Patch-Glätte
Patch Variance , Patch-Abweichung
Pattern , Muster
Pattern Angle , Muster-Winkel
Pattern Height , Muster-Höhe
Pattern Type , Muster-Typ
Pattern Variation 1 , Muster-Variation 1
Pattern Variation 2 , Muster-Variation 2
Pattern Variation 3 , Muster-Variation 3
Pattern Weight , Gewicht des Musters
Pattern Width , Breite des Musters
Paw , Pfote
PCA Transfer , PCA-Übertragung
Pea Soup , Erbsensuppe
Pen Drawing , Stift-Zeichnung
Penalize Patch Repetitions , Patch-Wiederholungen bestrafen
Pencil , Bleistift
Pencil Amplitude , Bleistift-Amplitude
Pencil Portrait , Bleistift-Portrait
Pencil Size , Bleistift-Größe
Pencil Smoother Edge Protection , Kantenschutz mit Bleistiftglätter
Pencil Smoother Sharpness , Bleistift Glättende Schärfe
Pencil Smoother Smoothness , Bleistift Glättende Glätte
Pencil Type , Bleistift-Typ
Pencils , Stifte
Peppers , Paprika
Percent of Image Half-Hypotenuse (%) , Prozent der Bild-Halb-Hypotenuse (%)
Periodic , Periodisch
Periodic Dots , Periodische Punkte
Periodicity , Periodizität
Perserve Luminance , Luminanz erhalten
Perspective , Perspektive
Perturbation , Störeinflüsse
Petals , Blütenblätter
Phone , Telefon
PhotoComix Preset , PhotoComix-Voreinstellung
Photoillustration , Fotoillustration
Picasso: Seated Woman , Picasso: Sitzende Frau
Picasso: The Reservoir - Horta De Ebro , Picasso: Der Stausee - Horta De Ebro
PictureFX (19) , BildFX (19)
Piece Complexity , Komplexität des Stücks
Piece Size (px) , Stückgröße (px)
Pin Light , Pin-Licht
Pink Fade , Rosa Verblassen
Pixel Sort , Pixel-Sortierung
Pixel Values , Pixel-Werte
Placement , Platzierung
Plane , Flugzeug
Plasma Effect , Plasma-Effekt
Plot Type , Parzellentyp
Point #0 , Punkt #0
Point #1 , Punkt #1
Point #2 , Punkt #2
Point #3 , Punkt #3
Point 1 , Punkt 1
Point 2 , Punkt 2
Points , Punkte
Polar Transform , Polartransformation
Polaroid 665 Negative , Polaroid 665 Negativ
Polaroid 665 Negative + , Polaroid 665 Negativ +
Polaroid 665 Negative - , Polaroid 665 Negativ -
Polaroid 665 Negative HC , Polaroid 665 Negativ HC
Polaroid 669 Cold , Polaroid 669 Kalt
Polaroid 669 Cold + , Polaroid 669 Kalt +
Polaroid 669 Cold - , Polaroid 669 Kalt -
Polaroid 669 Cold -- , Polaroid 669 Kalt --
Polaroid 690 Cold , Polaroid 690 Kalt
Polaroid 690 Cold + , Polaroid 690 Kalt +
Polaroid 690 Cold ++ , Polaroid 690 Kalt ++
Polaroid 690 Cold - , Polaroid 690 Kalt -
Polaroid 690 Cold -- , Polaroid 690 Kalt --
Polaroid Polachrome , Polaroid-Polachrom
Polaroid PX-100UV+ Cold , Polaroid PX-100UV+ Kalt
Polaroid PX-100UV+ Cold + , Polaroid PX-100UV+ Kalt +
Polaroid PX-100UV+ Cold ++ , Polaroid PX-100UV+ Kalt ++
Polaroid PX-100UV+ Cold +++ , Polaroid PX-100UV+ Kalt +++
Polaroid PX-100UV+ Cold - , Polaroid PX-100UV+ Kalt -
Polaroid PX-100UV+ Cold -- , Polaroid PX-100UV+ Kalt --
Polaroid PX-680 Cold , Polaroid PX-680 Kalt
Polaroid PX-680 Cold + , Polaroid PX-680 Kalt +
Polaroid PX-680 Cold ++ , Polaroid PX-680 Kalt ++
Polaroid PX-680 Cold ++a , Polaroid PX-680 Kalt ++a
Polaroid PX-680 Cold - , Polaroid PX-680 Kalt -
Polaroid PX-680 Cold -- , Polaroid PX-680 Kalt --
Polaroid PX-70 Cold , Polaroid PX-70 Kalt
Polaroid PX-70 Cold + , Polaroid PX-70 Kalt +
Polaroid PX-70 Cold ++ , Polaroid PX-70 Kalt ++
Polaroid PX-70 Cold - , Polaroid PX-70 Kalt -
Polaroid PX-70 Cold -- , Polaroid PX-70 Kalt --
Polaroid Time Zero (Expired) , Polaroid-Zeit Null (abgelaufen)
Polaroid Time Zero (Expired) + , Polaroidzeit Null (abgelaufen) +
Polaroid Time Zero (Expired) ++ , Polaroid-Zeit Null (abgelaufen) ++
Polaroid Time Zero (Expired) - , Polaroid-Zeit Null (abgelaufen) -
Polaroid Time Zero (Expired) -- , Polaroid Time Zero (abgelaufen) --
Polaroid Time Zero (Expired) --- , Polaroid Time Zero (abgelaufen) ---
Polaroid Time Zero (Expired) Cold , Polaroid Zeit Null (abgelaufen) Kalt
Polaroid Time Zero (Expired) Cold - , Polaroid Time Zero (abgelaufen) Kalt -
Polaroid Time Zero (Expired) Cold -- , Polaroid Time Zero (Abgelaufen) Kalt --
Polaroid Time Zero (Expired) Cold --- , Polaroid Time Zero (abgelaufen) Kalt ---
Pole Long , Pole lang
Pole Rotation , Pol-Drehung
Polka Dots , Polka-Punkte
Pollock: Convergence , Pollack: Konvergenz
Pollock: Summertime Number 9A , Pollack: Sommerzeit Nummer 9A
Polygonize [Delaunay] , Polygonisieren [Delaunay]
Polygonize [Energy] , Polygonisieren [Energie]
Pop Shadows , Pop-Schatten
Portrait , Porträt
Portrait Retouching , Porträt-Retusche
Portrait-1 , Porträt-1
Portrait-2 , Porträt-2
Portrait-3 , Porträt-3
Portrait-4 , Porträt-4
Portrait-5 , Porträt-5
Portrait-6 , Porträt-6
Portrait-7 , Porträt-7
Portrait-8 , Porträt-8
Portrait-9 , Porträt-9
Portrait0 , Porträt0
Portrait1 , Porträt1
Portrait10 , Porträt10
Portrait2 , Porträt2
Portrait3 , Porträt3
Portrait4 , Porträt4
Portrait5 , Porträt5
Portrait6 , Porträt6
Portrait7 , Porträt7
Portrait8 , Porträt8
Portrait9 , Porträt9
Position , Standpunkt
Position X Origin (%) , Position X Ursprung (%)
Position Y Origin (%) , Position Y Ursprung (%)
Positive , Positiv
Post-Normalize , Post-Normalisierung
Post-Process , Post-Prozess
Poster Edges , Poster Ränder
Posterization Antialiasing , Posterisierung Antialiasing
Posterization Level , Posterisierungsgrad
Posterize , Plakatieren Sie
Posterized Dithering , Posterisiertes Dithering
Pow , Zuständigkeit
Power , Macht
Pre-Defined , Vordefiniert
Pre-Defined Colormap , Vordefinierte Farbkarte
Pre-Gamma , Vor-Gamma
Pre-Normalize , Vor-Normalisierung
Pre-Normalize Image , Bild vornormalisieren
Pre-Process , Vor-Prozess
Precision , Präzision
Precision (%) , Genauigkeit (%)
Preliminary Surface Shift , Vorläufige Oberflächenverschiebung
Preliminary X-Axis Scaling , Vorläufige X-Achsen-Skalierung
Preliminary Y-Axis Scaling , Vorläufige Y-Achsen-Skalierung
Preprocessor Power , Leistung des Präprozessors
Preprocessor Radius , Präprozessor-Radius
Preserve Canvas for Post Bump Mapping , Leinwand für Post-Bump-Mapping konservieren
Preserve Edges , Kanten konservieren
Preserve Image Dimension , Bilddimension erhalten
Preserve Initial Brightness , Ursprüngliche Helligkeit beibehalten
Preserve Luminance , Leuchtdichte erhalten
Preset , Voreingestellt
Preview , Vorschau
Preview All Outputs , Vorschau aller Ausgaben
Preview Bands , Vorschau Bands
Preview Brush , Vorschau-Pinsel
Preview Data , Vorschau von Daten
Preview Detected Shapes , Vorschau erkannter Formen
Preview Frame Selection , Vorschau der Rahmenauswahl
Preview Gradient , Vorschau-Farbverlauf
Preview Grain Alone , Vorschau Grain Alone
Preview Grid , Vorschau-Raster
Preview Guides , Vorschau-Anleitungen
Preview Mapping , Vorschau-Mapping
Preview Mask , Vorschau-Maske
Preview Only Shadow , Vorschau nur Schatten
Preview Opacity (%) , Vorschau-Durchsichtigkeit (%)
Preview Original , Vorschau Original
Preview Precision , Vorschau Präzision
Preview Progress (%) , Vorschau Fortschritt (%)
Preview Progression While Running , Vorschau des Fortschritts während der Ausführung
Preview Ref Point , Vorschau Ref-Punkt
Preview Reference Circle , Vorschau Referenzkreis
Preview Selection , Vorschau-Auswahl
Preview Shape , Vorschau Form
Preview Shows , Vorschau-Shows
Preview Split , Vorschau-Split
Preview Subsampling , Vorschau Subsampling
Preview Time , Vorschau-Zeit
Preview Tones Map , Vorschau der Töne Karte
Preview Type , Vorschau-Typ
Preview Without Alpha , Vorschau ohne Alpha
Primary Angle , Primärer Winkel
Primary Color , Primärfarbe
Primary Factor , Primärer Faktor
Primary Gamma , Primäres Gamma
Primary Radius , Primärer Radius
Primary Shift , Primäre Schicht
Primary Twist , Primäre Drehung
Print Adjustment Marks , Druckanpassungs-Markierungen
Print Films (12) , Filme drucken (12)
Print Frame Numbers , Nummern der Druckrahmen
Print Size Unit , Einheit der Druckgröße
Print Size Width , Druckgröße Breite
Privacy Notice , Hinweis zum Datenschutz
Pro Neg Hi , Pro Neg Hallo
Pro Neg Std , Pro Neg Std.
Probability Map , Wahrscheinlichkeitskarte
Procedural , Verfahrensfragen
Process As , Prozess als
Process by Blocs of Size , Prozess nach Größenblöcken
Process Channels Individually , Kanäle einzeln verarbeiten
Process Top Layer Only , Nur obere Schicht verarbeiten
Process Transparency , Prozess-Transparenz
Processing Mode , Verarbeitungs-Modus
Progressen , Fortschritt
Propagation , Ausbreitung
Proportion , Anteil
Protanomaly , Protanomalie
Protanopia , Protanopie
Protect Highlights 01 , Highlights schützen 01
Prussian Blue , Preußisch Blau
Pseudo-Gray Dithering , Pseudo-Grau-Dithering
Purple , Violett
Purple11 (12) , Violett11 (12)
Puzzle , Rätsel
Pyramid , Pyramide
Pyramid Processing , Pyramiden-Verarbeitung
Pythagoras Tree , Pythagoras-Baum
Quadrangle , Viereck
Quadratic , Quadratisch
Quadtree Variations , Quadtree Variationen
Quality , Qualität
Quality (%) , Qualität (%)
Quantization , Quantifizierung
Quantize Colors , Farben quantisieren
Quasi-Gaussian , Quasi-gaußisch
Quick , Schnell
Quick Copyright , Schnell Copyright
Quick Enlarge , Schnell vergrößern
R/B Smoothness (Principal) , R/B Glätte (Prinzipal)
R/B Smoothness (Secondary) , R/B-Glätte (sekundär)
Radius / Angle , Radius/Winkel
Radius [Manual] , Radius [Manuell]
Radius Cut , Radius-Schnitt
Radius Middle Circle , Radius Mittelkreis
Radius Outer Circle A (>0 W%) (<0 H%) , Radius Außenkreis A (>0 W%) (<0 H%)
Rain & Snow , Regen und Schnee
Rainbow , Regenbogen
Raindrops , Regentropfen
Random , Zufällig
Random [non-Transparent] , Zufällig [nicht-transparent]
Random Angle , Zufälliger Winkel
Random Color Ellipses , Zufällige Farb-Ellipsen
Random Colors , Zufällige Farben
Random Seed , Zufälliges Saatgut
Random Shade Stripes , Zufällige Farbstreifen
Randomize , Randomisieren Sie
Randomized , Randomisiert
Randomness , Zufälligkeit
Range , Bereich
Ratio , Verhältnis
Raw , Roh
Rays , Rochen
Rays Colors AB , Rochen-Farben AB
Rays Colors ABC , Rochenfarben ABC
Rays Colors ABCD , Strahlen-Farben ABCD
Rays Colors ABCDE , Rochen-Farben ABCDE
Rays Colors ABCDEF , Rochen-Farben ABCDEF
Rays Colors ABCDEFG , Rochen-Farben ABCDEFG
Rebuild From Similar Blocs , Neuaufbau aus ähnlichen Blöcken
Recompose , neu verfassen
Reconstruct From Previous Frames , Aus früheren Frames rekonstruieren
Recover , wiederherstellen
Recover Highlights , Höhepunkte der Erholung
Recover Shadows , Schatten wiederherstellen
Recovery , Wiederherstellung
Rectangle , Rechteck
Recursion Depth , Rekursionstiefe
Recursions , Rekursionen
Recursive Median , Rekursiver Median
Red , Rot
Red - Green - Blue , Rot - Grün - Blau
Red - Green - Blue - Alpha , Rot - Grün - Blau - Alpha
Red Afternoon 01 , Roter Nachmittag 01
Red Blue Yellow , Rot Blau Gelb
Red Chroma Factor , Roter Chroma-Faktor
Red Chroma Shift , Rot-Chroma-Verschiebung
Red Chroma Smoothness , Rot-Chroma-Glätte
Red Chrominance , Rote Chrominanz
Red Day 01 , Roter Tag 01
Red Dream 01 , Roter Traum 01
Red Factor , Roter Faktor
Red Level , Rote Stufe
Red Rotations , Rot Rotationen
Red Shift , Rotverschiebung
Red Smoothness , Rote Glätte
Red Wavelength , Rote Wellenlänge
Red-Eye Attenuation , Rote-Augen-Abschwächung
Red-Green , Rot-Grün
Reds , Rote
Reds Oranges Yellows , Rot Orangen Gelb
Reduce Halos , Halos reduzieren
Reduce Noise , Lärm reduzieren
Reduce RAM , RAM verkleinern
Reduce Redness , Rötung reduzieren
Reference , Referenz
Reference Angle (deg.) , Referenzwinkel (Grad)
Reference Color , Referenzfarbe
Reference Colors , Referenz-Farben
Reflect , Nachdenken
Reflection , Reflexion
Refraction , Refraktion
Regular Grid , Reguläres Gitter
Regularity , Regelmäßigkeit
Regularity (%) , Regelmässigkeit (%)
Regularization , Regularisierung
Regularization (%) , Regularisierung (%)
Regularization Factor , Regularisierungs-Faktor
Regularization Iterations , Regularisierungs-Iterationen
Reject , ablehnen
Rejected Colors , Abgelehnte Farben
Rejected Mask , Abgelehnte Maske
Relative Block Count , Relative Block-Anzahl
Relative Size , Relative Größe
Relative Warping , Relative Verwölbung
Release Notes , Anmerkungen zur Veröffentlichung
Relief , Erleichterung
Relief Amplitude , Entlastungsamplitude
Relief Contrast , Relief Kontrast
Relief Light , Relief-Licht
Relief Size , Größe des Reliefs
Relief Smoothness , Relief Glätte
Remove Artifacts From Micro/Macro Detail , Artefakte aus Mikro-/Makro-Details entfernen
Remove Hot Pixels , Hot Pixels entfernen
Remove Tile , Kachel entfernen
Render Multiple Frames , Rendern mehrerer Frames
Render on Dark Areas , Darstellung in dunklen Bereichen
Render on White Areas , Darstellung auf weißen Flächen
Render Routine for Wiggle Animations , Render-Routine für Wackelanimationen
Rendering Mode , Rendering-Modus
Repair Scanned Document , Gescanntes Dokument reparieren
Repeat , Wiederholen Sie
Repeat [Memory Consuming!] , Wiederholen Sie [Speicherfresser!]
Repeats , Wiederholt
Replace , Ersetze
Replace (Sharpest) , Ersetzen (Schärfste)
Replace Layer with CLUT , Schicht durch CLUT ersetzen
Replace Source by Target , Quelle durch Ziel ersetzen
Replace With White , Ersetzen durch Weiß
Replaced Color , Ersetzte Farbe
Replacement Color , Ersatzfarbe
Reptile , Reptil
Rescaling , Neuskalierung
Reset View , Ansicht zurücksetzen
Resize Image for Optimum Effect , Bildgröße für optimalen Effekt ändern
Resolution , Entschließung
Resolution (%) , Entschließung (%)
Resolution (px) , Auflösung (px)
Result Image , Ergebnis Bild
Result Type , Ergebnis-Typ
Resynthetize Texture [FFT] , Textur resynthetisieren [FFT]
Resynthetize Texture [Patch-Based] , Textur resynthetisieren [Patch-basiert]
Retouch Layer , Retusche-Ebene
Retouched and Sharpened Areas , Retuschierte und geschärfte Bereiche
Retouched Areas Only , Nur retuschierte Bereiche
Retouched Image , Retuschiertes Bild
Retouched Image Basic , Retuschiertes Bild Basic
Retouched Image Final , Retuschiertes Bild Finale
Retouching Style , Retusche-Stil
Retro Brown 01 , Retro-Braun 01
Retro Fade , Rückblende
Retro Magenta 01 , Retro-Magenta 01
Retro Summer 3 , Retro-Sommer 3
Retro Yellow 01 , Retro-Gelb 01
Return Scaling , Rückgabe Skalierung
Reverse Bits , Bits umkehren
Reverse Bytes , Umgekehrte Bytes
Reverse Effect , Umgekehrte Wirkung
Reverse Endianness , Umgekehrte Endianness
Reverse Flip , Rückwärts spiegeln
Reverse Frame Stack , Umgekehrter Rahmenstapel
Reverse Gradient , Umgekehrter Gradient
Reverse Mod , Rückwärts-Mod
Reverse Motion , Rückwärtsbewegung
Reverse Order , Umgekehrte Reihenfolge
Reverse Pow , Umgekehrte Kraft
Reversing , Umkehrung
Revert Layer Order , Reihenfolge der Schichten umkehren
Revert Layers , Ebenen umkehren
RGB [All] , RGB [Alle]
RGB [Blue] , RGB [Blau]
RGB [Green] , RGB [Grün]
RGB [red] , RGB [rot]
RGB Image + Binary Mask (2 Layers) , RGB-Bild + Binärmaske (2 Ebenen)
RGB Quantization , RGB-Quantisierung
RGB Tone , RGB-Ton
RGBA [All] , RGBA [Alle]
RGBA Foreground + Background (2 Layers) , RGBA Vordergrund + Hintergrund (2 Ebenen)
RGBA Image (Full-Transparency / 1 Layer) , RGBA-Bild (Voll-Transparenz / 1 Ebene)
RGBA Image (Updatable / 1 Layer) , RGBA-Bild (aktualisierbar / 1 Ebene)
Rice , Reis
Right , Rechts
Right Diagonal  Foreground , Rechte Diagonale im Vordergrund
Right Diagonal Foreground , Rechte Diagonale im Vordergrund
Right Eye View , Ansicht des rechten Auges
Right Foreground , Rechter Vordergrund
