<b>Arrays & Tiles</b> , <b>Matrices y azulejos</b>
Pattern Variation 3 , Variación del patrón 3
Pattern Weight , Patrón de peso
Pattern Width , Ancho del patrón
PCA Transfer , Transferencia de PCA
Pea Soup , Sopa de guisantes
Pen Drawing , Dibujo a pluma
Penalize Patch Repetitions , Penalizar las repeticiones de parches
Pencil , Lápiz
Pencil Amplitude , Amplitud del lápiz
Pencil Portrait , Retrato a lápiz
Pencil Size , El tamaño del lápiz
Pencil Smoother Edge Protection , Protección de bordes más lisos del lápiz
Pencil Smoother Sharpness , La nitidez del lápiz es más suave
Pencil Smoother Smoothness , Lápiz Suavizante Suavidad
Pencil Type , Tipo de lápiz
Pencils , Lápices
Pentagon , Pentágono
Peppers , Pimientos
Percent of Image Half-Hypotenuse (%) , Porcentaje de imagen media hipotenusa (%)
Periodic , Periódico
Periodic Dots , Puntos periódicos
Periodicity , Periodicidad
Perserve Luminance , Perseverar en la luminancia
Perspective , Perspectiva
Perturbation , Perturbación
Petals , Pétalos
Phase , Fase
Phone , Teléfono
Photoillustration , Fotoilustración
Picasso: Seated Woman , Picasso: Mujer sentada
Picasso: The Reservoir - Horta De Ebro , Picasso: El Embalse - Horta De Ebro
Piece Complexity , Complejidad de la pieza
Piece Size (px) , Tamaño de la pieza (px)
Pin Light , Luz de alfiler
Pixel Values , Valores de los píxeles
Placement , Colocación
Plaid , Tartán
Plane , Avión
Plasma Effect , El efecto del plasma
Plot Type , Tipo de parcela
Point #0 , Punto #0
Point #1 , Punto 1
Point #2 , Punto #2
Point #3 , Punto 3
Point 1 , Punto 1
Point 2 , Punto 2
Points , Puntos
Polar Transform , Transformación polar
Polaroid 665 -- , Polaroid 665...
Polaroid 665 Negative , Polaroid 665 Negativo
Polaroid 665 Negative + , Polaroid 665 Negativo +
Polaroid 665 Negative - , Polaroid 665 Negativo -
Polaroid 665 Negative HC , Polaroid 665 Negativo HC
Polaroid 669 -- , Polaroid 669...
Polaroid 669 Cold -- , Polaroid 669 Cold...
Polaroid 690 -- , Polaroid 690...
Polaroid 690 Cold -- , Polaroid 690 Cold...
Polaroid PX-100UV+ Cold , Polaroid PX-100UV+ Frío
Polaroid PX-100UV+ Cold + , Polaroid PX-100UV+ Frío +
Polaroid PX-100UV+ Cold ++ , Polaroid PX-100UV+ Frío ++
Polaroid PX-100UV+ Cold +++ , Polaroid PX-100UV+ Frío +++
Polaroid PX-100UV+ Cold - , Polaroid PX-100UV+ Frío -
Polaroid PX-100UV+ Cold -- , Polaroid PX-100UV+ Frío...
Polaroid PX-100UV+ Warm ++ , Polaroid PX-100UV+ Caliente ++
Polaroid PX-680 -- , Polaroid PX-680...
Polaroid PX-680 Cold ++a , Polaroid PX-680 Frío ++a
Polaroid PX-680 Cold -- , Polaroid PX-680 Cold...
Polaroid PX-70 -- , Polaroid PX-70...
Polaroid Time Zero (Expired) , Polaroid Tiempo Cero (Expirado)
Polaroid Time Zero (Expired) + , Polaroid Time Zero (Expirado) +
Polaroid Time Zero (Expired) ++ , Polaroid Tiempo Cero (Expirado) ++
Polaroid Time Zero (Expired) - , Polaroid Time Zero (Expirado) -
Polaroid Time Zero (Expired) -- , Polaroid Tiempo Cero (Expirado) --
Polaroid Time Zero (Expired) --- , Polaroid Tiempo Cero (Expirado) ---
Polaroid Time Zero (Expired) Cold , Polaroid Tiempo Cero (Expirado) Frío
Polaroid Time Zero (Expired) Cold - , Polaroid Tiempo Cero (Expirado) Frío -
Polaroid Time Zero (Expired) Cold -- , Polaroid Time Zero (Expirado) Cold --
Polaroid Time Zero (Expired) Cold --- , Polaroid Tiempo Cero (Expirado) Frío ---
Pole Long , Polo Largo
Pole Rotation , Rotación de los polos
Polka Dots , Lunares
Pollock: Convergence , Pollock: Convergencia
Pollock: Summertime Number 9A , Pollock: Número de verano 9A
Polygonize [Delaunay] , Poligonizar [Delaunay]
Polygonize [Energy] , Poligonizar [Energía]
Pop Shadows , Sombras Pop
Portrait , Retrato
Portrait Retouching , Retoque de retratos
Portrait-1 , Retrato-1
Portrait-2 , Retrato-2
Portrait-3 , Retrato-3
Portrait-4 , Retrato-4
Portrait-5 , Retrato-5
Portrait-6 , Retrato-6
Portrait-7 , Retrato-7
Portrait-8 , Retrato-8
Portrait-9 , Retrato-9
Portrait0 , Retrato.
Portrait1 , Retrato1
Portrait10 , Retrato10
Portrait2 , Retrato2
Portrait3 , Retrato3
Portrait4 , Retrato4
Portrait5 , Retrato5
Portrait6 , Retrato6
Portrait7 , Retrato7
Portrait8 , Retrato8
Portrait9 , Retrato9
Position , Posición
Position X (%) , Posición X (%)
Position X Origin (%) , Posición X Origen (%)
Position Y (%) , Posición Y (%)
Position Y Origin (%) , Posición Y Origen (%)
Positive , Positivo
Post-Normalize , Post-Normalizar
Post-Process , Post-Proceso
Poster Edges , Bordes de carteles
Posterization Antialiasing , Posterización Antialiasing
Posterization Level , Nivel de posterización
Posterize , Póster
Posterized Dithering , Dithering postergado
Power , Poder
Pre-Defined , Pre-definido
Pre-Defined Colormap , Colormap predefinido
Pre-Normalize , Pre-Normalizar
Pre-Normalize Image , Pre-Normalizar la imagen
Pre-Process , Pre-proceso
Precision , Precisión
Precision (%) , Precisión (%)
Preliminary Surface Shift , Desplazamiento superficial preliminar
Preliminary X-Axis Scaling , Escalado preliminar del eje X
Preliminary Y-Axis Scaling , Escalado preliminar del eje Y
Preprocessor Power , Potencia del preprocesador
Preprocessor Radius , Radio del preprocesador
Preserve Canvas for Post Bump Mapping , Preservar el lienzo para el mapeo post bump
Preserve Edges , Preservar los bordes
Preserve Image Dimension , Preservar la dimensión de la imagen
Preserve Initial Brightness , Preservar el brillo inicial
Preserve Luminance , Preservar la luminancia
Preview , Vista previa
Preview All Outputs , Vista previa de todas las salidas
Preview Bands , Previsualización de bandas
Preview Brush , Previsualización de la brocha
Preview Data , Vista previa de los datos
Preview Detected Shapes , Vista previa de las formas detectadas
Preview Frame Selection , Selección del cuadro de vista previa
Preview Gradient , Vista previa del gradiente
Preview Grain Alone , Previsualización del grano solo
Preview Grid , Cuadrícula de vista previa
Preview Guides , Guías de Previsualización
Preview Mapping , Vista previa de la cartografía
Preview Mask , Máscara de vista previa
Preview Opacity (%) , Previsión de Opacidad (%)
Preview Original , Previsualización Original
Preview Precision , Previsión Precisión
Preview Progress (%) , Avance de la previsión (%)
Preview Progression While Running , Previsualizar la progresión mientras se ejecuta
Preview Ref Point , Vista previa Punto de referencia
Preview Reference Circle , Círculo de referencia de vista previa
Preview Selection , Selección de la vista previa
Preview Shape , Vista previa de la forma
Preview Shows , Previsualización de espectáculos
Preview Split , Previsualización de Split
Preview Subsampling , Previsión de submuestreo
Preview Time , Tiempo de Previsión
Preview Tones Map , Vista previa del mapa de tonos
Preview Type , Tipo de vista previa
Preview Without Alpha , Previsión sin Alfa
Primary Angle , Ángulo primario
Primary Color , Color primario
Primary Factor , Factor primario
Primary Gamma , Gamma primario
Primary Radius , Radio primario
Primary Shift , Cambio primario
Primary Twist , Giro primario
Print Adjustment Marks , Imprimir las marcas de ajuste
Print Films (12) , Películas impresas (12)
Print Frame Numbers , Imprimir los números del marco
Print Size Unit , Unidad de tamaño de impresión
Print Size Width , Tamaño de la impresión Ancho
Privacy Notice , Aviso de privacidad
Probability Map , Mapa de probabilidad
Procedural , Procedimiento
Process As , Procesar como
Process by Blocs of Size , Proceso por bloques de tamaño
Process Channels Individually , Canales de proceso individualmente
Process Top Layer Only , Procesar sólo la capa superior
Process Transparency , Transparencia del proceso
Processing Mode , Modo de procesamiento
Propagation , Propagación
Proportion , Proporción
Protanomaly , Protanomalía
Protect Highlights 01 , Proteger lo más destacado 01
Prussian Blue , Azul de Prusia
Pseudo-Gray Dithering , Pseudo-blanqueo gris
Purple , Púrpura
Purple11 (12) , Púrpura11 (12)
Puzzle , Rompecabezas
Pyramid , Pirámide
Pyramid Processing , Procesamiento de la pirámide
Pythagoras Tree , El árbol de Pitágoras
Quadrangle , Cuadrangular
Quadratic , Cuadrática
Quadtree Variations , Variaciones de los cuatro árboles
Quality , Calidad
Quality (%) , Calidad (%)
Quantization , Cuantificación
Quantize Colors , Cuantificar los colores
Quasi-Gaussian , Cuasi-Gaussiano
Quick , Rápido
Quick Copyright , Rápido Copyright
Quick Enlarge , Ampliación rápida
R/B Smoothness (Principal) , R/B Suavidad (Principal)
R/B Smoothness (Secondary) , R/B Suavidad (Secundaria)
Radius , Radio
Radius (%) , Radio (%)
Radius / Angle , Radio / ángulo
Radius [Manual] , Radio [Manual]
Radius Cut , Corte de radio
Radius Middle Circle , Radio Círculo Medio
Radius Outer Circle A (>0 W%) (<0 H%) , Círculo exterior del radio A (>0 W%) (<0 H%)
Rain & Snow , Lluvia y Nieve
Raindrops , Gotas de lluvia
Random , Al azar
Random [non-Transparent] , Aleatorio [no transparente]
Random Angle , Ángulo aleatorio
Random Color Ellipses , Elipses de color al azar
Random Colors , Colores aleatorios
Random Shade Stripes , Rayas de sombra aleatorias
Randomize , Aleatorizar
Randomized , Aleatorio
Randomness , Aleatoriedad
Range , Rango
Rays , Rayos
Rays Colors AB , Rayos Colores AB
Rays Colors ABC , Los rayos colorean el ABC
Rays Colors ABCD , Los rayos colorean el ABCD
Rays Colors ABCDE , Los rayos colorean ABCDE
Rays Colors ABCDEF , Rayos Colores ABCDEF
Rays Colors ABCDEFG , Rayos Colores ABCDEFG
Rebuild From Similar Blocs , Reconstruir desde bloques similares
Recompose , Recomponer
Reconstruct From Previous Frames , Reconstruir a partir de marcos anteriores
Recover , Recuperar
Recover Highlights , Recuperar lo más destacado
Recover Shadows , Recuperar las sombras
Recovery , Recuperación
Rectangle , Rectángulo
Recursion Depth , Profundidad de recursividad
Recursions , Recursiones
Recursive Median , Mediana recursiva
Red , Rojo
Red - Green - Blue , Rojo - Verde - Azul
Red - Green - Blue - Alpha , Rojo - Verde - Azul - Alfa
Red Afternoon 01 , Tarde Roja 01
Red Blue Yellow , Rojo Azul Amarillo
Red Chroma Factor , Factor de croma rojo
Red Chroma Shift , Cambio de Croma Rojo
Red Chroma Smoothness , Suavidad del croma rojo
Red Chrominance , Crominancia Roja
Red Day 01 , Día rojo 01
Red Dream 01 , Sueño Rojo 01
Red Factor , Factor rojo
Red Level , Nivel Rojo
Red Rotations , Rotaciones en rojo
Red Shift , Turno rojo
Red Smoothness , Suavidad roja
Red Wavelength , Longitud de Onda Roja
Red-Eye Attenuation , Atenuación de Ojos Rojos
Red-Green , Rojo-Verde
Reds , Rojos
Reds Oranges Yellows , Rojos Naranjas Amarillos
Reduce Halos , Reducir los halos
Reduce Noise , Reducir el ruido
Reduce RAM , Reducir la RAM
Reduce Redness , Reducir el enrojecimiento
Reference , Referencia
Reference Angle (deg.) , Ángulo de referencia (deg.)
Reference Color , Color de referencia
Reference Colors , Colores de referencia
Reflect , Refleja
Reflection , Reflexión
Refraction , Refracción
Regular Grid , Rejilla regular
Regularity , Regularidad
Regularity (%) , Regularidad (%)
Regularization , Regularización
Regularization (%) , Regularización (%)
Regularization Factor , Factor de regularización
Regularization Iterations , Iteraciones de regularización
Reject , Rechazar
Rejected Colors , Colores rechazados
Rejected Mask , Máscara rechazada
Relative Block Count , Recuento relativo de bloqueos
Relative Size , Tamaño relativo
Relative Warping , Deformación relativa
Release Notes , Notas de lanzamiento
Relief , Socorro
Relief Amplitude , Amplitud del alivio
Relief Contrast , Contraste del alivio
Relief Light , La luz de alivio
Relief Size , Tamaño del relieve
Relief Smoothness , Alivio Suavidad
Remove Artifacts From Micro/Macro Detail , Eliminar los artefactos de los detalles del micro/macro
Remove Hot Pixels , Eliminar los píxeles calientes
Remove Tile , Quitar las baldosas
Render Multiple Frames , Renderizar múltiples cuadros
Render on Dark Areas , Renderización de las áreas oscuras
Render on White Areas , Renderización de las áreas blancas
Render Routine for Wiggle Animations , Rutina de Renderización para las animaciones de Wiggle
Rendering , Renderización
Rendering Mode , Modo de representación
Repair Scanned Document , Reparar el documento escaneado
Repeat , Repita
Repeat [Memory Consuming!] , Repite [¡consumo de memoria!]
Repeats , Repite
Replace , Reemplazar
Replace (Sharpest) , Reemplazar (más agudo)
Replace Layer with CLUT , Reemplazar la capa con CLUT
Replace Source by Target , Reemplazar la fuente por el objetivo
Replace With White , Reemplazar con blanco
Replaced Color , Color reemplazado
Replacement Color , Color de reemplazo
Reptile , Reptil
Rescaling , Rescatar
Reset View , Restablecer la vista
Resize Image for Optimum Effect , Cambiar el tamaño de la imagen para un efecto óptimo
Resolution , Resolución
Resolution (%) , Resolución (%)
Resolution (px) , Resolución (px)
Rest 33 , El resto 33...
Result Image , Imagen del resultado
Result Type , Tipo de resultado
Resynthetize Texture [FFT] , Resintetizar la textura [FFT]
Resynthetize Texture [Patch-Based] , Resintetizar la textura [a base de parches]
Retouch Layer , Capa de Retoque
Retouched and Sharpened Areas , Áreas retocadas y afiladas
Retouched Areas Only , Sólo las áreas retocadas
Retouched Image , Imagen retocada
Retouched Image Basic , Retocado de la imagen básica
Retouched Image Final , Imagen Retocada Final
Retouching Style , Estilo de retoque
Retro Summer 3 , Retro Verano 3
Retro Yellow 01 , Retro Amarillo 01
Return Scaling , Volver a la escala
Reverse Bits , Bits invertidos
Reverse Bytes , Invertir los bytes
Reverse Effect , Efecto inverso
Reverse Endianness , Endianidad inversa
Reverse Flip , Vuelta inversa
Reverse Frame Stack , Revertir la pila de cuadros
Reverse Gradient , Gradiente inverso
Reverse Mod , Modalidad de reversa
Reverse Motion , Movimiento de reversa
Reverse Order , Orden inverso
Reverse Pow , Polvo invertido
Reversing , Invirtiendo
Revert Layer Order , Revertir el orden de la capa
Revert Layers , Revertir las capas
RGB [All] , RGB [Todos]
RGB [Blue] , RGB [Azul]
RGB [Green] , RGB [Verde]
RGB [red] , RGB [rojo]
RGB Image + Binary Mask (2 Layers) , Imagen RGB + Máscara Binaria (2 Capas)
RGB Quantization , Cuantificación RGB
RGB Tone , Tono RGB
RGBA [All] , RGBA [Todos]
RGBA [Alpha] , RGBA [Alfa]
RGBA Foreground + Background (2 Layers) , RGBA primer plano + fondo (2 capas)
RGBA Image (Full-Transparency / 1 Layer) , Imagen RGBA (Transparencia total / 1 capa)
RGBA Image (Updatable / 1 Layer) , Imagen RGBA (Actualizable / 1 Capa)
Rice , Arroz
Right , Derecho
Right Diagonal  Foreground , Primer plano diagonal derecho
Right Diagonal Foreground , Primer plano diagonal derecho
Right Eye View , Vista del ojo derecho
Right Foreground , Primer plano derecho
Right Position , Posición correcta
Right Side Orientation , Orientación del lado derecho
Right Slope , Pendiente derecha
Right Stream Only , Sólo la corriente derecha
Rigid , Rígido
Roddy (by Mahvin) , Roddy (por Mahvin)
Rodilius [Animated] , Rodilius [Animado]
Rollei Retro 80s , Rollei Retro 80
Rooster , Gallo
Rotate , Gire
Rotate (muted) , Rotar (mudo)
Rotate (vibrant) , Rotar (vibrante)
Rotate 180 Deg. , Gire 180 grados.
Rotate 270 Deg. , Gire 270 grados.
Rotate 90 Deg. , Gire 90 grados.
Rotate Hue Bands , Rotar las bandas de tonalidad
Rotate Tree , Rotar el árbol
Rotated , Girado
Rotated (crush) , Rotación (aplastamiento)
Rotations , Rotaciones
Round , Ronda
Roundness , Redondez
Row by Row , Fila por fila
RYB [All] , RYB [Todos]
RYB [Blue] , RYB [Azul]
RYB [Red] , RYB [Rojo]
RYB [Yellow] , RYB [Amarillo]
S-Curve Contrast , Contraste de la curva S
Salt and Pepper , Sal y pimienta
Same as Input , Igual que la entrada
Same Axis , El mismo eje
Sample Image , Imagen de muestra
Sampling , Muestreo
Sat Bottom , Satélite de fondo
Sat Range , Rango de Saturación
Satin , Satén
Saturated Blue , Azul saturado
Saturation , Saturación
Saturation (%) , Saturación (%)
Saturation Channel Gamma , Canal de Saturación Gamma
Saturation Correction , Corrección de la saturación
Saturation EQ , Saturación EQ
Saturation Factor , Factor de saturación
Saturation Offset , Compensación de saturación
Saturation Shift , Cambio de saturación
Saturation Smoothness , Saturación Suavidad
Save CLUT as .Cube or .Png File , Guarda CLUT como un archivo .Cube o .Png
Save Gradient As , Guardar el gradiente como
Saving Private Damon , Salvar al soldado Damon
Scale , Escala
Scale (%) , Escala (%)
Scale 1 , Escala 1
Scale 2 , Escala 2
Scale CMYK , Escala CMYK
Scale Factor , Factor de escala
Scale Output , Salida de la escala
Scale Plasma , Plasma a escala
Scale RGB , Escala RGB
Scale Style to Fit Target Resolution , Estilo de escala para ajustarse a la resolución del objetivo
Scale Variations , Variaciones de escala
Scaled , Escala
Scales , Escalas
Scaling Factor , Factor de escala
Scene Selector , Selector de Escena
Science Fiction , Ciencia Ficción
Screen , Pantalla
Screen Border , Pantalla Borde
Seamless Deco , Deco sin fisuras
Seamless Turbulence , Turbulencia sin fisuras
Second Color , Segundo color
Second Offset , Segunda compensación
Second Radius , Segundo radio
Second Size , Segundo tamaño
Secondary Color , Color secundario
Secondary Factor , Factor secundario
Secondary Gamma , Gamma secundario
Secondary Radius , Radio secundario
Secondary Shift , Turno secundario
Secondary Twist , Giro secundario
Sectors , Sectores
Seed , Semilla
Segment Max Length (px) , Longitud máxima del segmento (px)
Segmentation , Segmentación
Segmentation Edge Threshold , Segmentación Umbral de borde
Segmentation Smoothness , Suavidad de la segmentación
Segments , Segmentos
Segments Strength , Segmentos Fuerza
Select By , Seleccione por
Select-Replace Color , Selecciona y reemplaza el color
Selected Color , Color seleccionado
Selected Colors , Colores seleccionados
Selected Frame , Marco seleccionado
Selected Mask , Máscara seleccionada
Selection , Selección
Selective Desaturation , Desaturación selectiva
Selective Gaussian , Gaussiano selectivo
Self , Auto
Self Glitching , Auto-registrarse.
Self Image , Imagen propia
Sensitivity , Sensibilidad
Sequence X4 , Secuencia X4
Sequence X6 , Secuencia X6
Sequence X8 , Secuencia X8
Serenity , Serenidad
Serial Number , Número de serie
Serpent , Serpiente
Set Aspect Only , Sólo el aspecto del conjunto
Set Frame Format , Formato del marco del set
Seven Layers , Siete capas
Seventies Magazine , Revista Seventies
Shade , Sombra
Shade Angle , Ángulo de sombra
Shade Back to First Color , Sombra Volver al primer color
Shade Bobs , Bobs de sombra
Shade Strength , Fuerza de la sombra
Shading , Sombreado
Shading (%) , Sombreado (%)
Shadow , Sombra
Shadow Contrast , Contraste de sombras
Shadow Intensity , Intensidad de la sombra
Shadow King 39 , Rey de las Sombras 39
Shadow Offset X , Desplazamiento de la sombra X
Shadow Offset Y , Desplazamiento de la sombra Y
Shadow Patch , Parche de sombra
Shadow Size , El tamaño de la sombra
Shadow Smoothness , Suavidad de la sombra
Shadows , Sombras
Shadows Abstraction , Abstracción de las sombras
Shadows Brightness , Sombras Brillo
Shadows Color Intensity , Intensidad de color de las sombras
Shadows Hue Shift , Sombras Cambio de Tono
Shadows Lightness , Sombras Luz
Shadows Selection , Selección de sombras
Shadows Threshold , Sombras Umbral
Shadows Zone , Zona de Sombras
Shape , Forma
Shape Area Max , Forma Área Máxima
Shape Area Max0 , Área de la forma Max0
Shape Area Min , Forma Área Min.
Shape Area Min0 , Área de la forma Min0
Shape Average , Forma Promedio
Shape Average0 , Promedio de forma0
Shape Max0 , Forma Max0
Shape Median , Forma Mediana
Shape Median0 , Mediana de la forma.
Shape Min0 , Forma Min0
Shapes , Formas
Sharpen , Afila
Sharpen [Deblur] , Afila [Deblur]
Sharpen [Gold-Meinel] , Afila [Gold-Meinel]
Sharpen [Gradient] , Afila [Gradiente]
Sharpen [Hessian] , Afila [Hessian]
Sharpen [Inverse Diffusion] , Agudizar [Difusión inversa]
Sharpen [Multiscale] , Agudizar [Multi-escala]
Sharpen [Octave Sharpening] , Afila [Afilado de octava]
Sharpen [Richardson-Lucy] , Afila [Richardson-Lucy]
Sharpen [Shock Filters] , Afila [Filtros de choque]
Sharpen [Texture] , Afila [Textura]
Sharpen [Tones] , Afila [Tonos]
Sharpen [Unsharp Mask] , Afila [Máscara de desenfoque]
Sharpen [Whiten] , Afila [Blanquear]
Sharpen Details in Preview , Agudizar los detalles en la vista previa
Sharpen Edges Only , Sólo los bordes afilados
Sharpen Object , Objeto afilado
Sharpen Radius , Radio de agudeza
Sharpen Shades , Agudizar las sombras
Sharpened Areas Only , Sólo las áreas afiladas
Sharpening , Afilado
Sharpening Layer , Capa de afilado
Sharpening Radius , Radio de afilado
Sharpening Strength , Fuerza de afilado
Sharpening Type , Tipo de afilado
Sharpest , El más agudo
Sharpness , Nitidez
Shift Linear Interpolation? , ¿Interpolación Lineal de Cambio?
Shift Point , Punto de cambio
Shift X , Cambio X
Shift Y , Cambio Y...
Shivers , Escalofríos
Shock Waves , Ondas de choque
Shopping Cart , Carro de la compra
Show Both Poles , Mostrar ambos polos
Show Difference , Mostrar la diferencia
Show Frame , Marco del espectáculo...
Show Grid , Mostrar la cuadrícula
Show Watershed , Mostrar Cuenca
Shrink , Retracción
Shuffle Pieces , Barajar las piezas
Side by Side , Lado a lado
Sierpinksi Design , Diseño Sierpinksi
Sierpinski Triangle , Triángulo de Sierpinski
Silver , Plata
Similarity Space , Espacio de similitud
Simple Local Contrast , Contraste local simple
Simple Noise Canvas , Lienzo de Ruido Simple
Simulate Film , Simular la película
Sine+ , Seno+
Single (Merged) , Único (Fusionado)
Single Custom Depth Map , Mapa de profundidad único y personalizado
Single Image Stereogram , Estereograma de imagen única
Single Layer , Una sola capa
Single Opaque Shapes Over Transp. BG , Formas simples y opacas sobre el transporte. BG
Six Layers , Seis capas
Sixteen Threads , Dieciséis hilos
Size , Tamaño
Size (%) , Tamaño (%)
Size for Bright Tones , Tamaño para los tonos brillantes
Size for Dark Tones , Tamaño para los tonos oscuros
Size of Frame Numbers (%) , Tamaño de los números de cuadro (%)
Size Variance , Variación de tamaño
Size-1 , Talla-1
Size-2 , Tamaño 2
Size-3 , Talla 3
Skeleton , Esqueleto
Sketch , Boceto
Skin Estimation , Estimación de la piel
Skin Mask , Máscara de la piel
Skin Tone Colors , Colores del tono de la piel
Skin Tone Mask , Máscara del tono de la piel
Skin Tone Protection , Protección del tono de la piel
Skip All Other Steps , Saltar todos los demás pasos
Skip Finest Scales , Saltar las escalas más finas
Skip Others Steps , Saltar otros pasos
Skip This Step , Sáltese este paso
Skip to Use the Mask to Boost , Saltar a usar la máscara para impulsar
Slice Luminosity , Luminosidad de la rebanada
Slide [Color] (26) , Diapositiva [Color] (26)
Slow &#40;Accurate&#41; , Lento... 40... Preciso... 41..;
Slow Recovery , Recuperación lenta
Small , Pequeño
Small (Faster) , Pequeño (más rápido)
Smart , Inteligente
Smart Contrast , Contraste inteligente
Smart Threshold , Umbral inteligente
Smooth , Suave
Smooth [Anisotropic] , Suave [Anisótropo]
Smooth [Antialias] , Suave [Antialias]
Smooth [Bilateral] , Suave [Bilateral]
Smooth [Block PCA] , Suave [Bloquear PCA]
Smooth [Diffusion] , Suave [Difusión]
Smooth [Geometric-Median] , Suave [Geométrico-Mediano]
Smooth [Guided] , Suave [Guiado]
Smooth [IUWT] , Suave [IUWT]
Smooth [Mean-Curvature] , Suave [Curvatura media]
Smooth [Median] , Suave [Mediana]
Smooth [NL-Means] , Suave [NL-Means]
Smooth [Patch-Based] , Suave [Patch-Based]
Smooth [Patch-PCA] , Suave [Patch-PCA]
Smooth [Perona-Malik] , Suave [Perona-Malik]
Smooth [Selective Gaussian] , Suave [Gausiano selectivo]
Smooth [Skin] , Suave [Piel]
Smooth [Thin Brush] , Suave [cepillo fino]
Smooth [Total Variation] , Suave [Variación total]
Smooth [Wavelets] , Suave [Ondas]
Smooth [Wiener] , Suave [Salchicha]
Smooth Abstract , Resumen de Smooth
Smooth Amount , Suave Cantidad
Smooth Clear , Suave claro
Smooth Colors , Colores suaves
Smooth Crome-Ish , Suave Crome-Ish
Smooth Dark , Suave oscuro
Smooth Green Orange , Suave Verde Naranja
Smooth Light , Luz suave
Smooth Looping , Suave giro
Smooth Only , Sólo liso
Smooth Sailing , Navegación suave
Smooth Teal Orange , Naranja de cerceta lisa
Smoothen Background Reconstruction , Suavizar la reconstrucción del fondo
Smoother Edge Protection , Protección de bordes más suave
Smoother Sharpness , Más suave y nítido
Smoother Softness , Suavidad más suave
Smoothing , Suavizar
Smoothing Style , Estilo de alisado
Smoothing Type , El tipo de alisado
Smoothness , Suavidad
Smoothness (%) , Suavidad (%)
Smoothness (px) , Suavidad (px)
Smoothness Shadow , Sombra de suavidad
Smoothness Type , Tipo de suavidad
Snowflake , Copo de nieve
Snowflake 2 , Copo de nieve 2
Snowflake Recursion , Recursión del copo de nieve
Soft , Suave
Soft  Light , Luz suave
Soft Burn , Quemadura suave
Soft Fade , Desvanecimiento suave
Soft Glow , Brillo suave
Soft Glow [Animated] , Brillo Suave [Animado]
Soft Light , Luz suave
Soft Random Shades , Suaves tonos aleatorios
Soft Warming , Calentamiento suave
Soften , Suavizar
Soften All Channels , Suavizar todos los canales
Soften Guide , Guía de la suavidad
Solarize , Solarice
Solarize Color , Solarizar el color
Solarized Color2 , Color Solarizado2
Solidify , Solidificar
Solve Maze , Resuelve el laberinto
Some , Algunos
Some Blue , Algo de azul
Some Cyan , Algo de Cian
Some Green , Algo de verde
Some Key , Alguna llave
Some Magenta , Algo de Magenta
Some Red , Un poco de rojo
Some Yellow , Un poco de amarillo
Sort Colors , Ordenar los colores
Sorting Criterion , Criterio de clasificación
Source (%) , Fuente (%)
Source Color #1 , Color de la fuente #1
Source Color #10 , Color de la fuente #10
Source Color #11 , Color de la fuente #11
Source Color #12 , Color de la fuente #12
Source Color #13 , Color de la fuente #13
Source Color #14 , Color de la fuente #14
Source Color #15 , Color de la fuente #15
Source Color #16 , Color de la fuente #16
Source Color #17 , Color de la fuente #17
Source Color #18 , Color de la fuente #18
Source Color #19 , Color de la fuente #19
Source Color #2 , Color de la fuente #2
Source Color #20 , Color de la fuente #20
Source Color #21 , Color de la fuente #21
Source Color #22 , Color de la fuente #22
Source Color #23 , Color de la fuente #23
Source Color #24 , Color de la fuente #24
Source Color #3 , Color de la fuente #3
Source Color #4 , Color de la fuente #4
Source Color #5 , Color de la fuente #5
Source Color #6 , Color de la fuente #6
Source Color #7 , Color de la fuente #7
Source Color #8 , Color de la fuente #8
Source Color #9 , Color de la fuente #9
Source X-Tiles , Fuente X-Tiles
Source Y-Tiles , Fuente Y-Tiles
Space , Espacio
Spacing , Espaciamiento
Spatial Bandwidth , Ancho de banda espacial
Spatial Metric , Métrica espacial
Spatial Overlap , Superposición espacial
Spatial Precision , Precisión espacial
Spatial Radius , Radio espacial
Spatial Regularization , Regularización espacial
Spatial Sampling , Muestreo espacial
Spatial Scale , Escala espacial
Spatial Tolerance , Tolerancia espacial
Spatial Transition , Transición espacial
Spatial Variance , Variación espacial
Special Effects , Efectos especiales
Specific Saturation , Saturación específica
Specify Different Output Size , Especificar un tamaño de salida diferente
Specify HaldCLUT As , Especifique HaldCLUT como
Specular , Especular
Specular (%) , Especular (%)
Specular Centering , Centrado especular
Specular Intensity , Intensidad especular
Specular Light , La Luz Especular
Specular Lightness , Ligereza especular
Specular Shininess , Brillo Especular
Specular Size , El tamaño molecular...
Speed , Velocidad
Sphere , Esfera
Spiral , Espiral
Spiral RGB , Espiral RGB
Spline Editor , Editor de Spline
Spline Max Angle (deg) , Ángulo máximo del spline (deg)
Spline Max Length (px) , Longitud máxima del spline (px)
Spline Roundness , Redondez de la estría
Splines , Estrías
Split Base and Detail Output , Base dividida y salida de detalles
Split Brightness / Colors , Brillo y colores divididos
Split Details [Alpha] , Detalles de la división [Alfa]
Split Details [Gaussian] , Detalles de la división [gaussiana]
Split Details [Wavelets] , Detalles de la división [Ondas]
Sponge , Esponja
Spread , Difundir
Spread Amount , Cantidad esparcida
Spread Angles , Ángulos de propagación
Spread Noise Amount , Ruido de propagación Cantidad
Spreading , Difusión
