<b>Arrays & Tiles</b> , <b>Массивы и плитки</b>
Rays Colors ABCD , Лучи Цвета ABCD
Rays Colors ABCDE , Лучи Цвета ABCDE
Rays Colors ABCDEF , Лучи Цвета ABCDEF
Rays Colors ABCDEFG , Лучи Цвета ABCDEFG
Rebuild From Similar Blocs , Восстановление из подобных блоков
Recompose , Переписать .
Reconstruct From Previous Frames , Восстановить из предыдущих кадров
Recover , Восстановить
Recover Highlights , Восстановить основные моменты
Recover Shadows , Восстановить Тени
Recovery , Восстановление
Rectangle , Прямоугольник
Recursion Depth , Глубина рекурсии
Recursions , Рескурсии
Recursive Median , Рекурсивная Медиана
Red , Красный
Red - Green - Blue , Красный - Зеленый - Синий
Red - Green - Blue - Alpha , Красный - Зеленый - Синий - Альфа
Red Afternoon 01 , Красный День 01
Red Blue Yellow , Красный синий желтый
Red Chroma Smoothness , Гладкость красной хромы
Red Chrominance , Красное Хромонирование
Red Day 01 , Красный день 01
Red Dream 01 , Красная мечта 01
Red Factor , Красный фактор
Red Level , Красный уровень
Red Rotations , Красные Вращения
Red Shift , Красное смещение
Red Smoothness , Красная гладкость
Red Wavelength , Длина волны красного цвета
Red-Eye Attenuation , затухание красного глаза
Red-Green , Красно-зеленый
Reds , Красные
Reds Oranges Yellows , Красные апельсины Жёлтые
Reduce Halos , Сократить ореолы
Reduce Noise , Уменьшить шум
Reduce RAM , Уменьшить оперативную память
Reduce Redness , Уменьшить красноту
Reeve 38 , Рив 38
Reference , Ссылка на
Reference Angle (deg.) , Справочный угол (град.)
Reference Color , Референтный цвет
Reference Colors , Референтные цвета
Reflect , Отражение
Reflection , Размышление
Refraction , Преломление
Regular Grid , Регулярная сеть
Regularity , Регулярность
Regularity (%) , Регулярность (%)
Regularization , Регуляризация
Regularization (%) , Регуляризация (%)
Regularization Factor , Коэффициент регуляризации
Regularization Iterations , Итерации регуляризации
Reject , Отклонить
Rejected Colors , Отклонённые цвета
Rejected Mask , Отклонённая маска
Relative Block Count , Количество относительных блоков
Relative Size , Относительный размер
Relative Warping , относительное искажение
Release Notes , Информация о выпуске
Relief , Рельеф
Relief Amplitude , Амплитуда рельефа
Relief Contrast , Контраст рельефа
Relief Light , Рельефный свет
Relief Size , Размер рельефа
Relief Smoothness , Гладкость рельефа
Remix , Ремикс
Remove Artifacts From Micro/Macro Detail , Удалить артефакты из Micro/Macro детали
Remove Hot Pixels , Удалить горячие пиксели
Remove Tile , Удалить плитку
Remy 24 , Реми 24
Render Multiple Frames , Рендер несколько кадров
Render on Dark Areas , Рендер на темных территориях
Render on White Areas , Рендер на белых территориях
Render Routine for Wiggle Animations , Рендер Рутина для анимации вихревых движений
Rendering , Оказание услуг
Rendering Mode , Режим реендеринга
Repair Scanned Document , Восстановить отсканированный документ
Repeat , Повторить
Repeat [Memory Consuming!] , Повторяю [Потребление памяти!]
Repeats , Повторяется
Replace , Заменить
Replace (Sharpest) , Заменить (Sharpest)
Replace Layer with CLUT , Заменить слой на CLUT
Replace Source by Target , Заменить источник на цель
Replace With White , Заменить на белый
Replaced Color , Замененный цвет
Replacement Color , Сменный цвет
Reptile , Рептилия
Rescaling , Рескалинг
Reset View , Сброс просмотра
Resize Image for Optimum Effect , Изменение размера изображения для оптимального эффекта
Resolution , Резолюция
Resolution (%) , Резолюция (%)
Resolution (px) , Резолюция (px)
Rest 33 , Отдых 33
Result Image , Результат Изображение
Result Type , Тип результата
Resynthetize Texture [FFT] , Ресинтезируйте текстуру [FFT].
Resynthetize Texture [Patch-Based] , Пересинтезируйте текстуру [на основе патча].
Retinex , Ретинекс
Retouch Layer , Слой ретуширования
Retouched and Sharpened Areas , Обработанные и заточенные участки
Retouched Areas Only , Только ретушированные зоны
Retouched Image , Ретушированное изображение
Retouched Image Basic , Ретушированное изображение Основное
Retouched Image Final , Ретушированное изображение Окончательное
Retouching Style , ретуширующий стиль
Retro , Ретро
Retro Brown 01 , Ретро-Браун 01
Retro Fade , Ретро Фейд
Retro Magenta 01 , Ретро пурпурный 01
Retro Summer 3 , Ретро Лето 3
Retro Yellow 01 , Ретро-желтый 01
Return Scaling , Масштабирование возврата
Reverse Bits , Обратные биты
Reverse Bytes , Обратные байты
Reverse Effect , Обратный эффект
Reverse Endianness , Обратная Эндианность
Reverse Flip , Обратный ход
Reverse Frame Stack , Стек обратных кадров
Reverse Gradient , обратный градиент
Reverse Mod , Обратный режим
Reverse Motion , Обратное движение
Reverse Order , Обратный порядок
Reverse Pow , Обратный ход
Revert Layer Order , Ордер на обратный отсек
Revert Layers , Реверсивные слои
RGB [All] , RGB [Все]
RGB [Blue] , RGB [Синий]
RGB [Green] , RGB [Зеленый]
RGB [red] , RGB [красный]
RGB Image + Binary Mask (2 Layers) , RGB изображение + двоичная маска (2 слоя)
RGB Quantization , Количественное определение RGB
RGB Tone , RGB-Тон
RGB[A] , RGB[А]
RGBA [All] , RGBA [Все]
RGBA [Alpha] , РГБА [Альфа]
RGBA Foreground + Background (2 Layers) , RGBA передний план + фон (2 слоя)
RGBA Image (Full-Transparency / 1 Layer) , RGBA-изображение (Полная прозрачность / 1 слой)
RGBA Image (Updatable / 1 Layer) , RGBA-изображение (обновляемое / 1 слой)
Rice , Рис
Right , Справа
Right Diagonal  Foreground , Правый диагональный передний план
Right Diagonal Foreground , Правый диагональный передний план
Right Eye View , Правый глаз
Right Foreground , Правый передний план
Right Position , Правая позиция
Right Side Orientation , Правая боковая ориентация
Right Slope , Правый Склон
Right Stream Only , Только правый поток
Rigid , Жесткий
Robert Cross 1 , Роберт Кросс 1
Robert Cross 2 , Роберт Кросс 2
Roddy , Родди
Roddy (by Mahvin) , Родди (по Махвину)
Rodilius , Родилиус
Rodilius [Animated] , Родилий [Анимированный]
Rollei IR 400 , Роллей ИК 400
Rollei Ortho 25 , Роллей Орто 25
Rollei Retro 100 Tonal , Роллей Ретро 100 Тональ
Rollei Retro 80s , Роллей Ретро 80х
Rooster , Рустер
Rorschach , Роршах
Rose , Роза
Rotate , Повернуть
Rotate (muted) , Поворот (приглушённый)
Rotate (vibrant) , Поворот (вибрирующий)
Rotate 180 Deg. , Поворот на 180 градусов.
Rotate 270 Deg. , Поворот на 270 градусов.
Rotate 90 Deg. , Поворот на 90 градусов.
Rotate Hue Bands , Поворотные полосы оттенка
Rotate Tree , Поворотное дерево
Rotated , Поворотный
Rotated (crush) , Вращающийся (раздавленный)
Rotations , Вращения
Rotinv-X , Ротинв-Х
Round , Раунд
Roundness , Круглосуточность
Row by Row , Гребите за гребцом
Rubik , Рубик
RYB [All] , RYB [Все]
RYB [Blue] , RYB [Синий]
RYB [Red] , RYB [Красный]
RYB [Yellow] , RYB [Жёлтый]
S-Curve Contrast , S-образный контраст
Salt and Pepper , Соль и перец
Same as Input , То же, что и входной
Same Axis , Та же ось
Sample Image , Образец изображения
Sampling , Выборка
Sat Bottom , Сбботботботтома
Sat Range , Сат-Рейндж
Sat Top , Сат-Топ
Satin , Атлас
Saturated Blue , Насыщенная синяя
Saturation , Насыщенность
Saturation (%) , Насыщенность (%)
Saturation Channel Gamma , Гамма канала насыщения
Saturation Correction , Коррекция насыщения
Saturation EQ , ЗМТ насыщения
Saturation Factor , Коэффициент насыщения
Saturation Offset , Смещение по насыщению
Saturation Shift , Сдвиг насыщения
Saturation Smoothness , Гладкость насыщения
Save CLUT as .Cube or .Png File , Сохранить CLUT как .Cube или .Png файл
Save Gradient As , Сохранить градиент как
Saving Private Damon , Спасение рядового Деймона
Scalar , Скалар
Scale , Шкала
Scale (%) , Шкала (%)
Scale 1 , Шкала 1
Scale 2 , Шкала 2
Scale CMYK , Масштаб CMYK
Scale Factor , Масштабный коэффициент
Scale Output , Масштабный выход
Scale Plasma , Масштабная плазма
Scale RGB , Масштаб RGB
Scale Style to Fit Target Resolution , Стиль масштабирования в соответствии с целевым разрешением
Scale Variations , Масштабные вариации
Scaled , Масштаб
Scales , Весы
Scaling Factor , Коэффициент масштабирования
Scanlines , Сканирует
Scene Selector , Выбор сцены
Science Fiction , научная фантастика
Screen , Экран
Screen Border , Граница экрана
Seamless Deco , Бесшовная деко
Seamless Turbulence , Бесшовная турбулентность
Secant , Секант
Second Color , Второй цвет
Second Offset , Второе смещение
Second Radius , Второй Радиус
Second Size , Второй размер
Secondary Color , Вторичный цвет
Secondary Factor , Вторичный фактор
Secondary Gamma , Вторичная гамма
Secondary Radius , Вторичный радиус
Secondary Shift , Вторичная смена
Secondary Twist , Вторичная закрутка
Sectors , Сектора
Segment Max Length (px) , Сегмент Макс Длина (px)
Segmentation , Сегментация
Segmentation Edge Threshold , Порог сегментации
Segmentation Smoothness , Гладкость сегментации
Segments , Сегменты
Segments Strength , Прочность сегментов
Select By , Выберите по
Selected Color , Выбранный цвет
Selected Colors , Избранные цвета
Selected Frame , Выбранная рамка
Selected Mask , Избранная маска
Selection , Выбор
Selective Desaturation , Селективное насыщение
Selective Gaussian , селективный гаусс
Self , Сама
Self Glitching , Самовозгорание
Self Image , Само изображение
Sensitivity , Чувствительность
Sepia , Сепия
Sequence X4 , Последовательность X4
Sequence X6 , Последовательность X6
Sequence X8 , Последовательность X8
Serenity , Серенити
Serial Number , Серийный номер
Seringe 4 , Серинга 4
Serpent , Змей
Set Aspect Only , Установить только аспект
Set Frame Format , Установить Формат кадра
Seven Layers , Семь слоев
Seventies Magazine , журнал 70-х годов
Shade , Тень
Shade Angle , Угол тени
Shade Back to First Color , Вернуться к первому цвету
Shade Bobs , Бобы теней
Shade Strength , Прочность теней
Shadebobs , Шейдеры
Shading , Шейдинг
Shading (%) , Затенение (%)
Shadow , Тень
Shadow Contrast , Контраст теней
Shadow Intensity , Интенсивность теней
Shadow King 39 , Король Теней 39
Shadow Offset X , Смещение теней X
Shadow Offset Y , Смещение тени Y
Shadow Size , Размер Тени
Shadow Smoothness , Гладкость Теней
Shadows , Тени
Shadows Abstraction , Абстракция теней
Shadows Brightness , Тени Яркость
Shadows Color Intensity , Тени Интенсивность цвета
Shadows Lightness , Тени Легкость
Shadows Selection , Выбор теней
Shadows Threshold , Порог Теней
Shadows Zone , Зона теней
Shamoon Abbasi (25) , Шамун Аббаси (25)
Shape , Форма
Shape Area Max , Максимальная площадь формы
Shape Area Max0 , Область формирования Max0
Shape Area Min , Форма Площадь Мин
Shape Area Min0 , Область формирования Min0
Shape Average , Форма Среднее
Shape Average0 , Форма Среднее0
Shape Max , Форма Макс
Shape Max0 , Форма Макс 0
Shape Median , Форма Медиана
Shape Median0 , Форма Медианы0
Shape Min , Форма Мин
Shape Min0 , Форма Мин0
Shapeism , Шейпизм
Shapes , Формы
Sharp Abstract , Резкий аннотационный доклад
Sharpen [Gradient] , Sharpen [Градиент]
Sharpen [Hessian] , Шарпен [Гессен]
Sharpen [Inverse Diffusion] , Sharpen [Обратная диффузия]
Sharpen [Octave Sharpening] , Sharpen [Октава Sharpening]
Sharpen [Richardson-Lucy] , Sharpen [Ричардсон-Люси]
Sharpen Details in Preview , Подробности в предварительном просмотре
Sharpen Edges Only , Только острые края
Sharpen Object , Острый предмет
Sharpen Radius , острый радиус
Sharpened Areas Only , Только заточенные участки
Sharpening , Заточка
Sharpening Layer , Заточной слой
Sharpening Radius , Радиус заточки
Sharpening Strength , Прочность на заточку
Sharpening Type , Тип заточки
Sharpness , Резкость
Shift Linear Interpolation? , Линейная интерполяция сдвига?
Shift Point , Точка переключения
Shift Y , Сдвиг Y
Shine , Блеск
Shininess , Блеск
Shivers , мурашки по коже
Shock Waves , Ударные волны
Shopping Cart , Корзина
Show Both Poles , Показать Оба поляка
Show Difference , Показать разницу
Show Frame , Показать рамку
Show Grid , Показать сетку
Show Watershed , Показать Водораздел
Shrink , Уменьшить
Shuffle Pieces , Шарканье кусочков
Side by Side , Бок о бок
Sierpinksi Design , Дизайн Серпинкси
Sierpinski Triangle , Серпинский треугольник
Sigma 1 , Сигма 1
Sigma 2 , Сигма 2
Similarity Space , Пространство сходства
Simple Local Contrast , Простой локальный контраст
Simple Noise Canvas , Простой шумовой холст
Simulate Film , Моделировать кино
Sin(z) , грех(z)
Sine , Сине
Sine+ , Синус+
Single (Merged) , Одинокий (объединенный)
Single Custom Depth Map , Единая пользовательская карта глубины
Single Image Stereogram , Стереограмма одного изображения
Single Layer , Однослойный
Single Opaque Shapes Over Transp. BG , Одиночные непрозрачные формы над транспарантом. ГЕНЕРАЛЬНЫЙ СЕКРЕТАРИАТ
Six Layers , Шесть слоев
Sixteen Threads , Шестнадцать Нитей
Size , Размер
Size (%) , Размер (%)
Size for Bright Tones , Размер для ярких тонов
Size for Dark Tones , Размер для темных тонов
Size of Frame Numbers (%) , Размер номеров кадров (%)
Size Variance , Вариативность размеров
Size-1 , Размер 1
Size-2 , Размер-2
Size-3 , Размер 3
Skeletik , Скелетик
Skeleton , Скелет
Sketch , Скетч
Skin Estimation , Оценка кожи
Skin Mask , Маска из кожи
Skin Tone Colors , Цвета оттенков кожи
Skin Tone Mask , Маска оттенков кожи
Skin Tone Protection , Защита от оттенков кожи
Skip All Other Steps , Пропустить все остальные шаги
Skip Finest Scales , Пропустить лучшие весы
Skip Others Steps , Пропустить другие шаги
Skip This Step , Пропустите этот шаг
Skip to Use the Mask to Boost , Пропустите, чтобы использовать маску для усиления
Slice Luminosity , Светимость срезов
Slide [Color] (26) , Слайд [Цвет] (26)
Slow &#40;Accurate&#41; , Медленно ( Точно )
Slow Recovery , Медленное восстановление
Small , Маленький
Small (Faster) , Маленький (Быстрее)
SmallHD Movie Look (7) , Смотрите фильм SmallHD Movie Look (7)
Smart , Умный
Smart Contrast , Умный контраст
Smart Threshold , умный порог
Smokey , Смоки
Smooth , Гладкий
Smooth [Anisotropic] , Гладкий [Анизотропный]
Smooth [Bilateral] , Гладкий [Двусторонний]
Smooth [Geometric-Median] , Гладкий [Геометрический-Медиан]
Smooth [Mean-Curvature] , Гладкий [Средняя кривизна]
Smooth [Median] , Гладкая [Медиана]
Smooth [Perona-Malik] , Гладкий [Перона-Малик]
Smooth [Selective Gaussian] , Smooth [Селективный Гаусс]
Smooth [Skin] , Гладкая [Кожа]
Smooth [Thin Brush] , Гладкая [Тонкая щетка]
Smooth [Total Variation] , Гладкий [Полная изменчивость]
Smooth [Wiener] , Гладкий [Винер]
Smooth Abstract , Гладкий реферат
Smooth Amount , Гладкое количество
Smooth Clear , Гладкая чистота
Smooth Colors , Гладкие цвета
Smooth Crome-Ish , Гладкий Кром-Иш
Smooth Dark , Гладкая Тьма
Smooth Fade , Гладкое угасание
Smooth Green Orange , Гладкий зеленый апельсин
Smooth Light , Гладкий свет
Smooth Looping , Гладкая петля
Smooth Only , Только гладкий
Smooth Sailing , Гладкий парусный спорт
Smooth Teal Orange , Гладкий апельсин чирка
Smoothen Background Reconstruction , Сглаженный фон Реконструкция
Smoother Edge Protection , Защита более гладкой кромки
Smoother Sharpness , Гладкая Острота
Smoother Softness , Гладкая мягкость
Smoothing , Сглаживание
Smoothing Style , Стиль сглаживания
Smoothing Type , Тип сглаживания
Smoothness , Гладкость
Smoothness (%) , Гладкость (%)
Smoothness (px) , Гладкость (px)
Smoothness Shadow , Тень Гладкости
Smoothness Type , Тип гладкости
Snowflake , Снежинка
Snowflake 2 , Снежинка 2
Snowflake Recursion , Рекурсия снежинки
Sobel-X , Собель-Х
Sobel-Y , Собель-Y
Soft  Light , Мягкий свет
Soft Burn , Мягкий ожог
Soft Fade , Мягкое увядание
Soft Glow , Мягкое сияние
Soft Glow [Animated] , Мягкое сияние [анимированное]
Soft Light , Мягкий свет
Soft Random Shades , Мягкие случайные оттенки
Soft Warming , Мягкое потепление
Soften , Смягчить
Soften All Channels , Смягчите все каналы
Soften Guide , Смягчайте руководство
Solarize , Соляризовать
Solarize Color , Соляризовать цвет
Solarized Color2 , Соляризованный Цвет2
Solidify , Солидировать
Solve Maze , Разрешите лабиринт
Some , Некоторое количество
Some Blue , Некоторое количество синего
Some Cyan , Немного голубого цвета
Some Green , Некоторые Зеленые
Some Key , Некоторые Ключ
Some Magenta , Немного пурпурного цвета
Some Red , немного красного
Some Yellow , Жёлтый
Sort Colors , Сортировка цветов
Sorting Criterion , Критерий сортировки
Source (%) , Источник (%)
Source Color #1 , Источник Цвет #1
Source Color #10 , Источник Цвет № 10
Source Color #11 , Источник Цвет № 11
Source Color #12 , Источник Цвет № 12
Source Color #13 , Источник Цвет № 13
Source Color #14 , Источник Цвет № 14
Source Color #15 , Источник Цвет № 15
Source Color #16 , Источник Цвет № 16
Source Color #17 , Источник Цвет № 17
Source Color #18 , Источник Цвет № 18
Source Color #19 , Источник Цвет #19
Source Color #2 , Источник Цвет № 2
Source Color #20 , Источник Цвет № 20
Source Color #21 , Источник Цвет № 21
Source Color #22 , Источник Цвет #22
Source Color #23 , Источник Цвет #23
Source Color #24 , Источник Цвет #24
Source Color #3 , Источник Цвет № 3
Source Color #4 , Источник Цвет № 4
Source Color #5 , Источник Цвет № 5
Source Color #6 , Источник Цвет № 6
Source Color #7 , Источник Цвет #7
Source Color #8 , Источник Цвет № 8
Source Color #9 , Источник Цвет #9
Source X-Tiles , Источник X-Плитки
Source Y-Tiles , Источник Y-панели
Space , Пространство
Spacing , Размещение
Spatial Bandwidth , Пространственная полоса пропускания
Spatial Metric , Пространственная метрика
Spatial Overlap , Пространственное перекрытие
Spatial Precision , Пространственная точность
Spatial Radius , Пространственный радиус
Spatial Regularization , Пространственная регуляризация
Spatial Sampling , Пространственный отбор проб
Spatial Scale , Пространственная шкала
Spatial Tolerance , Пространственная толерантность
Spatial Transition , Пространственный переход
Spatial Variance , Пространственная вариация
Special Effects , Специальные эффекты
Specific Saturation , Удельное насыщение
Specify Different Output Size , Укажите другой выходной размер
Specify HaldCLUT As , Укажите HaldCLUT как
Speed , Скорость
Sphere , Сфера
Spherize , Сферизировать
Spiral , Спираль
Spiral RGB , Спираль RGB
Spline B1 , Сплайн B1
Spline B2 , Сплайн B2
Spline B3 , Сплайн B3
Spline B4 , Сплайн B4
Spline B5 , Сплайн B5
Spline B6 , Сплайн B6
Spline Editor , Редактор слайнов
Spline Max Angle (deg) , Сплайн Макс Угол (град)
Spline Max Length (px) , Сплайн Макс Длина (px)
Spline Roundness , Сплайн Круглость
Splines , Сплины
Split Base and Detail Output , Раздельная база и детальный вывод
Split Brightness / Colors , Разделенная яркость / цвета
Split Details [Alpha] , Сплит Подробности [Альфа]
Split Details [Gaussian] , Сплит Детали [Гаусс]
Split Details [Wavelets] , Сплит детали [Вейвлеты]
Sponge , Губка
Spotify , Оспорить
Spread , Распространение
Spread Amount , Сумма спреда
Spread Angles , Углы растяжения
Spread Noise Amount , Количество шумов
Spreading , Распространение
Spring Morning , Весеннее утро
Sprocket 231 , Звездочка 231
Spy 29 , Шпион 29
Square , Площадь
Square (Inv.) , Квадрат (инв.)
Square 1 , Квадрат 1
Square 2 , Квадрат 2
Square to Circle , Квадрат к кругу
Squared-Euclidean , Квадрат-Евклидов
Squares , Квадраты
Squares (Outline) , Квадраты (Контур)
SRGB Conversion , преобразование SRGB
Stabilizer , Стабилизатор
Stained Glass , Витражное стекло
Stamp , Штемпель
Standard , Стандартный
Standard (256) , стандартный (256)
Standard [No Scan] , Стандартный [Нет сканирования]
Standard Deviation , Стандартное отклонение
Star , Звезда
Star: -5*(z^3/3-Z/4)/2 , Звезда: -5*(z^3/3-Z/4)/2
Stars , Звезды
Stars (Outline) , Звёзды (Внешний вид)
Start Angle , Стартовый угол
Start Color , Стартовый цвет
Start Frame Number , Номер стартового кадра
Start of Mid-Tones , Начало средних тонов
Starting Angle , Начальный угол
Starting Color , Стартовый цвет
Starting Feathering , Начальное перо
Starting Frame , Стартовая рамка
Starting Level , Начальный уровень
Starting Pattern , Стартовая модель
Starting Point , Начальная точка отсчёта
Starting Point (%) , Начальная точка (%)
Starting Scale (%) , Начальная шкала (%)
Starting Value , Начальное значение
Stationary Frames , Стационарные рамы
Std Angle (deg.) , Стэд Угол (градус)
Std Branching , ультрафиолетовое ветвление
Std Length Factor (%) , Коэффициент длины удлинения (%)
Std Thickness Factor (%) , Коэффициент заболеваемости (%)
Stencil , Трафарет
Stencil Type , тип трафарета
Step , Шаг
Step (%) , Шаг (%)
Steps , Шаги
Stereo Image , Стерео изображение
Stereo Window Position , Положение стерео окна
Stereographic Projection , Стереографическая проекция
Stereoscopic Image Alignment , Стереоскопическое выравнивание изображений
Stereoscopic Window Position , Стереоскопическое положение окна
Straight , Прямой
Strands , Стрэндс
Streak , Полоса
Street , Улица
Strength , Сила
Strength (%) , Прочность (%)
Strength Effect , Прочностный эффект
Strength Highlights , Основные сильные стороны
Strength Midtones , Прочностные мидтоны
Strength Shadows , Сильные Тени
Stretch , Растянуть
Stretch Colors , Растянутые цвета
Stretch Contrast , Контраст растяжения
Stretch Factor , Фактор растяжения
Strip , Стриптиз
Stripe Orientation , Ориентация полосы
Stroke , Инсульт
Stroke Angle , Угол атаки
Stroke Length , Длина инсульта
Stroke Strength , Прочность при ударе
Structure Smoothness , Гладкость структуры
Studio , Студия
Studio Skin Tone Shaper , Студия Формировщик тонов кожи
Style , Стиль
Style Variations , Вариации стиля
Stylize , Стилизировать
Subdivisions , Подразделения
Subpixel Interpolation , Подпиксельная интерполяция
Subpixel Level , Уровень субпикселей
Subsampling (%) , Субсэмплирование (%)
Subtle Blue , Тонкий синий
Subtle Green , Тонкий зеленый
Subtle Yellow , Тонкий желтый
Subtract , Вычитать
Subtractive , Субтрактивный
Summer , Лето
Summer (alt) , Лето (alt)
Sunny , Солнечный
Sunny (alt) , Солнечный (alt)
Sunny (rich) , Солнечный (богатый)
Sunny (warm) , Солнечный (теплый)
Super Warm , Супер-теплый
Super Warm (rich) , Супер теплая (богатая)
Super-Pixels , Суперпиксели
Superformula , Суперформула
Superimpose with Original? , Наложить на Оригинал?
Surface Disturbance , Нарушение поверхности
Surface Disturbance Multiplier , Умножитель поверхностных возмущений
Sutro FX , Сутро FX
Swan , Лебедь
Swap , обмен
Swap Colors , Смена цветов
Swap Layers , Сменные слои
Swap Radius / Angle , Смена радиуса / угла
Swap Sides , Стороны обмена
Sweet Bubblegum , Сладкая жвачка
Sweet Gelatto , Сладкое желе
Symmetric 2D Shape , Симметричная 2D форма
Symmetry , Симметрия
Symmetry Sides , Стороны симметрии
Synthesis Scale , Шкала синтеза
Taiga , Тайга
Tan(z) , Тан(z)
Tangent Radius , касательная к радиусу
Taquin , Такин
Target Color #1 , Цвет цели № 1
Target Color #10 , Цвет цели № 10
Target Color #11 , Цвет цели № 11
Target Color #12 , Цвет цели № 12
Target Color #13 , Цвет цели № 13
Target Color #14 , Цвет цели № 14
Target Color #15 , Цвет цели № 15
Target Color #16 , Цвет цели № 16
Target Color #17 , Цвет цели № 17
Target Color #18 , Цвет цели № 18
Target Color #19 , Цвет цели #19
Target Color #2 , Цвет цели № 2
Target Color #20 , Цвет цели №20
Target Color #21 , Цвет цели № 21
Target Color #22 , Цвет цели #22
Target Color #23 , Цвет цели № 23
Target Color #24 , Цвет цели № 24
Target Color #3 , Цвет цели № 3
Target Color #4 , Цвет цели № 4
Target Color #5 , Цвет цели № 5
Target Color #6 , Цвет цели № 6
Target Color #7 , Цвет цели #7
Target Color #8 , Цвет цели № 8
Target Color #9 , Цвет цели #9
Teal Fade , Тил Фейд
Teal Magenta Gold , Пурпурное золото тел
Teal Moonlight , Тил Лунный свет
Teal Orange , Тил Оранж
Teal Orange 1 , Тил Оранж 1
Teal Orange 2 , Тил Оранж 2
Teal Orange 3 , Тил Оранж 3
TechnicalFX - Backlight Filter , TechnicalFX - Фильтр подсветки
Teddy , Тедди
Teigen 28 , Тиген 28
Temperature Balance , Температурный баланс
Ten Layers , Десять слоев
Tends to Be Square , Склонен быть квадратом
Tension Green 1 , Зеленый 1
Tension Green 2 , Зеленый 2
Tension Green 3 , Зеленый 3
Tension Green 4 , Зеленый 4
Tensor Smoothness , Тензорная гладкость
Terra 4 , Терра 4
Tertiary Factor , Третичный коэффициент
Tertiary Gamma , Третичная Гамма
Tertiary Shift , Третичная смена
Tertiary Twist , Третичный поворот
Tetris , Тетрис
Text , Текст
Texture , Текстура
Texture Enhance , Улучшение текстуры
Textured Glass , Текстурированное стекло
The Game of Life , Игра жизни
The Matrices , Матрицы
Thickness , Толщина
Thickness (%) , Толщина (%)
Thickness (px) , Толщина (px)
Thickness Factor , Фактор толщины
Thin Edges , тонкие края
Thin Separators , Тонкие сепараторы
Thinness , Тонкость
Thinning , Истончение
Thinning (Slow) , Истончение (Медленное)
Three Layers , Три слоя
Threshold , Порог
Threshold (%) , Порог (%)
Threshold Etch , Пороговое рвотное отверстие
Threshold High , Пороговый максимум
Threshold Low , Низкий порог
Threshold Max , Пороговый максимум
Threshold Mid , Пороговая середина
Threshold On , Порог
Thriller 2 , триллер 2
Thumbnail Size , Размер эскиза
Tic-Tac-Toe , Тик-Так-Тоу
Tiger , Тигр
Tikhonov , Тихонов
Tile Poles , Плиточные столбы
Tile Size , Размер плитки
Tileable Rotation , Поворот плитки
Tiled Isolation , Изоляция плитки
Tiled Normalization , Нормализация плитки
Tiled Parameterization , Параметризация плитки
Tiled Preview , Плиточный предварительный просмотр
Tiled Random Shifts , Случайные смены плитки
Tiled Rotation , Вращение плитки
Tiles , Плитки
Tiles to Layers , Плитка для укладки
Tilt , Наклон
Time , Время
Time Step , Шаг времени
Timed Image , Приуроченное изображение
Tiny , Крошечный
To Equirectangular , К прямоугольному
To Nadir / Zenith , За Надир / Зенит
Toasted Garden , Поджаренный сад
Toggle to View Base Image , Переключение для просмотра базового изображения
Tolerance , Толерантность
Tolerance to Gaps , Толерантность к пробелам
Tonal Bandwidth , Тональная полоса пропускания
Tone Blur , Тональное пятно
Tone Enhance , Улучшение тона
Tone Gamma , Тон Гамма
Tone Mapping , Картирование тонов
Tone Mapping (%) , Отображение тона (%)
Tone Mapping [Fast] , Tone Mapping [Быстро]
Tone Mapping Fast , Быстрое отображение тонов
Tone Mapping Soft , Мягкое отображение тонов
Tone Presets , Тональные предустановки
Tone Threshold , Порог тонов
Tones Range , Диапазон тонов
Tones Smoothness , Гладкость тонов
Tones to Layers , Оттенки к слоям
Top , Топ
Top Layer , Верхний слой
Top Left , Слева вверху
Top Right , Верхнее право
Top-Left Vertex (%) , Верхняя левая вершина (%)
Top-Right Vertex (%) , Вершина вершины (%)
Torus , Торус
Total Layers , Тотальные слои
Total Variation , Общее изменение
Transfer Colors [Histogram] , Перенос цветов [Гистограмма]
Transfer Colors [Patch-Based] , Перенос цветов [на основе патча]
Transfer Colors [PCA] , Перенос цветов [PCA]
Transfer Colors [Variational] , Перенос цветов [Вариативный]
Transform , Трансформировать
Transition Map , Карта перехода
Transition Shape , Переходная форма
Transition Smoothness , Гладкость перехода
Transmittance Map , Передача Карта
Transparency , Прозрачность
Transparent , Прозрачный
Transparent Background , Прозрачный фон
Transparent Black & White , Прозрачный черно-белый
Transparent Color , Прозрачный цвет
Transparent on Black , Прозрачный на черном
Transparent on White , Прозрачный на белом
Transparent Skin , Прозрачная кожа
Tree , Дерево
Trent 18 , Трент 18
Triangle , Треугольник
Triangles , Треугольники
Triangles (Outline) , Треугольники
Triangular Ha , Треугольник Ха
Triangular Hb , Треугольный Hb
Triangular Va , Треугольный Va
Triangular Vb , Треугольный Vb
Tritanomaly , Тританомалия
Tritanopia , Тританопия
True Colors 8 , Истинные цвета 8
Trunk Color , Цвет ствола
Trunk Opacity (%) , Прозрачность ствола (%)
Trunks , Стволы
Tulips , Тюльпаны
Tunnel , Тоннель
Turbulence , Турбулентность
Turbulence 2 , Турбулентность 2
Turbulent Halftone , турбулентный Хэлфтон
Turing , Тьюринг
Turkiest 42 , самый Туркест 42
Turn on Rotate and Twirl , Включить поворот и кручение
Tweed 71 , твид 71
