<b>Arrays & Tiles</b> , <b>Arrays & Tegels</b>
Output Each Piece on a Different Layer , Uitvoer elk stuk op een andere laag
Output Filename , Uitgang Filenaam
Output Files , Uitvoerbestanden
Output Folder , Uitgangsmap
Output Format , Uitgangsformaat
Output Frames , Uitgangsframes
Output Height , Uitgangshoogte
Output HTML File , Uitvoer HTML-bestand
Output Layers , Uitgangslagen
Output Mode , Uitgangsmodus
Output Multiple Layers , Uitgang Meerdere lagen
Output Preset as a HaldCLUT Layer , Uitgang Vooraf ingesteld als een HaldCLUT laag
Output Region Delimiters , Uitgangsregio afbakeningen
Output Saturation , Uitgangsverzadiging
Output Sharpening , Uitgangsverscherping
Output Stroke Layer On , Uitgangsslaglaag Aan
Output to Folder , Uitvoer naar de map
Output Type , Uitgangstype
Output Width , Uitgangsbreedte
Outside , Buiten
Outside Color , Buiten kleur
Outward , Naar buiten toe
Overall Blur , Algehele vervaging
Overall Contrast , Algemeen contrast
Overall Lightness , Totale lichtheid
Pack , Pakket
Pack Sprites , Pakje Sprites
Padding (px) , Vulling (px)
Paint , Verf
Paint Daub , Verf Daub
Paint Effect , Verfeffect
Paint Splat , Verf Splat
Painter's Edge Protection Flow , Schildersrandbeschermingsstroom
Painter's Smoothness , Gladheid van de schilder
Painter's Touch Sharpness , Schilders Touch Sharpness
Painting , Schilderij
Painting Opacity , Schilderij Opaciteit
Paintstroke , Verfslag
Paper Texture , Papierstructuur
Parallel Processing , Parallelle verwerking
Parrots , Papegaaien
Passing By , Voorbijgaand
Pastell Art , Pastelkunst
Patch Measure , Patch-maatstaf
Patch Size , Patchmaat
Patch Size for Analysis , Patchgrootte voor analyse
Patch Size for Synthesis , Patchmaat voor synthese
Patch Size for Synthesis (Final) , Patchgrootte voor synthese (Final)
Patch Smoothness , Patch Gladheid
Patch Variance , Patchvariant
Pattern , Patroon
Pattern Angle , Patroonhoek
Pattern Height , Patroonhoogte
Pattern Type , Patroontype
Pattern Variation 1 , Patroonvariatie 1
Pattern Variation 2 , Patroonvariatie 2
Pattern Variation 3 , Patroonvariatie 3
Pattern Weight , Patroongewicht
Pattern Width , Patroonbreedte
PCA Transfer , PCA-overdracht
Pea Soup , Erwtensoep
Pen Drawing , Pentekening
Penalize Patch Repetitions , Penalize Patch Herhalingen
Pencil , Potlood
Pencil Amplitude , Potloodamplitude
Pencil Portrait , Potloodportret
Pencil Size , Potloodgrootte
Pencil Smoother Edge Protection , Potlood gladdere randbescherming
Pencil Smoother Sharpness , Potlood Gladder Scherpte
Pencil Smoother Smoothness , Potlood gladder gladheid
Pencil Type , Type potlood
Pencils , Potloden
Peppers , Paprika's
Percent of Image Half-Hypotenuse (%) , Percentage van het beeld halfpotentiaal (%)
Periodic , Periodiek
Periodic Dots , Periodieke stippen
Periodicity , Periodiciteit
Perserve Luminance , Perspectief Luminantie
Perspective , Perspectief
Perturbation , Perturbatie
Petals , Bloemblaadjes
Phase , Fase
Phone , Telefoon
PhotoComix Preset , PhotoComix Vooraf ingesteld
Photoillustration , Fotoillustratie
Picasso: Seated Woman , Picasso: Zittende vrouw
Picasso: The Reservoir - Horta De Ebro , Picasso: Het stuwmeer - Horta De Ebro
Piece Complexity , Stukje complexiteit
Piece Size (px) , Stukgrootte (px)
Pin Light , Speldlicht
Pink Fade , Roze Vervaagt
Pixel Sort , Pixel Sorteren
Pixel Values , Pixelwaarden
Placement , Plaatsing
Plaid , Gereserveerd
Plane , Vliegtuig
Plasma Effect , Plasma-effect
Plot Type , Plottype
Point #0 , Punt #0
Point #1 , Punt 1
Point #2 , Punt 2
Point #3 , Punt 3
Point 1 , Punt 1
Point 2 , Punt 2
Points , Punten
Polar Transform , Polaire Transformatie
Polaroid 665 -- , Polaroid 665...
Polaroid 665 Negative , Polaroid 665 Negatief
Polaroid 665 Negative + , Polaroid 665 Negatief +
Polaroid 665 Negative - , Polaroid 665 Negatief -
Polaroid 665 Negative HC , Polaroid 665 Negatief HC
Polaroid 669 -- , Polaroid 669...
Polaroid 669 Cold , Polaroid 669 Koud
Polaroid 669 Cold + , Polaroid 669 Koud +
Polaroid 669 Cold - , Polaroid 669 Koud -
Polaroid 669 Cold -- , Polaroid 669 Koud...
Polaroid 690 -- , Polaroid 690...
Polaroid 690 Cold , Polaroid 690 Koud
Polaroid 690 Cold + , Polaroid 690 Koud +
Polaroid 690 Cold ++ , Polaroid 690 Koud ++
Polaroid 690 Cold - , Polaroid 690 Koud -
Polaroid 690 Cold -- , Polaroid 690 Koud...
Polaroid 690 Warm -- , Polaroid 690 Warm...
Polaroid Polachrome , Polaroidpolachroom
Polaroid PX-100UV+ Cold ++ , Polaroid PX-100UV+ Koud ++
Polaroid PX-100UV+ Cold +++ , Polaroid PX-100UV+ Koud ++++
Polaroid PX-100UV+ Cold -- , Polaroid PX-100UV+ Cold...
Polaroid PX-100UV+ Warm -- , Polaroid PX-100UV+ Warm...
Polaroid PX-680 -- , Polaroid PX-680...
Polaroid PX-680 Cold , Polaroid PX-680 Koud
Polaroid PX-680 Cold + , Polaroid PX-680 Koud +
Polaroid PX-680 Cold ++ , Polaroid PX-680 Koud ++
Polaroid PX-680 Cold ++a , Polaroid PX-680 Koud ++a
Polaroid PX-680 Cold - , Polaroid PX-680 Koud -
Polaroid PX-680 Cold -- , Polaroid PX-680 Koud...
Polaroid PX-680 Warm -- , Polaroid PX-680 Warm -
Polaroid PX-70 -- , Polaroid PX-70 -
Polaroid PX-70 Cold , Polaroid PX-70 Koud
Polaroid PX-70 Cold + , Polaroid PX-70 Koud +
Polaroid PX-70 Cold ++ , Polaroid PX-70 Koud ++
Polaroid PX-70 Cold -- , Polaroid PX-70 Cold...
Polaroid PX-70 Warm -- , Polaroid PX-70 Warm -
Polaroid Time Zero (Expired) , Polaroid Tijd Nul (Verlopen)
Polaroid Time Zero (Expired) + , Polaroid Time Zero (Verlopen) +
Polaroid Time Zero (Expired) ++ , Polaroid Tijd Nul (Verlopen) ++
Polaroid Time Zero (Expired) - , Polaroid Time Zero (Verlopen) -
Polaroid Time Zero (Expired) -- , Polaroid Time Zero (Verlopen)...
Polaroid Time Zero (Expired) --- , Polaroid Time Zero (Verlopen) ---
Polaroid Time Zero (Expired) Cold , Polaroid Time Zero (Verlopen) Cold
Polaroid Time Zero (Expired) Cold - , Polaroid Time Zero (Verlopen) Cold -
Polaroid Time Zero (Expired) Cold -- , Polaroid Time Zero (Verlopen) Cold -
Polaroid Time Zero (Expired) Cold --- , Polaroid Time Zero (Verlopen) Cold ---
Pole Lat , Poollat
Pole Long , Pool lang
Pole Rotation , Paalomwenteling
Pollock: Convergence , Pollock: Convergentie
Pollock: Summertime Number 9A , Pollock: Zomertijd Nummer 9A
Polygonize [Energy] , Polygoniseren [Energie]
Pop Shadows , Pop Schaduwen
Portrait , Portret
Portrait Retouching , Portretretretretretretret
Portrait-1 , Portret-1
Portrait-2 , Portret-2
Portrait-3 , Portret-3
Portrait-4 , Portret-4
Portrait-7 , Portret-7
Portrait0 , Portret0
Portrait1 , Portret1
Portrait10 , Portret10
Portrait2 , Portret2
Portrait3 , Portret3
Portrait4 , Portret4
Portrait5 , Portret5
Portrait6 , Portret6
Portrait7 , Portret7
Portrait8 , Portret8
Portrait9 , Portret9
Position , Positie
Position X (%) , Positie X (%)
Position X Origin (%) , Positie X Herkomst (%)
Position Y (%) , Positie Y (%)
Position Y Origin (%) , Positie Y Herkomst (%)
Positive , Positief
Post-Normalize , Post-Normaliseer
Post-Process , Post-proces
Poster Edges , Posterranden
Posterization Antialiasing , Posterisatie Anti-aliasing
Posterization Level , Posterisatie niveau
Posterized Dithering , Geposterde Dithering
Power , Vermogen
Pre-Defined , Vooraf gedefinieerd
Pre-Defined Colormap , Vooraf gedefinieerde Colormap
Pre-Normalize , Pre-Normaliseer
Pre-Normalize Image , Beeld pre-normaliseren
Pre-Process , Voorafgaand aan het proces
Precision , Precisie
Precision (%) , Precisie (%)
Preliminary Surface Shift , Voorlopige oppervlakteverschuiving
Preliminary X-Axis Scaling , Voorlopige X-Axis-schaalverdeling
Preliminary Y-Axis Scaling , Voorlopige Y-Axis-schaalverdeling
Preprocessor Power , Voorbereidend vermogen
Preprocessor Radius , Voorganger Straal
Preserve Canvas for Post Bump Mapping , Conserveer Canvas voor Post Bump Mapping
Preserve Edges , Behoud van de randen
Preserve Image Dimension , Behoud van de Beeldafmeting
Preserve Initial Brightness , Behoud van de initiële helderheid
Preserve Luminance , Behoud van de helderheid
Preset , Vooraf ingesteld
Preview , Voorbeeld
Preview All Outputs , Voorbeeld van alle uitgangen
Preview Bands , Voorbeeldbanden
Preview Brush , Voorbeeldborstel
Preview Data , Voorbeeldgegevens
Preview Detected Shapes , Voorbeeld gedetecteerde vormen
Preview Frame Selection , Voorbeeldframe selectie
Preview Gradient , Voorbeeldgradiënt
Preview Grain Alone , Voorbeeld korrel alleen
Preview Grid , Voorbeeldvenster
Preview Guides , Voorbeeldgidsen
Preview Mapping , Voorbeeldkartering
Preview Mask , Voorbeeldmasker
Preview Only Shadow , Voorbeeld van alleen de schaduw
Preview Opacity (%) , Preview Opaciteit (%)
Preview Original , Voorbeeld origineel
Preview Precision , Preview Precisie
Preview Progress (%) , Voorbeeld van vooruitgang (%)
Preview Progression While Running , Voorproefje van de vooruitgang tijdens het lopen
Preview Ref Point , Voorbeeld-referentiepunt
Preview Reference Circle , Preview Referentie Cirkel
Preview Selection , Voorbeeldselectie
Preview Shape , Voorbeeldvorm
Preview Shows , Voorbeeldschermen
Preview Subsampling , Voorbeeldbemonstering
Preview Time , Voorvertoningstijd
Preview Tones Map , Preview Tones Kaart
Preview Type , Voorvertoningstype
Preview Without Alpha , Voorbeschouwing zonder Alpha
Primary Angle , Primaire hoek
Primary Color , Primaire kleur
Primary Factor , Primaire factor
Primary Gamma , Primair Gamma
Primary Radius , Primaire Straal
Primary Shift , Primaire verschuiving
Primary Twist , Primaire draai
Print Adjustment Marks , Aanpassingsmarkeringen afdrukken
Print Films (12) , Drukfilms (12)
Print Frame Numbers , Printframe nummers
Print Size Unit , Drukgrootte-eenheid
Print Size Width , Printgrootte Breedte
Privacy Notice , Privacymededeling
Pro Neg Hi , Pro Negé Hoi
Probability Map , Waarschijnlijkheidskaart
Procedural , Procedureel
Process As , Proces Zoals
Process by Blocs of Size , Proces per blok van grootte
Process Channels Individually , Proceskanalen Individueel
Process Top Layer Only , Alleen de bovenste laag van het proces
Process Transparency , Transparantie van het proces
Processing Mode , Verwerkingswijze
Propagation , Voortplanting
Proportion , Aandeel
Protanomaly , Protanomalie
Protect Highlights 01 , Beschermen Hoogtepunten 01
Prussian Blue , Pruisisch Blauw
Purple , Paars
Purple11 (12) , Paars11 (12)
Puzzle , Puzzel
Pyramid , Piramide
Pyramid Processing , Piramide verwerking
Pythagoras Tree , Pythagoras Boom
Quadratic , Kwadratisch
Quadtree Variations , Kwadrantenvariaties
Quality , Kwaliteit
Quality (%) , Kwaliteit (%)
Quantization , Quantizatie
Quantize Colors , Quantize Kleuren
Quasi-Gaussian , Quasi-Gaussisch
Quick , Snelle
Quick Copyright , Snelle Copyright
Quick Enlarge , Snel Vergroten
R/B Smoothness (Principal) , R/B Gladheid (Opdrachtgever)
R/B Smoothness (Secondary) , R/B Gladheid (Secundair)
Radial , Radiaal
Radius , Straal
Radius (%) , Straal (%)
Radius / Angle , Straal / Hoek
Radius [Manual] , Straal [Handleiding]
Radius Cut , Straalsnede
Radius Middle Circle , Radius Middencirkel
Radius Outer Circle A (>0 W%) (<0 H%) , Straal Buitenste Cirkel A (>0 W%) (<0 H%)
Rain & Snow , Regen & Sneeuw
Rainbow , Regenboog
Raindrops , Regendruppels
Random , Willekeurig
Random [non-Transparent] , Willekeurig [niet-transparant]
Random Angle , Willekeurige hoek
Random Color Ellipses , Willekeurige kleur ellipsen
Random Colors , Willekeurige kleuren
Random Seed , Willekeurig zaad
Random Shade Stripes , Willekeurige Schaduwstrepen
Randomize , Willekeurig
Randomized , Gerandomiseerde
Randomness , Willekeurigheid
Range , Reeks
Ratio , Verhouding
Raw , Ruw
Rays , Stralen
Rays Colors AB , Stralen Kleuren AB
Rays Colors ABC , Stralen Kleuren ABC
Rays Colors ABCD , Stralen Kleuren ABCD
Rays Colors ABCDE , Stralen Kleuren ABCDE
Rays Colors ABCDEF , Stralen Kleuren ABCDEF
Rays Colors ABCDEFG , Stralen Kleuren ABCDEFG
Rebuild From Similar Blocs , Herbouwen van soortgelijke blokken
Recompose , Herstel
Reconstruct From Previous Frames , Reconstructie van eerdere Frames
Recover , Herstel
Recover Highlights , Hoogtepunten herstellen
Recover Shadows , Schaduwen herstellen
Recovery , Herstel
Rectangle , Rechthoek
Recursion Depth , Recursiediepte
Recursions , Recursies
Recursive Median , Recursieve mediaan
Red , Rood
Red - Green - Blue , Rood - Groen - Blauw
Red - Green - Blue - Alpha , Rood - Groen - Blauw - Alfa
Red Afternoon 01 , Rode Middag 01
Red Blue Yellow , Rood Blauw Geel
Red Chroma Factor , Rode Chroma Factor
Red Chroma Shift , Rode Chroma Shift
Red Chroma Smoothness , Rood Chroma Gladheid
Red Chrominance , Rode Chrominantie
Red Day 01 , Rode dag 01
Red Dream 01 , Rode Droom 01
Red Factor , Rode factor
Red Level , Rood niveau
Red Rotations , Rood Omwentelingen
Red Shift , Rode Verschuiving
Red Smoothness , Rood Gladheid
Red Wavelength , Rode Golflengte
Red-Eye Attenuation , Roodoogverzwakking
Red-Green , Rood-Groen
Reds , Roden
Reds Oranges Yellows , Roodappelsinaasappels Geel
Reduce Halos , Halo's verminderen
Reduce Noise , Geluidsreductie
Reduce RAM , Verminder het RAM
Reduce Redness , Roodheid verminderen
Reference , Referentie
Reference Angle (deg.) , Referentiehoek (deg.)
Reference Color , Referentiekleur
Reference Colors , Referentie Kleuren
Reflect , Reflecteer
Reflection , Reflectie
Refraction , Breking
Regular Grid , Regulier rooster
Regularity , Regelmatigheid
Regularity (%) , Regelmatigheid (%)
Regularization , Regularisatie
Regularization (%) , Regularisatie (%)
Regularization Factor , Regularisatiefactor
Regularization Iterations , Regularisatie Iteraties
Reject , Wijs  af.
Rejected Colors , Afgewezen kleuren
Rejected Mask , Afgewezen masker
Relative Block Count , Relatieve bloktelling
Relative Size , Relatieve Grootte
Relative Warping , Relatieve kromming
Release Notes , Toelichting bij de uitgave
Relief , Ontlasting
Relief Amplitude , Ontlastingsamplitude
Relief Contrast , Ontlastingscontrast
Relief Light , Ontlastingslicht
Relief Size , Reliëfgrootte
Relief Smoothness , Ontlasting Gladheid
Remove Artifacts From Micro/Macro Detail , Verwijder artefacten uit Micro/Macro Detail
Remove Hot Pixels , Hete Pixels verwijderen
Remove Tile , Tegel verwijderen
Render on Dark Areas , Render op donkere gebieden
Render on White Areas , Render op Witte Gebieden
Render Routine for Wiggle Animations , Render Routine voor Wiggle Animaties
Rendering Mode , Rendering modus
Repair Scanned Document , Reparatie gescand document
Repeat , Herhaal
Repeat [Memory Consuming!] , Herhaal [Geheugengebruik!]
Repeats , Herhaalt
Replace , Vervang
Replace (Sharpest) , Vervangen (Scherpste)
Replace Layer with CLUT , Laag vervangen door CLUT
Replace Source by Target , Vervang Bron door Doel
Replace With White , Vervangen door wit
Replaced Color , Vervangende kleur
Replacement Color , Vervangingskleur
Reptile , Reptiel
Rescaling , Herschaling
Resize Image for Optimum Effect , Beeld opnieuw dimensioneren voor een optimaal effect
Resolution , Resolutie
Resolution (%) , Resolutie (%)
Resolution (px) , Resolutie (px)
Rest 33 , Rust 33
Result Image , Resultaat Beeld
Result Type , Type resultaat
Resynthetize Texture [FFT] , Resynthetiseren van de textuur [FFT]
Resynthetize Texture [Patch-Based] , Resynthetiseren van de textuur [Patch-Based]
Retouch Layer , Retoucheringslaag
Retouched and Sharpened Areas , Geretoucheerde en geslepen gebieden
Retouched Areas Only , Alleen geretoucheerde gebieden
Retouched Image , Geretoucheerd beeld
Retouched Image Basic , Geretoucheerde afbeelding Basic
Retouched Image Final , Geretoucheerde Beeld Finale
Retouching Style , Retoucheerstijl
Retro Brown 01 , Retro Bruin 01
Retro Summer 3 , Retro Zomer 3
Retro Yellow 01 , Retro Geel 01
Return Scaling , Terugkeer Schalen
Reverse Bits , Omgekeerde Bits
Reverse Bytes , Omgekeerde bytes
Reverse Effect , Omgekeerd effect
Reverse Endianness , Omgekeerde eindigheid
Reverse Flip , Omgekeerde beweging
Reverse Frame Stack , Omgekeerde Frame Stack
Reverse Gradient , Omgekeerde helling
Reverse Mod , Omgekeerde Modus
Reverse Motion , Omgekeerde beweging
Reverse Order , Omgekeerde volgorde
Reverse Pow , Omgekeerd vermogen
Reversing , Omkeren
Revert Layer Order , Omgekeerde volgorde van de lagen
Revert Layers , Omgekeerde lagen
RGB [All] , RGB [Allemaal]
RGB [Blue] , RGB [Blauw]
RGB [Green] , RGB [Groen]
RGB [red] , RGB [rood]
RGB Image + Binary Mask (2 Layers) , RGB-beeld + binair masker (2 lagen)
RGB Quantization , RGB-kwantisering
RGB Tone , RGB-toon
RGBA [All] , RGBA [Alle]
RGBA Foreground + Background (2 Layers) , RGBA Voorgrond + Achtergrond (2 lagen)
RGBA Image (Full-Transparency / 1 Layer) , RGBA-beeld (volledige transparantie / 1 laag)
RGBA Image (Updatable / 1 Layer) , RGBA-beeld (bij te werken / 1 laag)
Rice , Rijst
Right , Rechts
Right Diagonal  Foreground , Rechts Diagonale voorgrond
Right Diagonal Foreground , Rechts Diagonale voorgrond
Right Eye View , Rechter oogaanzicht
Right Foreground , Voorgrond
Right Position , Juiste positie
Right Side Orientation , Rechtse oriëntatie
Right Slope , Rechtse helling
Right Stream Only , Alleen rechtse stroom
Rigid , Stijve
Ripple , Rimpeling
Roddy (by Mahvin) , Roddy (door Mahvin)
Rodilius [Animated] , Rodilius [Geanimeerd]
Rollei Retro 100 Tonal , Rollei Retro 100 tonaal
Rooster , Haan
Rotate , Roteer
Rotate (muted) , Draaien (gedempt)
Rotate (vibrant) , Draaien (levendig)
Rotate 180 Deg. , Draai 180 Deg.
Rotate 270 Deg. , Draai 270 Deg.
Rotate 90 Deg. , Draai 90 Deg.
Rotate Hue Bands , Tint banden draaien
Rotate Tree , Boom draaien
Rotated , Gedraaide
Rotated (crush) , Gedraaide (verbrijzeling)
Rotations , Rotaties
Round , Ronde
Roundness , Rondheid
Row by Row , Rij voor rij
RYB [All] , RYB [Allemaal]
RYB [Blue] , RYB [Blauw]
RYB [Red] , RYB [Rood]
RYB [Yellow] , RYB [Geel]
Salt and Pepper , Zout en peper
Same as Input , Hetzelfde als de invoer
Same Axis , Dezelfde As
Sample Image , Voorbeeldbeeld
Sampling , Bemonstering
Sat Range , Zittende waaier
Satin , Satijn
Saturated Blue , Verzadigd blauw
Saturation , Verzadiging
Saturation (%) , Verzadiging (%)
Saturation Channel Gamma , Verzadiging Kanaal Gamma
Saturation Correction , Verzadigingscorrectie
Saturation EQ , Verzadiging EQ
Saturation Factor , Verzadigingsfactor
Saturation Offset , Verzadiging Compensatie
Saturation Shift , Verzadigingsverschuiving
Saturation Smoothness , Verzadiging Gladheid
Save CLUT as .Cube or .Png File , CLUT opslaan als .Cube of .Png-bestand
Save Gradient As , Bewaar Gradiënt als
Saving Private Damon , Besparing van privé-Damon
Scalar , Scalaire
Scale , Schaal
Scale (%) , Schaal (%)
Scale 1 , Schaal 1
Scale 2 , Schaal 2
Scale CMYK , Schaal CMYK
Scale Factor , Schaalfactor
Scale Output , Schaaluitgang
Scale Plasma , Schaalplasma
Scale RGB , Schaal RGB
Scale Style to Fit Target Resolution , Schaalstijl om te passen bij de doelresolutie
Scale Variations , Schaalvariaties
Scaled , Geschaald
Scales , Schalen
Scaling Factor , Schaalfactor
Scene Selector , Scènekiezer
Screen , Scherm
Screen Border , Schermgrens
Seamcarve , Naadsnijden
Seamless Deco , Naadloze Deco
Seamless Turbulence , Naadloze Turbulentie
Second Color , Tweede kleur
Second Offset , Tweede Compensatie
Second Radius , Tweede straal
Second Size , Tweede Maat
Secondary Color , Secundaire kleur
Secondary Factor , Secundaire factor
Secondary Gamma , Secundair Gamma
Secondary Radius , Secundaire Straal
Secondary Shift , Secundaire Verschuiving
Secondary Twist , Secundaire Twist
Sectors , Sectoren
Seed , Zaad
Segment Max Length (px) , Segment Maximale lengte (px)
Segmentation , Segmentatie
Segmentation Edge Threshold , Segmentatie Randdrempel
Segmentation Smoothness , Segmentatie Gladheid
Segments , Segmenten
Segments Strength , Segmenten Sterkte
Select By , Selecteer door
Select-Replace Color , Selecteer-Vervang Kleur
Selected Color , Geselecteerde kleur
Selected Colors , Geselecteerde kleuren
Selected Frame , Geselecteerd frame
Selected Mask , Geselecteerde masker
Selection , Selectie
Selective Desaturation , Selectieve Desaturatie
Selective Gaussian , Selectief Gaussisch
Self , Zelf
Self Glitching , Zelfstotend
Self Image , Zelfbeeld
Sensitivity , Gevoeligheid
Sequence X4 , Volgorde X4
Sequence X6 , Volgorde X6
Sequence X8 , Volgorde X8
Serenity , Sereniteit
Serial Number , Serienummer
Serpent , Slang
Set Aspect Only , Alleen het aspect instellen
Set Frame Format , Stel het frameformaat in
Seven Layers , Zeven lagen
Seventies Magazine , Tijdschrift voor de jaren zeventig
Shade , Schaduw
Shade Angle , Schaduwhoek
Shade Back to First Color , Schaduw Terug naar Eerste Kleur
Shade Bobs , Schaduw Bobs
Shade Strength , Schaduwsterkte
Shading , Schaduwing
Shading (%) , Schaduw (%)
Shadow , Schaduw
Shadow Contrast , Schaduwcontrast
Shadow Intensity , Schaduwintensiteit
Shadow King 39 , Schaduwkoning 39
Shadow Offset X , Schaduwcompensatie X
Shadow Offset Y , Schaduwcompensatie Y
Shadow Patch , Schaduwflard
Shadow Size , Schaduwgrootte
Shadow Smoothness , Schaduw Gladheid
Shadows , Schaduwen
Shadows Abstraction , Schaduw Abstractie
Shadows Brightness , Schaduwen Helderheid
Shadows Color Intensity , Schaduwkleurintensiteit
Shadows Hue Shift , Schaduwtint verschuiving
Shadows Lightness , Schaduwen Lichtheid
Shadows Selection , Schaduw selectie
Shadows Threshold , Schaduwdrempel
Shadows Zone , Schaduwzone
Shape , Vorm
Shape Area Max , Vormgebied Max.
Shape Area Max0 , Vormgebied Max0
Shape Area Min , Vormgebied Min
Shape Area Min0 , Vormgebied Min0
Shape Average , Vorm Gemiddelde
Shape Average0 , Vorm Gemiddelde0
Shape Max , Vorm Max.
Shape Max0 , Vorm Max0
Shape Median , Vorm Mediaan
Shape Median0 , Vorm Mediaan0
Shape Min , Vorm Min
Shape Min0 , Vorm Min0
Shapeaverage , Vormgeving
Shapeism , Vormgeving
Shapes , Vormen
Sharp Abstract , Scherp Abstract
Sharpen , Scherpte
Sharpen [Deblur] , Scherp [Deblur]
Sharpen [Gold-Meinel] , Scherp [Gold-Meinel]
Sharpen [Gradient] , Verscherpen [Gradiënt]
Sharpen [Hessian] , Scherp [Hessian]
Sharpen [Inverse Diffusion] , Scherp [Inverse Diffusion]
Sharpen [Multiscale] , Scherp [Multiscale]
Sharpen [Octave Sharpening] , Slijpen [Octaafslijpen]
Sharpen [Richardson-Lucy] , Scherp [Richardson-Lucy]
Sharpen [Shock Filters] , Scherp [Schokfilters]
Sharpen [Texture] , Scherp [Textuur]
Sharpen [Tones] , Scherp [Tonen]
Sharpen [Unsharp Mask] , Scherp [Unsharp Mask]
Sharpen [Whiten] , Scherp [Whiten]
Sharpen Details in Preview , Details verscherpen in Voorvertoning
Sharpen Edges Only , Alleen de randen slijpen
Sharpen Object , Voorwerp slijpen
Sharpen Radius , Straal slijpen
Sharpen Shades , Scherpere tinten
Sharpened Areas Only , Alleen geslepen gebieden
Sharpening , Aanscherping
Sharpening Layer , Aanscherpingslaag
Sharpening Radius , Slijpstraal
Sharpening Strength , Aanscherpende kracht
Sharpening Type , Aanscherpingstype
Sharpest , Scherpste
Sharpness , Scherpte
Shift Linear Interpolation? , Shift Lineaire Interpolatie?
Shift Point , Verschuivingspunt
Shift X , Verschuiving X
Shift Y , Verschuiving Y
Shininess , Glanzigheid
Shivers , Rillingen
Shock Waves , Schokgolven
Shopping Cart , Winkelwagen
Show Both Poles , Toon beide polen
Show Difference , Verschil tonen
Show Frame , Toon Frame
Show Grid , Toon rooster
Show Watershed , Toon Waterschuur
Shrink , Krimp
Shuffle Pieces , Shuffle Stukken
Side by Side , Zij aan zij
Sierpinksi Design , Sierpinksi Ontwerp
Sierpinski Triangle , Sierpinski Driehoek
Silver , Zilver
Similarity Space , Gelijkaardigheid Ruimte
Simple Local Contrast , Eenvoudig lokaal contrast
Simple Noise Canvas , Eenvoudig geluidsdoek
Simulate Film , Film simuleren
Sin(z) , Zonde(z)
Sine , Sinus
Sine+ , Sinus+
Single (Merged) , Enkelvoudig (samengevoegd)
Single Custom Depth Map , Enkele aangepaste dieptekaart
Single Image Stereogram , Enkele afbeelding Stereogram
Single Layer , Enkele laag
Single Opaque Shapes Over Transp. BG , Enkelvoudige Ondoorzichtige Vormen Over Transp. BG
Six Layers , Zes lagen
Sixteen Threads , Zestien Draden
Size , Grootte
Size (%) , Grootte (%)
Size for Bright Tones , Grootte voor Heldere Tinten
Size for Dark Tones , Grootte voor Donkere Tinten
Size of Frame Numbers (%) , Grootte van de framenaantallen (%)
Size Variance , Groottevariatie
Size-1 , Grootte-1
Size-2 , Grootte-2
Size-3 , Grootte-3
Skeleton , Skelet
Sketch , Schets
Skin Estimation , Huidschatting
Skin Mask , Huidmasker
Skin Tone Colors , Huidskleurige kleuren
Skin Tone Mask , Huidtonenmasker
Skin Tone Protection , Huidtoonbescherming
Skip All Other Steps , Alle andere stappen overslaan
Skip Finest Scales , Fijnste schalen overslaan
Skip Others Steps , Andere stappen overslaan
Skip This Step , Deze stap overslaan
Skip to Use the Mask to Boost , Ga naar het masker te gebruiken om te verhogen
Slide [Color] (26) , Dia [Kleur] (26)
Slow &#40;Accurate&#41; , Langzaam ( Nauwkeurig )
Slow Recovery , Langzaam herstel
Small , Kleine
Small (Faster) , Klein (Sneller)
Smart , Slimme
Smart Contrast , Slim contrast
Smart Threshold , Slimme drempel
Smooth , Vloeiend
Smooth [Anisotropic] , Glad [Anisotroop]
Smooth [Bilateral] , Glad [Bilateraal]
Smooth [Block PCA] , Glad [Blok PCA]
Smooth [Diffusion] , Gladde [Verspreiding]
Smooth [Geometric-Median] , Glad [Geometrisch-Medisch]
Smooth [Guided] , Glad [Geleid]
Smooth [IUWT] , Vloeiend [IUWT]
Smooth [Mean-Curvature] , Gladjes [Gemiddelde kromming]
Smooth [Median] , Smooth [Mediaan]
Smooth [NL-Means] , Vloeiend [NL-Means]
Smooth [Patch-Based] , Glad [Patch-Based]
Smooth [Patch-PCA] , Glad [Patch-PCA]
Smooth [Perona-Malik] , Glad [Perona-Malik]
Smooth [Selective Gaussian] , Vloeiend [Selectief Gaussisch]
Smooth [Skin] , Gladde [Huid]
Smooth [Thin Brush] , Gladde [Dunne borstel]
Smooth [Total Variation] , Glad [Totale variatie]
Smooth [Wavelets] , Gladde [Wavelets]
Smooth [Wiener] , Glad [Wiener]
Smooth Abstract , Vloeiend Abstract
Smooth Amount , Gladde hoeveelheid
Smooth Clear , Gladjes Duidelijk
Smooth Colors , Gladde kleuren
Smooth Crome-Ish , Gladde Crome-Ish
Smooth Dark , Gladde Donker
Smooth Fade , Gladde vervaging
Smooth Green Orange , Gladde groene sinaasappel
Smooth Light , Glad licht
Smooth Looping , Gladde Looping
Smooth Only , Alleen gladjes
Smooth Sailing , Vloeiend Varen
Smooth Teal Orange , Gladde Teal Oranje
Smoothen Background Reconstruction , Achtergrond Reconstructie gladstrijken
Smoother Edge Protection , Gladdere randbescherming
Smoother Sharpness , Gladder Scherpte
Smoother Softness , Gladder Zachtheid
Smoothing , Het gladstrijken van
